id,set,phase,question_type,topic,source_area,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,search_keywords,story_hint
R34-001,Rebuild_Set34,横断複合・重複回避十三段目,case,顧客離反予測と介入効果,機械学習/因果推論,理解/判断/運用,case/compare,改訂シラバス寄せ,概念混同/万能視/評価ずれ,顧客離反を予測するモデルで高リスク顧客に割引クーポンを出したところ、翌月の離反率が下がった。モデル精度だけでなく「クーポンが離反低下の原因だったか」を確かめる観点として最も適切なものはどれか。,ランダム化比較や因果推論で、介入しなかった場合との反事実を考える,訓練データの正解率が高いモデルを採用すれば、介入効果も自動的に証明される,クラスタリングで高リスク顧客を細かく分ければ、因果関係は不要になる,特徴量の数を増やせば、クーポンの効果と予測性能を区別しなくてよい,A,予測モデルは「誰が離反しそうか」を扱う。介入効果は「施策で結果が変わったか」を扱うため、反事実や比較群が必要である。,正解。介入効果は予測精度とは別に、反事実・比較群・ランダム化などで考える。,誤り。精度が高くても、施策の因果効果は示せない。,誤り。クラスタリングは分類補助にはなるが、因果効果を直接証明しない。,誤り。特徴量追加で予測は変わっても、介入効果の検証は別問題。,「予測できた」ことと「介入が効いた」ことを混同させる問題。,因果推論;反事実;ランダム化比較;介入効果;離反予測,ユイが「危ない人を見つけた」だけでは、助けた結果まで証明できない。
R34-002,Rebuild_Set34,横断複合・重複回避十三段目,case,画像生成AIと社内広告素材,生成AI/著作権/運用,理解/判断/運用,case/compare,改訂シラバス寄せ,概念混同/万能視/評価ずれ,社内広告の試作で画像生成AIを使う。担当者が「出力物はAIが作ったから著作権の確認は不要」と言った。G検定対策として最も安全な理解はどれか。,出力物の利用条件、学習データ由来の類似性、第三者権利、社内ルールを確認する,AI出力には常に著作権が発生しないので、商用利用しても問題にならない,プロンプトに「著作権を侵害しないで」と書けば、法的リスクは消える,無料ツールで作った画像なら、企業広告に使っても確認は不要である,A,生成AI出力は、利用規約・既存作品との類似・商用利用条件・社内承認などを確認する必要がある。,正解。AI生成だから権利確認不要とはならない。,誤り。出力物の権利関係や利用条件は一律ではない。,誤り。プロンプト指定は保証にならない。,誤り。無料か有料かと権利確認の要否は別。,「AIが作った＝権利問題なし」という短絡を狙う。,生成AI;著作権;商用利用;利用規約;類似性,ミチの絵が便利でも、ユイは「そのまま外に出してよいか」を確認する。
R34-003,Rebuild_Set34,横断複合・重複回避十三段目,case,RAGの検索漏れと回答方針,生成AI/RAG/評価,理解/判断/運用,case/compare,改訂シラバス寄せ,概念混同/万能視/評価ずれ,社内規程RAGで、質問に関係する文書が検索上位に入らなかった場合、LLMがもっともらしい回答を補完してしまった。最初に見直すべき設計として最も適切なものはどれか。,検索精度、文書分割、メタデータ、回答時の根拠提示や「根拠なし」応答を見直す,LLMのパラメータ数を増やせば、検索に失敗しても正しい社内規程を推測できる,回答文を丁寧な口調にすれば、根拠文書がなくても利用者の誤解は減る,RAGでは生成AIを使うため、検索部分の評価は不要である,A,RAGでは検索できなければ根拠に基づく回答ができない。検索・分割・メタデータ・引用表示・根拠不足時の制御が重要。,正解。RAGの失敗は生成だけでなく検索設計から確認する。,誤り。パラメータ増加は社内文書の検索漏れを保証しない。,誤り。口調では根拠不足を解決できない。,誤り。RAGは検索評価が重要。,LLM性能だけに原因を寄せるひっかけ。,RAG;検索精度;文書分割;メタデータ;根拠提示,さいはてでは、観測記録に届かなければ、ミチは道を作れない。
R34-004,Rebuild_Set34,横断複合・重複回避十三段目,case,フェアネス指標の選択,AI倫理/公平性,理解/判断/運用,case/compare,改訂シラバス寄せ,概念混同/万能視/評価ずれ,ローン審査AIで、全体精度は高いが、ある属性グループで否認率が高い。すぐに「差別AI」と断定する前に必要な対応として最も適切なものはどれか。,業務目的、属性別の誤差、データ分布、正当な説明変数、法令・倫理観点を確認する,全体精度が高ければ公平性の問題は起きないと判断する,属性を入力から削除すれば、必ず公平なモデルになる,否認率が同じになるように無条件で閾値を合わせれば、すべての公平性問題は解決する,A,公平性は全体精度だけでは判断できない。属性別の誤差やデータ、業務上の正当性、法令倫理の確認が必要。,正解。公平性は多面的に評価する。,誤り。全体精度はグループ別の不利益を隠すことがある。,誤り。代理変数から属性影響が残る場合がある。,誤り。単一指標の調整だけで全問題は解決しない。,「属性を消せば公平」という典型ひっかけ。,公平性;フェアネス;属性別評価;代理変数;ローン審査,りっかだけ遅れているなら、クラス全体の平均だけ見ても分からない。
R34-005,Rebuild_Set34,横断複合・重複回避十三段目,case,モデルカードの活用,AIガバナンス/文書化,理解/判断/運用,case/compare,改訂シラバス寄せ,概念混同/万能視/評価ずれ,画像分類モデルを他部署へ提供する。モデルカードに記載すべき内容として最も適切なものはどれか。,用途、学習データの概要、評価結果、制約、想定外利用、リスク、更新履歴など,開発者の氏名だけを記載し、性能や制約は利用者が実験で判断する,モデルの重みファイルだけを添付し、用途は自由に決めてもらう,最高精度だけを大きく示し、失敗例は誤解を招くため隠す,A,モデルカードはモデルの利用条件や評価、制約、リスクを伝えるための文書である。,正解。利用者が適切に判断できる情報を記載する。,誤り。開発者名だけでは利用判断に不足。,誤り。用途や制約の共有が必要。,誤り。失敗例や制約も重要。,性能アピールだけで十分とする選択肢がひっかけ。,モデルカード;文書化;制約;評価結果;AIガバナンス,ユイはミチの得意不得意を書かずに渡さない。
R34-006,Rebuild_Set34,横断複合・重複回避十三段目,case,データシートとデータ由来リスク,データ/ガバナンス,理解/判断/運用,case/compare,改訂シラバス寄せ,概念混同/万能視/評価ずれ,外部から購入した画像データセットで顔認識モデルを作る。データシートの確認観点として最も適切なものはどれか。,収集方法、同意、属性分布、ラベル付け方法、利用条件、既知の偏りを確認する,サンプル数が多ければ、収集経緯や同意は確認しなくてよい,画像サイズが統一されていれば、データセットの品質確認は完了である,ラベル精度はモデルが自動で補正するため、確認対象ではない,A,データシートでは、データの来歴・収集条件・偏り・利用条件などを確認する。,正解。データ由来のリスク把握に必要。,誤り。量が多くても収集・同意・利用条件は重要。,誤り。画像サイズだけでは品質や権利を判断できない。,誤り。ラベル品質は性能と公平性に影響する。,「データ量が多い＝安全」という誤解を狙う。,データシート;データセット;同意;ラベル品質;バイアス,材料がどこから来たかを見ないと、未来の料理は危うい。
R34-007,Rebuild_Set34,横断複合・重複回避十三段目,case,オンライン学習と監視,MLOps/モデル運用,理解/判断/運用,case/compare,改訂シラバス寄せ,概念混同/万能視/評価ずれ,オンライン学習でモデルを継続更新する。急に性能が悪化した場合に備える設計として最も適切なものはどれか。,更新前後の性能監視、ロールバック、入力分布監視、承認フローを用意する,オンライン学習では常に新しいデータが正しいため、過去モデルに戻す必要はない,モデルが自動更新するなら、人間の承認やログは不要である,データ量が増え続けるため、ドリフト監視は不要になる,A,継続更新では誤学習やドリフトが起きうるため、監視・ロールバック・承認・ログが重要。,正解。運用での安全策が必要。,誤り。新しいデータが常に正しいとは限らない。,誤り。自動更新ほど承認と監査が重要。,誤り。データ量増加はドリフトを防がない。,「自動で学ぶ＝放置できる」というひっかけ。,オンライン学習;MLOps;ロールバック;ドリフト監視;承認フロー,勝手に学ぶミチほど、戻れる道を残す。
R34-008,Rebuild_Set34,横断複合・重複回避十三段目,case,合成データの使いどころ,データ拡張/プライバシー,理解/判断/運用,case/compare,改訂シラバス寄せ,概念混同/万能視/評価ずれ,希少疾患の画像データが少ないため、合成データを追加して学習する。注意点として最も適切なものはどれか。,合成データの分布や品質を確認し、実データでの評価を分けて行う,合成データを使えば、実データでの評価は不要になる,合成データは人工的なので、偏りやノイズを含まない,合成データを増やすほど、必ず汎化性能は単調に向上する,A,合成データは有用だが、生成分布の偏りや現実とのズレがありうる。実データ評価が重要。,正解。品質と評価分離が重要。,誤り。実環境性能は実データで確認する必要がある。,誤り。合成データにも偏りがある。,誤り。量を増やせば必ず良くなるわけではない。,「人工データ＝きれいで安全」という誤解。,合成データ;データ拡張;希少データ;実データ評価;分布ズレ,作り物の地図だけでは、本当の道を歩けるか分からない。
R34-009,Rebuild_Set34,横断複合・重複回避十三段目,case,ランキング推薦の評価,推薦システム/評価,理解/判断/運用,case/compare,改訂シラバス寄せ,概念混同/万能視/評価ずれ,ECサイトで「上位5件に欲しい商品が入るか」を重視したい。評価指標として最も近いものはどれか。,Precision@5やRecall@5など、上位k件に着目するランキング指標,平均二乗誤差だけを使い、順位は評価しない,訓練データの正解率だけを見れば、上位表示品質も分かる,クラスタ数を増やすほど、ランキング品質は必ず向上する,A,上位表示が重要な推薦では、@kのランキング指標が使われる。,正解。上位k件の品質を見る。,誤り。MSEだけでは上位順位の良さを直接見ない。,誤り。訓練正解率だけでは本番推薦品質は分からない。,誤り。クラスタ数とランキング品質は単純対応しない。,分類精度とランキング評価の混同。,Precision@k;Recall@k;ランキング評価;推薦システム;EC,おすすめ棚の最上段にあるかを見る問題。
R34-010,Rebuild_Set34,横断複合・重複回避十三段目,case,異常検知のしきい値,異常検知/評価,理解/判断/運用,case/compare,改訂シラバス寄せ,概念混同/万能視/評価ずれ,工場設備の異常検知で、異常スコアの閾値を下げたところ警報が増えた。起きやすい変化として最も適切なものはどれか。,見逃しは減りやすいが、誤警報は増えやすい,誤警報は必ず減り、見逃しも必ず減る,閾値を下げるとモデルの学習率が自動的に下がる,異常スコアの閾値は適合率や再現率に影響しない,A,閾値を下げると陽性判定が増え、再現率は上がりやすいが適合率は下がる場合がある。,正解。検知を広げると誤警報が増えやすい。,誤り。両方が必ず改善するわけではない。,誤り。閾値は学習率とは別。,誤り。閾値は評価指標に影響する。,閾値調整と学習率を混同させる。,異常検知;閾値;適合率;再現率;誤警報,黒を少しでも疑えば、見逃しは減るが騒ぎは増える。
