id,set,phase,question_type,topic,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,story_hint,search_keywords
G3000-R08-001,Rebuild_Set08,rebuild_50,term,平均値,basic,definition,stable,low,データ全体の代表値として算術平均を説明したものとして最も適切なものはどれか。,すべての値の合計をデータ数で割った値,データを小さい順に並べたとき中央に位置する値,最も頻繁に現れる値,最大値から最小値を引いた値,A,算術平均は合計を件数で割る代表値である。外れ値の影響を受けやすい点も合わせて押さえる。,正しい。,これは中央値。,これは最頻値。,これは範囲。,平均・中央値・最頻値・範囲の取り違えが定番。,さいはてでは、観測値そのものと、その背後のばらつきや関係を分けて見る。物語は記憶補助であり、試験では定義に戻る。,平均値;算術平均;中央値;最頻値;範囲
G3000-R08-002,Rebuild_Set08,rebuild_50,case,中央値,apply,case,stable,medium,年収データで一部の超高所得者により平均値が大きく引き上げられている。典型的な水準を示す値として最も使いやすいものはどれか。,分散,中央値,標準偏差,共分散,B,中央値は外れ値の影響を平均値より受けにくく、歪んだ分布の代表値として使いやすい。,分散はばらつき。,正しい。,標準偏差はばらつき。,共分散は2変数の同時変動。,外れ値があるときは平均だけを見ると誤る。,さいはてでは、観測値そのものと、その背後のばらつきや関係を分けて見る。物語は記憶補助であり、試験では定義に戻る。,中央値;外れ値;平均値;代表値;歪んだ分布
G3000-R08-003,Rebuild_Set08,rebuild_50,compare,最頻値,understand,compare,stable,medium,アンケートで最も多く選ばれたカテゴリを知りたい。最も直接的に対応する統計量はどれか。,中央値,分散,最頻値,相関係数,C,最頻値は最も頻繁に出現する値・カテゴリを表す。カテゴリデータでも使いやすい。,中央値は順序が必要。,分散はばらつき。,正しい。,相関係数は2変数の関係。,カテゴリの多数派は平均ではなく最頻値で問われることがある。,さいはてでは、観測値そのものと、その背後のばらつきや関係を分けて見る。物語は記憶補助であり、試験では定義に戻る。,最頻値;カテゴリデータ;アンケート;代表値
G3000-R08-004,Rebuild_Set08,rebuild_50,term,分散,basic,definition,stable,medium,分散の説明として最も適切なものはどれか。,2つの変数が同じ方向に動く度合いを表す指標,観測値の最大値と最小値の差,データを順位に変換したときの中心値,各データが平均からどの程度離れているかを二乗して平均した値,D,分散は平均からのズレの二乗平均で、ばらつきの大きさを表す。単位が二乗になる点も重要。,これは共分散に近い。,これは範囲。,これは中央値の説明に近い。,正しい。,分散は標準偏差の前段。二乗する点がポイント。,さいはてでは、観測値そのものと、その背後のばらつきや関係を分けて見る。物語は記憶補助であり、試験では定義に戻る。,分散;ばらつき;二乗平均;平均からの偏差
G3000-R08-005,Rebuild_Set08,rebuild_50,term,標準偏差,basic,definition,stable,medium,標準偏差の説明として最も適切なものはどれか。,分散の平方根であり、元データと同じ単位でばらつきを表す,平均値をデータ数ではなく自由度で割った値,2つの確率事象が同時に起きる確率,予測値と正解値の差の絶対値の総和,A,標準偏差は分散の平方根で、元データと同じ単位でばらつきを読むために使われる。,正しい。,平均ではない。,同時確率の説明。,MAEなどの説明に近い。,分散と標準偏差の違いは「平方根」と「単位」。,さいはてでは、観測値そのものと、その背後のばらつきや関係を分けて見る。物語は記憶補助であり、試験では定義に戻る。,標準偏差;分散;平方根;ばらつき
G3000-R08-006,Rebuild_Set08,rebuild_50,case,正規化,apply,case,stable,medium,身長cmと年収円を同時に特徴量として使うと、年収の数値スケールが大きく距離計算に強く影響した。対策として最も適切なものはどれか。,目的変数を削除する,特徴量の標準化や正規化を行う,テストデータを訓練データに混ぜる,ラベルをランダムに入れ替える,B,スケールの異なる特徴量を距離ベース手法で扱う場合、標準化・正規化が有効。,目的変数削除では問題解決しない。,正しい。,データリーケージになる。,学習不能に近づく。,単位の大きさが重要度と誤解されるひっかけ。,さいはてでは、観測値そのものと、その背後のばらつきや関係を分けて見る。物語は記憶補助であり、試験では定義に戻る。,正規化;標準化;スケーリング;特徴量;距離計算
G3000-R08-007,Rebuild_Set08,rebuild_50,compare,標準化,understand,compare,stable,medium,標準化の説明として最も適切なものはどれか。,値を必ず0以上1以下に変換する処理,欠損値を平均値で埋める処理,平均0、標準偏差1になるように変換する処理,カテゴリを整数IDに置き換える処理,C,標準化は平均を0、標準偏差を1に近づける変換。0〜1にする正規化と区別する。,これはMin-Max正規化。,これは欠損補完。,正しい。,これはラベルエンコーディング。,標準化と正規化は言葉が似ていて狙われる。,さいはてでは、観測値そのものと、その背後のばらつきや関係を分けて見る。物語は記憶補助であり、試験では定義に戻る。,標準化;平均0;標準偏差1;正規化;スケーリング
G3000-R08-008,Rebuild_Set08,rebuild_50,term,相関係数,basic,definition,stable,medium,相関係数について最も適切な説明はどれか。,一方の変数が他方の原因であることを証明する値,データの平均値の大小だけを比べる値,分類モデルの正解数を全体数で割った値,2つの変数の直線的な関係の強さと向きを表す値,D,相関係数は直線的関係の強さと方向を表すが、因果関係を証明するものではない。,相関は因果を証明しない。,平均比較ではない。,正解率の説明。,正しい。,「相関が高い＝原因」とする選択肢が典型的な罠。,さいはてでは、観測値そのものと、その背後のばらつきや関係を分けて見る。物語は記憶補助であり、試験では定義に戻る。,相関係数;相関;因果関係;直線関係
G3000-R08-009,Rebuild_Set08,rebuild_50,case,相関と因果,apply,case,stable,high,アイスの売上と熱中症患者数に強い正の相関があった。この結果の解釈として最も適切なものはどれか。,気温など第三の要因が両者に影響している可能性があり、相関だけで因果は断定できない,アイスを売ることが熱中症の直接原因だと証明された,熱中症が必ずアイス購入を引き起こすと証明された,相関係数が正なら機械学習モデルは不要である,A,相関は因果を示すとは限らない。交絡因子の可能性を考える。,正しい。,因果の断定が誤り。,逆向き因果の断定も誤り。,モデル要否とは無関係。,第三の要因・交絡因子の選択肢を見抜く。,さいはてでは、観測値そのものと、その背後のばらつきや関係を分けて見る。物語は記憶補助であり、試験では定義に戻る。,相関と因果;交絡因子;第三の要因;解釈
G3000-R08-010,Rebuild_Set08,rebuild_50,term,共分散,basic,definition,stable,medium,共分散の説明として最も適切なものはどれか。,1変数のばらつきを元単位で表す値,2つの変数が平均からの偏差として同じ方向に動く傾向を表す値,確率の合計が1になるように変換した値,分類の誤りを罰する損失関数,B,共分散は2変数が同時にどう変動するかを見る値。単位に依存するため相関係数と区別する。,標準偏差。,正しい。,ソフトマックスに近い。,交差エントロピーなどの説明。,共分散は単位の影響を受ける。相関係数は標準化された指標。,さいはてでは、観測値そのものと、その背後のばらつきや関係を分けて見る。物語は記憶補助であり、試験では定義に戻る。,共分散;相関係数;偏差;同時変動
