id,set,phase,question_type,topic,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,story_hint,search_keywords
R02-001,Rebuild_Set02,基礎〜標準（検索強化）,term,教師あり学習,0,0,0,0,教師あり学習の説明として最も適切なものはどれか。,正解ラベル付きデータから入力と出力の対応関係を学習する方法,正解ラベルなしデータの構造だけを見つける方法,報酬を最大化する行動を試行錯誤で学ぶ方法,モデルの重みを人手で固定して使う方法,A,教師あり学習はラベル付きデータから分類や回帰を学ぶ。,正解,不適切。正解ラベルなしデータの構造だけを見つける方法 はこの設問で問われている条件・用語とは一致しない。,不適切。報酬を最大化する行動を試行錯誤で学ぶ方法 はこの設問で問われている条件・用語とは一致しない。,不適切。モデルの重みを人手で固定して使う方法 はこの設問で問われている条件・用語とは一致しない。,教師あり＝先生が正解を渡す、という比喩で覚える。,さいはての未来：ユイがミチの出力を、条件・ラベル・評価指標に照らして確認する。物語は記憶補助で、試験では定義に戻す。,教師あり学習;正解ラベル;分類;回帰
R02-002,Rebuild_Set02,基礎〜標準（検索強化）,term,ホールドアウト法,1,0,0,1,ホールドアウト法の説明として最も適切なものはどれか。,検証用データを入れ替えながら複数回評価する方法,将来情報を学習データに混ぜる方法,データを一度だけ訓練用と評価用に分けて性能を確認する方法,すべての特徴量を削除する方法,C,ホールドアウト法はデータを一度だけ分割して評価する方法。,不適切。検証用データを入れ替えながら複数回評価する方法 はこの設問で問われている条件・用語とは一致しない。,不適切。将来情報を学習データに混ぜる方法 はこの設問で問われている条件・用語とは一致しない。,正解,不適切。すべての特徴量を削除する方法 はこの設問で問われている条件・用語とは一致しない。,交差検証との違いを問われやすい。,さいはての未来：ユイがミチの出力を、条件・ラベル・評価指標に照らして確認する。物語は記憶補助で、試験では定義に戻す。,ホールドアウト法;交差検証;訓練データ;テストデータ
R02-003,Rebuild_Set02,基礎〜標準（検索強化）,term,分類問題,0,0,0,0,分類問題の説明として最も適切なものはどれか。,売上金額など連続値を予測する問題,犬・猫・鳥など、入力を離散的なカテゴリに分ける問題,ラベルなしデータの相関を主成分へ変換する問題,報酬関数を設計する問題,B,分類問題は離散的なカテゴリを予測する教師あり学習の問題。,不適切。売上金額など連続値を予測する問題 はこの設問で問われている条件・用語とは一致しない。,正解,不適切。ラベルなしデータの相関を主成分へ変換する問題 はこの設問で問われている条件・用語とは一致しない。,不適切。報酬関数を設計する問題 はこの設問で問われている条件・用語とは一致しない。,連続値なら回帰、カテゴリなら分類。,さいはての未来：ユイがミチの出力を、条件・ラベル・評価指標に照らして確認する。物語は記憶補助で、試験では定義に戻す。,分類問題;教師あり学習;カテゴリ;離散値
R02-004,Rebuild_Set02,基礎〜標準（検索強化）,term,MSE,1,0,0,1,平均二乗誤差（MSE）の説明として最も適切なものはどれか。,陽性と予測したもののうち正解だった割合,実際に陽性だったものを拾えた割合,クラスタの階層構造を表す図,予測値と実際の値の差を二乗して平均する誤差指標,D,MSEは予測誤差を二乗して平均する回帰評価指標。,不適切。陽性と予測したもののうち正解だった割合 はこの設問で問われている条件・用語とは一致しない。,不適切。実際に陽性だったものを拾えた割合 はこの設問で問われている条件・用語とは一致しない。,不適切。クラスタの階層構造を表す図 はこの設問で問われている条件・用語とは一致しない。,正解,分類評価指標と混同しない。,さいはての未来：ユイがミチの出力を、条件・ラベル・評価指標に照らして確認する。物語は記憶補助で、試験では定義に戻す。,MSE;平均二乗誤差;回帰;予測誤差
R02-005,Rebuild_Set02,基礎〜標準（検索強化）,term,MAE,1,0,0,1,平均絶対値誤差（MAE）の説明として最も適切なものはどれか。,正解率と再現率の調和平均,ROC曲線の下側面積,未来情報が混入すること,予測値と実際の値の差の絶対値を平均する指標,D,MAEは絶対値誤差の平均で、回帰問題の評価指標。,不適切。正解率と再現率の調和平均 はこの設問で問われている条件・用語とは一致しない。,不適切。ROC曲線の下側面積 はこの設問で問われている条件・用語とは一致しない。,不適切。未来情報が混入すること はこの設問で問われている条件・用語とは一致しない。,正解,二乗するMSE/RMSEとの違い。,さいはての未来：ユイがミチの出力を、条件・ラベル・評価指標に照らして確認する。物語は記憶補助で、試験では定義に戻す。,MAE;平均絶対値誤差;回帰;予測誤差
R02-006,Rebuild_Set02,基礎〜標準（検索強化）,term,線形回帰,1,0,0,1,線形回帰の説明として最も適切なものはどれか。,クラス分類でシグモイド関数を必ず使う手法,入力と出力の関係を直線や線形結合で表し、連続値を予測する手法,クラスタの階層構造を樹形図で表す手法,報酬最大化のために行動を試す手法,B,線形回帰は連続値予測に使われる基本的な回帰手法。,不適切。クラス分類でシグモイド関数を必ず使う手法 はこの設問で問われている条件・用語とは一致しない。,正解,不適切。クラスタの階層構造を樹形図で表す手法 はこの設問で問われている条件・用語とは一致しない。,不適切。報酬最大化のために行動を試す手法 はこの設問で問われている条件・用語とは一致しない。,ロジスティック回帰と名前で混同しやすい。,さいはての未来：ユイがミチの出力を、条件・ラベル・評価指標に照らして確認する。物語は記憶補助で、試験では定義に戻す。,線形回帰;回帰問題;連続値;単回帰;重回帰
R02-007,Rebuild_Set02,基礎〜標準（検索強化）,case,分類と回帰,1,1,0,1,過去の住宅データから、面積・築年数・駅距離を使って住宅価格という連続値を予測したい。このタスクとして最も適切なものはどれか。,回帰問題,分類問題,クラスタリング,強化学習,A,価格のような連続値を予測するため回帰問題である。,正解,不適切。分類問題 はこの設問で問われている条件・用語とは一致しない。,不適切。クラスタリング はこの設問で問われている条件・用語とは一致しない。,不適切。強化学習 はこの設問で問われている条件・用語とは一致しない。,数値なら何でも分類ではない。連続値かカテゴリかを見る。,さいはての未来：ユイがミチの出力を、条件・ラベル・評価指標に照らして確認する。物語は記憶補助で、試験では定義に戻す。,回帰問題;連続値;教師あり学習;住宅価格
R02-008,Rebuild_Set02,基礎〜標準（検索強化）,term,k分割交差検証,1,0,0,1,k分割交差検証の説明として最も適切なものはどれか。,正解ラベルを作らずクラスタに分ける方法,1つのモデルを本番環境に置くこと,データをk個に分け、検証用部分を入れ替えながら複数回評価する方法,モデルの重みを8ビット整数にする方法,C,k分割交差検証は分割を入れ替えて複数回評価し、評価のばらつきを抑える。,不適切。正解ラベルを作らずクラスタに分ける方法 はこの設問で問われている条件・用語とは一致しない。,不適切。1つのモデルを本番環境に置くこと はこの設問で問われている条件・用語とは一致しない。,正解,不適切。モデルの重みを8ビット整数にする方法 はこの設問で問われている条件・用語とは一致しない。,1回だけならホールドアウト。,さいはての未来：ユイがミチの出力を、条件・ラベル・評価指標に照らして確認する。物語は記憶補助で、試験では定義に戻す。,k分割交差検証;交差検証;評価;汎化性能
R02-009,Rebuild_Set02,基礎〜標準（検索強化）,case,重回帰分析,1,1,0,1,売上を、広告費、店舗面積、天候、曜日など複数の説明変数から予測したい。線形回帰の中で最も近いものはどれか。,単回帰分析,重回帰分析,k-means法,Q学習,B,複数の説明変数を使う回帰分析は重回帰分析。,不適切。単回帰分析 はこの設問で問われている条件・用語とは一致しない。,正解,不適切。k-means法 はこの設問で問われている条件・用語とは一致しない。,不適切。Q学習 はこの設問で問われている条件・用語とは一致しない。,説明変数が1つなら単回帰、複数なら重回帰。,さいはての未来：ユイがミチの出力を、条件・ラベル・評価指標に照らして確認する。物語は記憶補助で、試験では定義に戻す。,重回帰分析;単回帰分析;線形回帰;説明変数
R02-010,Rebuild_Set02,基礎〜標準（検索強化）,term,ロジスティック回帰,1,0,0,1,ロジスティック回帰の説明として最も適切なものはどれか。,分類問題に用いられ、シグモイド関数などで正例確率を扱う手法,主にクラスタ数を指定してデータを分ける教師なし学習,木構造を多数直列につなぎ、前の誤りを次に重点学習する手法,入力を同じ出力へ復元して圧縮表現を得る生成モデル,A,ロジスティック回帰は名前に回帰とあるが分類に使う代表手法。,正解,不適切。主にクラスタ数を指定してデータを分ける教師なし学習 はこの設問で問われている条件・用語とは一致しない。,不適切。木構造を多数直列につなぎ、前の誤りを次に重点学習する手法 はこの設問で問われている条件・用語とは一致しない。,不適切。入力を同じ出力へ復元して圧縮表現を得る生成モデル はこの設問で問われている条件・用語とは一致しない。,名前に回帰が入るため線形回帰と混同しやすい。,さいはての未来：ユイがミチの出力を、条件・ラベル・評価指標に照らして確認する。物語は記憶補助で、試験では定義に戻す。,ロジスティック回帰;シグモイド関数;分類問題;二値分類
