id,set,phase,question_type,topic,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,story_hint,search_keywords
RB06-001,Rebuild_Set06,rebuild,term,生成モデル,1,1,1,1,生成モデルの説明として最も適切なものはどれか。,学習データの分布を学び、その分布に従う新しいデータを生成するモデル,入力データを必ず事前に定義したクラスへ分類するモデル,訓練データを暗号化して保存するだけのモデル,人間が書いたルールだけで推論するモデル,A,生成モデルは画像・文章・音声などのデータ分布を学習し、新しいサンプルを作る。,正解選択肢。,入力データを必ず事前に定義したクラスへ分類するモデル はこの設問の中心概念とは異なる説明。,訓練データを暗号化して保存するだけのモデル はこの設問の中心概念とは異なる説明。,人間が書いたルールだけで推論するモデル はこの設問の中心概念とは異なる説明。,分類モデルと生成モデルを混同しやすい。,さいはての未来では、ミチの正しそうな文をユイが根拠確認する場面として覚える。四年五組なら、うっけの「それっぽい！」をセンセイが一度止める場面。,生成モデル;データ分布;サンプリング;識別モデル
RB06-002,Rebuild_Set06,rebuild,compare,生成モデル,1,1,1,1,識別モデルと生成モデルの違いとして最も適切なものはどれか。,識別モデルは画像だけを扱い、生成モデルは表形式データだけを扱う,識別モデルは主に入力からラベルを予測し、生成モデルはデータ分布を学んで新しいデータを作る,識別モデルは教師なし学習で、生成モデルは必ず教師あり学習である,識別モデルは過学習せず、生成モデルだけが過学習する,B,識別モデルは境界や条件付き確率を使って分類・回帰を行い、生成モデルはデータ生成過程や分布を扱う。,識別モデルは画像だけを扱い、生成モデルは表形式データだけを扱う はこの設問の中心概念とは異なる説明。,正解選択肢。,識別モデルは教師なし学習で、生成モデルは必ず教師あり学習である はこの設問の中心概念とは異なる説明。,識別モデルは過学習せず、生成モデルだけが過学習する はこの設問の中心概念とは異なる説明。,教師あり/教師なしの軸と、識別/生成の軸は別。,さいはての未来では、ミチの正しそうな文をユイが根拠確認する場面として覚える。四年五組なら、うっけの「それっぽい！」をセンセイが一度止める場面。,識別モデル;生成モデル;分類;データ分布
RB06-003,Rebuild_Set06,rebuild,term,VAE,1,1,1,1,VAE（Variational Autoencoder）の特徴として最も適切なものはどれか。,画像を畳み込みだけで分類するネットワークである,敵対的に競う2つのネットワークだけで構成される,入力を潜在空間の確率分布へ写し、その分布からサンプリングしてデータを再構成・生成する,単語列の次トークンだけを貪欲に選ぶアルゴリズムである,C,VAEはオートエンコーダに確率的な潜在変数を導入した生成モデル。,画像を畳み込みだけで分類するネットワークである はこの設問の中心概念とは異なる説明。,敵対的に競う2つのネットワークだけで構成される はこの設問の中心概念とは異なる説明。,正解選択肢。,単語列の次トークンだけを貪欲に選ぶアルゴリズムである はこの設問の中心概念とは異なる説明。,GANの敵対的学習と混同しやすい。,さいはての未来では、ミチの正しそうな文をユイが根拠確認する場面として覚える。四年五組なら、うっけの「それっぽい！」をセンセイが一度止める場面。,VAE;Variational Autoencoder;潜在空間;確率分布;再構成
RB06-004,Rebuild_Set06,rebuild,term,VAE,1,1,1,1,VAEで使われる潜在空間の説明として最も適切なものはどれか。,訓練データのファイル名だけを保存する領域,ニューラルネットワークの出力ラベルを人間が手作業で並べた表,モデルの著作権情報だけを記録するメタデータ領域,データの本質的な特徴を低次元の連続的な表現として扱う空間,D,潜在空間では、入力データの背後にある特徴を圧縮表現として扱う。,訓練データのファイル名だけを保存する領域 はこの設問の中心概念とは異なる説明。,ニューラルネットワークの出力ラベルを人間が手作業で並べた表 はこの設問の中心概念とは異なる説明。,モデルの著作権情報だけを記録するメタデータ領域 はこの設問の中心概念とは異なる説明。,正解選択肢。,潜在空間は物理的な保存フォルダではない。,さいはての未来では、ミチの正しそうな文をユイが根拠確認する場面として覚える。四年五組なら、うっけの「それっぽい！」をセンセイが一度止める場面。,潜在空間;latent space;VAE;特徴表現
RB06-005,Rebuild_Set06,rebuild,term,VAE,1,1,1,1,VAEにおける再パラメータ化トリックの主な目的として最も適切なものはどれか。,確率的サンプリングを含む処理でも誤差逆伝播で学習しやすくする,学習データを自動的に匿名化する,畳み込み層をすべて全結合層に変換する,生成物の著作権を自動判定する,A,再パラメータ化により、乱数部分と学習可能パラメータを分離して勾配計算しやすくする。,正解選択肢。,学習データを自動的に匿名化する はこの設問の中心概念とは異なる説明。,畳み込み層をすべて全結合層に変換する はこの設問の中心概念とは異なる説明。,生成物の著作権を自動判定する はこの設問の中心概念とは異なる説明。,サンプリングと微分可能性の関係が問われる。,さいはての未来では、ミチの正しそうな文をユイが根拠確認する場面として覚える。四年五組なら、うっけの「それっぽい！」をセンセイが一度止める場面。,VAE;再パラメータ化トリック;誤差逆伝播;サンプリング
RB06-006,Rebuild_Set06,rebuild,case,VAE,1,1,1,1,画像生成でVAEを使ったところ、生成画像がややぼやけやすい傾向が出た。この説明として最も適切なものはどれか。,VAEは原理上、画像を生成できないため,再構成誤差や確率的潜在表現により平均的な出力になりやすい場合がある,VAEは必ず人間の顔だけを出力するため,VAEは教師データのラベルを暗記するだけの手法であるため,B,VAEは安定した潜在表現を得やすい一方、出力が平均化されぼやけることがある。,VAEは原理上、画像を生成できないため はこの設問の中心概念とは異なる説明。,正解選択肢。,VAEは必ず人間の顔だけを出力するため はこの設問の中心概念とは異なる説明。,VAEは教師データのラベルを暗記するだけの手法であるため はこの設問の中心概念とは異なる説明。,「生成できない」は誤り。特徴的な弱点として問われる。,さいはての未来では、ミチの正しそうな文をユイが根拠確認する場面として覚える。四年五組なら、うっけの「それっぽい！」をセンセイが一度止める場面。,VAE;ぼやけ;再構成誤差;潜在表現
RB06-007,Rebuild_Set06,rebuild,term,GAN,1,1,1,1,GAN（Generative Adversarial Network）の基本構成として最も適切なものはどれか。,符号化器と復号器だけで入力を再構成する,探索木を幅優先で展開して最適手を選ぶ,生成器と識別器を競わせ、生成器が本物らしいデータを作れるように学習する,全データをクラスタ数kに分けるだけで生成する,C,GANはGeneratorとDiscriminatorの敵対的学習により生成性能を高める。,符号化器と復号器だけで入力を再構成する はこの設問の中心概念とは異なる説明。,探索木を幅優先で展開して最適手を選ぶ はこの設問の中心概念とは異なる説明。,正解選択肢。,全データをクラスタ数kに分けるだけで生成する はこの設問の中心概念とは異なる説明。,VAEのエンコーダ/デコーダとの違いが頻出。,さいはての未来では、ミチの正しそうな文をユイが根拠確認する場面として覚える。四年五組なら、うっけの「それっぽい！」をセンセイが一度止める場面。,GAN;生成器;識別器;敵対的学習
RB06-008,Rebuild_Set06,rebuild,term,GAN,1,1,1,1,GANにおける識別器の役割として最も適切なものはどれか。,乱数を直接画像ファイルとして保存する,生成器の重みを人間が手で修正する,テストデータを訓練データへ移動する,入力データが本物のデータか生成器が作った偽物かを判定する,D,識別器は本物/偽物を見分ける役で、生成器は識別器をだませるように学習する。,乱数を直接画像ファイルとして保存する はこの設問の中心概念とは異なる説明。,生成器の重みを人間が手で修正する はこの設問の中心概念とは異なる説明。,テストデータを訓練データへ移動する はこの設問の中心概念とは異なる説明。,正解選択肢。,識別器は「分類器」に近いが、GAN全体は生成モデル。,さいはての未来では、ミチの正しそうな文をユイが根拠確認する場面として覚える。四年五組なら、うっけの「それっぽい！」をセンセイが一度止める場面。,GAN;Discriminator;識別器;本物偽物
RB06-009,Rebuild_Set06,rebuild,term,GAN,1,1,1,1,GANでモード崩壊（mode collapse）が問題になる理由として最も適切なものはどれか。,生成器が多様なデータ分布を表現できず、似たような出力ばかり作ることがあるため,生成器が分類問題だけを解くようになるため,識別器が常に画像を圧縮するため,学習率が必ず0に固定されるため,A,モード崩壊は生成の多様性が失われる現象。,正解選択肢。,生成器が分類問題だけを解くようになるため はこの設問の中心概念とは異なる説明。,識別器が常に画像を圧縮するため はこの設問の中心概念とは異なる説明。,学習率が必ず0に固定されるため はこの設問の中心概念とは異なる説明。,精度が高そうに見えても、多様性が不足している場合がある。,さいはての未来では、ミチの正しそうな文をユイが根拠確認する場面として覚える。四年五組なら、うっけの「それっぽい！」をセンセイが一度止める場面。,GAN;モード崩壊;mode collapse;多様性
RB06-010,Rebuild_Set06,rebuild,case,GAN,1,1,1,1,人物画像生成モデルで、出力がどれも似た顔ばかりになった。最も疑うべきGAN特有の問題はどれか。,データリーケージ,モード崩壊,勾配爆発だけ,層化抽出,B,似た出力ばかりになる問題はGANのモード崩壊として問われやすい。,データリーケージ はこの設問の中心概念とは異なる説明。,正解選択肢。,勾配爆発だけ はこの設問の中心概念とは異なる説明。,層化抽出 はこの設問の中心概念とは異なる説明。,データリーケージは評価情報の混入。似た生成物とは論点が違う。,さいはての未来では、ミチの正しそうな文をユイが根拠確認する場面として覚える。四年五組なら、うっけの「それっぽい！」をセンセイが一度止める場面。,GAN;モード崩壊;人物画像;生成多様性
