id,set,phase,question_type,topic,source_area,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,search_keywords,story_hint
R44-001,Rebuild_Set44,横断複合・重複回避十段目,case,RAG/根拠欠落,G検定横断領域,運用判断,ケース判断,新しめ,高,社内規程Botが回答文だけは正しいが、根拠リンクが別部署の古い規程を指していた。このまま運用するときの主な問題として最も適切なものはどれか。,利用者が誤った版の根拠を信じ、監査時にも判断経路を追えないこと,回答文が正しければ根拠リンクの版は一切問題にならないこと,根拠リンクを消せば監査可能性が高まること,LLMの温度を上げれば根拠リンクの版管理が不要になること,A,RAGでは回答本文だけでなく、参照文書の版・根拠リンク・判断経路の追跡性が重要である。,正解。,Bは不適切。回答文が正しければ根拠リンクの版は一切問題にならないことは、この問題で問われている条件を満たさない。,Cは不適切。根拠リンクを消せば監査可能性が高まることは、この問題で問われている条件を満たさない。,Dは不適切。LLMの温度を上げれば根拠リンクの版管理が不要になることは、この問題で問われている条件を満たさない。,G検定では、用語暗記だけでなく、評価・運用・法務・安全の境界条件を読み分けさせる。,RAG/根拠欠落;運用判断;ケース判断;G検定,さいはての未来では、共鳴世界が先回りしても、最後は人が根拠と責任の線を引く。四年五組なら、便利な道具をそのまま信じず、センセイが『どこまで見た？』と聞く場面。
R44-002,Rebuild_Set44,横断複合・重複回避十段目,case,LLM/機密推論,G検定横断領域,安全判断,複合読解,新しめ,高,営業支援AIが、直接入力していないはずの顧客単価を、過去ログの断片から推測して回答した。まず確認すべき観点はどれか。,ログや検索対象に含まれる情報範囲と、回答で推測させてよい範囲の境界,モデルの文章が自然かどうかだけ,画面の配色が営業部門向けかどうか,出力が推測であれば機密扱いしなくてよいこと,A,LLMは与えられた文脈から機密に近い情報を推測する場合がある。入力・検索対象・出力許可範囲を管理する必要がある。,正解。,Bは不適切。モデルの文章が自然かどうかだけは、この問題で問われている条件を満たさない。,Cは不適切。画面の配色が営業部門向けかどうかは、この問題で問われている条件を満たさない。,Dは不適切。出力が推測であれば機密扱いしなくてよいことは、この問題で問われている条件を満たさない。,G検定では、用語暗記だけでなく、評価・運用・法務・安全の境界条件を読み分けさせる。,LLM/機密推論;安全判断;複合読解;G検定,さいはての未来では、共鳴世界が先回りしても、最後は人が根拠と責任の線を引く。四年五組なら、便利な道具をそのまま信じず、センセイが『どこまで見た？』と聞く場面。
R44-003,Rebuild_Set44,横断複合・重複回避十段目,case,評価/ラベル分布,G検定横断領域,評価設計,ケース判断,既存,中,クレーム分類AIの検証データで、重大クレームが全体の1%しかない。全体正解率だけで評価する問題として最も適切なものはどれか。,重大クレームの見逃しが全体指標に埋もれる可能性があること,少数クラスがあると機械学習は常に不可能になること,全体正解率が高いほど少数クラスの再現率も必ず高いこと,クラス不均衡では混同行列を見てはいけないこと,A,クラス不均衡では全体正解率だけでなく、少数クラスの再現率や混同行列を見る必要がある。,正解。,Bは不適切。少数クラスがあると機械学習は常に不可能になることは、この問題で問われている条件を満たさない。,Cは不適切。全体正解率が高いほど少数クラスの再現率も必ず高いことは、この問題で問われている条件を満たさない。,Dは不適切。クラス不均衡では混同行列を見てはいけないことは、この問題で問われている条件を満たさない。,G検定では、用語暗記だけでなく、評価・運用・法務・安全の境界条件を読み分けさせる。,評価/ラベル分布;評価設計;ケース判断;G検定,さいはての未来では、共鳴世界が先回りしても、最後は人が根拠と責任の線を引く。四年五組なら、便利な道具をそのまま信じず、センセイが『どこまで見た？』と聞く場面。
R44-004,Rebuild_Set44,横断複合・重複回避十段目,case,著作権/類似出力,G検定横断領域,法務判断,誤り選択,新しめ,高,生成AIで作ったキャラクター画像が既存作品にかなり似ている。商用利用前の判断として最も適切なものはどれか。,既存著作物との類似性や依拠性、利用条件を確認する,AI出力なら既存作品と似ていても権利侵害は絶対に起きない,プロンプトに作品名を書かなければ類似性の確認は不要になる,画像生成AIでは商用利用と法務確認は無関係である,A,生成AIの出力物にも、既存著作物との類似性・依拠性が問題になる場合がある。,正解。,Bは不適切。AI出力なら既存作品と似ていても権利侵害は絶対に起きないは、この問題で問われている条件を満たさない。,Cは不適切。プロンプトに作品名を書かなければ類似性の確認は不要になるは、この問題で問われている条件を満たさない。,Dは不適切。画像生成AIでは商用利用と法務確認は無関係であるは、この問題で問われている条件を満たさない。,G検定では、用語暗記だけでなく、評価・運用・法務・安全の境界条件を読み分けさせる。,著作権/類似出力;法務判断;誤り選択;G検定,さいはての未来では、共鳴世界が先回りしても、最後は人が根拠と責任の線を引く。四年五組なら、便利な道具をそのまま信じず、センセイが『どこまで見た？』と聞く場面。
R44-005,Rebuild_Set44,横断複合・重複回避十段目,case,MLOps/データ契約,G検定横断領域,運用判断,複合読解,中,中,外部データ提供会社の仕様変更後、予測モデルの入力列の意味が変わっていた。運用上不足していたものとして最も適切なものはどれか。,データスキーマ変更を検知し、影響を確認するデータ契約や監視,モデル名をより有名なものに変えること,予測結果の文字数を増やすこと,訓練済みモデルを暗号化すること,A,本番運用では、入力データの列・型・意味の変更を検知し、モデルへの影響を確認する仕組みが必要である。,正解。,Bは不適切。モデル名をより有名なものに変えることは、この問題で問われている条件を満たさない。,Cは不適切。予測結果の文字数を増やすことは、この問題で問われている条件を満たさない。,Dは不適切。訓練済みモデルを暗号化することは、この問題で問われている条件を満たさない。,G検定では、用語暗記だけでなく、評価・運用・法務・安全の境界条件を読み分けさせる。,MLOps/データ契約;運用判断;複合読解;G検定,さいはての未来では、共鳴世界が先回りしても、最後は人が根拠と責任の線を引く。四年五組なら、便利な道具をそのまま信じず、センセイが『どこまで見た？』と聞く場面。
R44-006,Rebuild_Set44,横断複合・重複回避十段目,case,公平性/代理変数,G検定横断領域,リスク判断,ケース判断,既存,高,採用AIで性別情報は使っていないが、勤務地希望や勤務時間帯が特定属性の代理変数になっている疑いがある。確認として最も適切なものはどれか。,属性情報を直接使っていなくても、代理変数による偏りを検証する,センシティブ属性を削除すれば公平性問題は必ず消える,代理変数はモデル精度に関係しないので無視する,公平性はモデル開発者ではなく応募者だけが確認する,A,公平性では、直接属性だけでなく、属性を推測できる代理変数による偏りにも注意する。,正解。,Bは不適切。センシティブ属性を削除すれば公平性問題は必ず消えるは、この問題で問われている条件を満たさない。,Cは不適切。代理変数はモデル精度に関係しないので無視するは、この問題で問われている条件を満たさない。,Dは不適切。公平性はモデル開発者ではなく応募者だけが確認するは、この問題で問われている条件を満たさない。,G検定では、用語暗記だけでなく、評価・運用・法務・安全の境界条件を読み分けさせる。,公平性/代理変数;リスク判断;ケース判断;G検定,さいはての未来では、共鳴世界が先回りしても、最後は人が根拠と責任の線を引く。四年五組なら、便利な道具をそのまま信じず、センセイが『どこまで見た？』と聞く場面。
R44-007,Rebuild_Set44,横断複合・重複回避十段目,case,AIガバナンス/用途逸脱,G検定横断領域,ガバナンス判断,ケース判断,新しめ,高,社内で承認された要約AIを、別部門が本人評価の自動判定に流用し始めた。主なリスクとして最も適切なものはどれか。,承認時の想定用途を超え、必要な評価・説明・責任管理が不足すること,同じAIなので用途が変わってもリスクは同一であること,要約AIはどの意思決定にも無条件で利用できること,用途を広げるほど監査は不要になること,A,AIのリスクは用途に依存する。想定用途外の利用では、再評価や承認が必要になる。,正解。,Bは不適切。同じAIなので用途が変わってもリスクは同一であることは、この問題で問われている条件を満たさない。,Cは不適切。要約AIはどの意思決定にも無条件で利用できることは、この問題で問われている条件を満たさない。,Dは不適切。用途を広げるほど監査は不要になることは、この問題で問われている条件を満たさない。,G検定では、用語暗記だけでなく、評価・運用・法務・安全の境界条件を読み分けさせる。,AIガバナンス/用途逸脱;ガバナンス判断;ケース判断;G検定,さいはての未来では、共鳴世界が先回りしても、最後は人が根拠と責任の線を引く。四年五組なら、便利な道具をそのまま信じず、センセイが『どこまで見た？』と聞く場面。
R44-008,Rebuild_Set44,横断複合・重複回避十段目,case,自己教師あり/事前学習,G検定横断領域,概念適用,穴埋め,既存,中,ラベルなし音声から一部を隠して復元する課題で表現を学び、その後少量ラベルで音声認識に適用する流れに最も近いものはどれか。,自己教師あり事前学習と下流タスクへの適用,全探索によるルールベース推論,教師なしクラスタリングだけで正解ラベルを作ること,強化学習で報酬だけを最大化すること,A,データ自体から教師信号を作って事前学習し、下流タスクへ使うのは自己教師あり学習の代表的な考え方である。,正解。,Bは不適切。全探索によるルールベース推論は、この問題で問われている条件を満たさない。,Cは不適切。教師なしクラスタリングだけで正解ラベルを作ることは、この問題で問われている条件を満たさない。,Dは不適切。強化学習で報酬だけを最大化することは、この問題で問われている条件を満たさない。,G検定では、用語暗記だけでなく、評価・運用・法務・安全の境界条件を読み分けさせる。,自己教師あり/事前学習;概念適用;穴埋め;G検定,さいはての未来では、共鳴世界が先回りしても、最後は人が根拠と責任の線を引く。四年五組なら、便利な道具をそのまま信じず、センセイが『どこまで見た？』と聞く場面。
R44-009,Rebuild_Set44,横断複合・重複回避十段目,case,因果/施策評価,G検定横断領域,読解判断,ケース判断,既存,高,値引きクーポンを受け取った顧客ほど購入率が高かった。施策効果を判断するうえで不足している観点はどれか。,もともと購入意欲が高い顧客にクーポンが配られた可能性を考慮すること,購入率が高ければクーポンの因果効果は常に証明されること,教師あり学習では交絡は存在しないこと,相関があれば実験設計は不要になること,A,観察データでは、配布対象の選ばれ方による交絡や選択バイアスがあり得る。,正解。,Bは不適切。購入率が高ければクーポンの因果効果は常に証明されることは、この問題で問われている条件を満たさない。,Cは不適切。教師あり学習では交絡は存在しないことは、この問題で問われている条件を満たさない。,Dは不適切。相関があれば実験設計は不要になることは、この問題で問われている条件を満たさない。,G検定では、用語暗記だけでなく、評価・運用・法務・安全の境界条件を読み分けさせる。,因果/施策評価;読解判断;ケース判断;G検定,さいはての未来では、共鳴世界が先回りしても、最後は人が根拠と責任の線を引く。四年五組なら、便利な道具をそのまま信じず、センセイが『どこまで見た？』と聞く場面。
R44-010,Rebuild_Set44,横断複合・重複回避十段目,case,プロンプト/出力制御,G検定横断領域,設計判断,複合読解,新しめ,中,議事録要約AIで、毎回フォーマットが揺れて後続システムが読み込めない。改善策として最も適切なものはどれか。,出力形式を明示し、必要ならJSON schema等で構造化出力を制約する,自由記述に任せれば機械処理は常に安定する,温度を上げれば形式は必ず固定される,後続システム側でAIの出力を確認せず全て受け入れる,A,LLM出力をシステム連携に使う場合は、形式指定や構造化出力、検証が重要である。,正解。,Bは不適切。自由記述に任せれば機械処理は常に安定するは、この問題で問われている条件を満たさない。,Cは不適切。温度を上げれば形式は必ず固定されるは、この問題で問われている条件を満たさない。,Dは不適切。後続システム側でAIの出力を確認せず全て受け入れるは、この問題で問われている条件を満たさない。,G検定では、用語暗記だけでなく、評価・運用・法務・安全の境界条件を読み分けさせる。,プロンプト/出力制御;設計判断;複合読解;G検定,さいはての未来では、共鳴世界が先回りしても、最後は人が根拠と責任の線を引く。四年五組なら、便利な道具をそのまま信じず、センセイが『どこまで見た？』と聞く場面。
