id,set,phase,question_type,topic,source_area,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,search_keywords,story_hint
R21-001,Rebuild_Set21,検索性重視・非重複50問,case,SLAと精度,AIシステム設計・クラウドAI・運用アーキテクチャ・非機能要件,応用,ケース判断,中,中,AIチャットボットの本番契約で、モデル精度だけでなく、応答可能時間や障害時の復旧目標も合意したい。最も関係が深い用語はどれか。,サービス水準として可用性や応答時間を合意するSLA,学習率を下げればセキュリティと可用性は自動的に保証される,テストデータを本番判断に混ぜれば信頼性が高まる,GPU台数を増やすことがこの設計の主目的である,A,SLAはサービス水準の合意であり、可用性や応答時間などの非機能要件を含めて合意する考え方。AIモデルの正解率だけでは本番運用の品質を表せない。,正しい。サービス水準として可用性や応答時間を合意するSLA。,誤り。「学習率を下げればセキュリティと可用性は自動的に保証される」は、この設問で問う「SLAと精度」の説明としては適切でない。,誤り。「テストデータを本番判断に混ぜれば信頼性が高まる」は、この設問で問う「SLAと精度」の説明としては適切でない。,誤り。「GPU台数を増やすことがこの設計の主目的である」は、この設問で問う「SLAと精度」の説明としては適切でない。,SLAは精度指標そのものではなく、サービス提供水準の約束として問われる。,SLA;Service Level Agreement;可用性;非機能要件,さいはてでは、ミチを動かすだけでなく、止め方・戻し方・観測方法まで決めて初めて安全なAI運用になる。
R21-002,Rebuild_Set21,検索性重視・非重複50問,compare,レイテンシとスループット,AIシステム設計・クラウドAI・運用アーキテクチャ・非機能要件,理解,比較・用語判断,中,中,推論APIの評価で「1件あたりの応答が何ミリ秒で返るか」と「単位時間に何件処理できるか」を区別した。前者に最も近い用語はどれか。,テストデータを本番判断に混ぜれば信頼性が高まる,レイテンシ,GPU台数を増やすことがこの設計の主目的である,データを削除すればAIシステム設計は不要になる,B,レイテンシは単一リクエストの応答遅延を表す。スループットは単位時間あたりの処理量であり、G検定でも非機能要件の混同として出やすい。,誤り。「テストデータを本番判断に混ぜれば信頼性が高まる」は、この設問で問う「レイテンシとスループット」の説明としては適切でない。,正しい。レイテンシ。,誤り。「GPU台数を増やすことがこの設計の主目的である」は、この設問で問う「レイテンシとスループット」の説明としては適切でない。,誤り。「データを削除すればAIシステム設計は不要になる」は、この設問で問う「レイテンシとスループット」の説明としては適切でない。,レイテンシとスループットはどちらも性能指標だが、前者は応答時間、後者は処理量。,レイテンシ;スループット;推論API;応答時間,さいはてでは、ミチを動かすだけでなく、止め方・戻し方・観測方法まで決めて初めて安全なAI運用になる。
R21-003,Rebuild_Set21,検索性重視・非重複50問,case,水平スケーリング,AIシステム設計・クラウドAI・運用アーキテクチャ・非機能要件,応用,ケース判断,中,中,画像分類APIへのアクセスが急増したため、同じ推論サーバを複数台に増やし、ロードバランサで分散した。最も近い考え方はどれか。,GPU台数を増やすことがこの設計の主目的である,データを削除すればAIシステム設計は不要になる,同じ役割のサーバ台数を増やして分散する水平スケーリング,活性化関数をReLUにすれば運用リスクはなくなる,C,水平スケーリングはサーバ台数を増やして負荷分散する方法。1台のCPUやメモリを強化する垂直スケーリングとは異なる。,誤り。「GPU台数を増やすことがこの設計の主目的である」は、この設問で問う「水平スケーリング」の説明としては適切でない。,誤り。「データを削除すればAIシステム設計は不要になる」は、この設問で問う「水平スケーリング」の説明としては適切でない。,正しい。同じ役割のサーバ台数を増やして分散する水平スケーリング。,誤り。「活性化関数をReLUにすれば運用リスクはなくなる」は、この設問で問う「水平スケーリング」の説明としては適切でない。,水平は台数を増やす、垂直は1台を強くする。言葉の向きで問われやすい。,水平スケーリング;ロードバランサ;推論サーバ;負荷分散,さいはてでは、ミチを動かすだけでなく、止め方・戻し方・観測方法まで決めて初めて安全なAI運用になる。
R21-004,Rebuild_Set21,検索性重視・非重複50問,case,垂直スケーリング,AIシステム設計・クラウドAI・運用アーキテクチャ・非機能要件,応用,ケース判断,中,中,小規模な社内AI処理で、サーバ台数を増やさず、1台のGPUメモリを大きいものに交換して対応した。最も近い考え方はどれか。,データを削除すればAIシステム設計は不要になる,活性化関数をReLUにすれば運用リスクはなくなる,モデルの精度だけを上げれば運用上の問題はすべて解決する,1台の計算資源を強化する垂直スケーリング,D,垂直スケーリングは1台のマシンのCPU・メモリ・GPUなどを強化する方法。台数を増やす水平スケーリングとは区別する。,誤り。「データを削除すればAIシステム設計は不要になる」は、この設問で問う「垂直スケーリング」の説明としては適切でない。,誤り。「活性化関数をReLUにすれば運用リスクはなくなる」は、この設問で問う「垂直スケーリング」の説明としては適切でない。,誤り。「モデルの精度だけを上げれば運用上の問題はすべて解決する」は、この設問で問う「垂直スケーリング」の説明としては適切でない。,正しい。1台の計算資源を強化する垂直スケーリング。,「強い1台」か「同じものを複数台」かで区別する。,垂直スケーリング;GPUメモリ;スケールアップ;非機能要件,さいはてでは、ミチを動かすだけでなく、止め方・戻し方・観測方法まで決めて初めて安全なAI運用になる。
R21-005,Rebuild_Set21,検索性重視・非重複50問,case,バッチ推論,AIシステム設計・クラウドAI・運用アーキテクチャ・非機能要件,応用,ケース判断,中,中,毎晩0時に前日分の購買データをまとめて処理し、翌朝の推薦リストを作成している。最も近い推論方式はどれか。,一定量のデータをまとめて処理するバッチ推論,活性化関数をReLUにすれば運用リスクはなくなる,モデルの精度だけを上げれば運用上の問題はすべて解決する,学習率を下げればセキュリティと可用性は自動的に保証される,A,バッチ推論はデータを一定量まとめて定期処理する方式。即時応答が必要なオンライン推論とは異なる。,正しい。一定量のデータをまとめて処理するバッチ推論。,誤り。「活性化関数をReLUにすれば運用リスクはなくなる」は、この設問で問う「バッチ推論」の説明としては適切でない。,誤り。「モデルの精度だけを上げれば運用上の問題はすべて解決する」は、この設問で問う「バッチ推論」の説明としては適切でない。,誤り。「学習率を下げればセキュリティと可用性は自動的に保証される」は、この設問で問う「バッチ推論」の説明としては適切でない。,リアルタイムで1件ずつ返すのではなく、まとめて処理する点が本質。,バッチ推論;オンライン推論;推薦;夜間処理,さいはてでは、ミチを動かすだけでなく、止め方・戻し方・観測方法まで決めて初めて安全なAI運用になる。
R21-006,Rebuild_Set21,検索性重視・非重複50問,compare,オンライン推論,AIシステム設計・クラウドAI・運用アーキテクチャ・非機能要件,理解,比較・用語判断,中,中,ユーザーが検索ボタンを押した瞬間に、その入力内容に応じてランキングを返す必要がある。最も適した推論方式はどれか。,モデルの精度だけを上げれば運用上の問題はすべて解決する,リクエストごとに即時応答するオンライン推論,学習率を下げればセキュリティと可用性は自動的に保証される,テストデータを本番判断に混ぜれば信頼性が高まる,B,オンライン推論はリクエストごとに即時応答する方式。ユーザー操作に合わせたリアルタイムな判定や推薦で使われる。,誤り。「モデルの精度だけを上げれば運用上の問題はすべて解決する」は、この設問で問う「オンライン推論」の説明としては適切でない。,正しい。リクエストごとに即時応答するオンライン推論。,誤り。「学習率を下げればセキュリティと可用性は自動的に保証される」は、この設問で問う「オンライン推論」の説明としては適切でない。,誤り。「テストデータを本番判断に混ぜれば信頼性が高まる」は、この設問で問う「オンライン推論」の説明としては適切でない。,オンライン推論は「学習がオンライン」という意味だけではなく、本番リクエストへの即時推論として問われることがある。,オンライン推論;リアルタイム推論;ランキング;API,さいはてでは、ミチを動かすだけでなく、止め方・戻し方・観測方法まで決めて初めて安全なAI運用になる。
R21-007,Rebuild_Set21,検索性重視・非重複50問,case,非同期処理,AIシステム設計・クラウドAI・運用アーキテクチャ・非機能要件,応用,ケース判断,中,中,大量の文書要約を受け付けるAPIで、要求をすぐ受理し、処理完了後に結果を通知する設計にした。最も近い考え方はどれか。,学習率を下げればセキュリティと可用性は自動的に保証される,テストデータを本番判断に混ぜれば信頼性が高まる,受付と完了を切り離す非同期処理,GPU台数を増やすことがこの設計の主目的である,C,非同期処理はリクエスト受付と処理完了を切り離す方式。時間のかかるAI処理でタイムアウトを避けやすい。,誤り。「学習率を下げればセキュリティと可用性は自動的に保証される」は、この設問で問う「非同期処理」の説明としては適切でない。,誤り。「テストデータを本番判断に混ぜれば信頼性が高まる」は、この設問で問う「非同期処理」の説明としては適切でない。,正しい。受付と完了を切り離す非同期処理。,誤り。「GPU台数を増やすことがこの設計の主目的である」は、この設問で問う「非同期処理」の説明としては適切でない。,その場で待たせる同期処理と、受付後に後続処理へ回す非同期処理を区別する。,非同期処理;キュー;文書要約;タイムアウト,さいはてでは、ミチを動かすだけでなく、止め方・戻し方・観測方法まで決めて初めて安全なAI運用になる。
R21-008,Rebuild_Set21,検索性重視・非重複50問,case,冪等性,AIシステム設計・クラウドAI・運用アーキテクチャ・非機能要件,応用,ケース判断,中,中,同じ推論ジョブ送信リクエストがネットワーク再送で2回届いても、重複課金や重複実行が起きないようにした。最も関係が深い性質はどれか。,テストデータを本番判断に混ぜれば信頼性が高まる,GPU台数を増やすことがこの設計の主目的である,データを削除すればAIシステム設計は不要になる,同じ操作を複数回行っても結果が変わらない冪等性,D,冪等性は同じ操作を複数回実行しても結果が変わらない性質。API再送やジョブ受付で重要になる。,誤り。「テストデータを本番判断に混ぜれば信頼性が高まる」は、この設問で問う「冪等性」の説明としては適切でない。,誤り。「GPU台数を増やすことがこの設計の主目的である」は、この設問で問う「冪等性」の説明としては適切でない。,誤り。「データを削除すればAIシステム設計は不要になる」は、この設問で問う「冪等性」の説明としては適切でない。,正しい。同じ操作を複数回行っても結果が変わらない冪等性。,「同じリクエストが2回きたら2回実行してよい」ではない。再送耐性がポイント。,冪等性;idempotency;API再送;ジョブ管理,さいはてでは、ミチを動かすだけでなく、止め方・戻し方・観測方法まで決めて初めて安全なAI運用になる。
R21-009,Rebuild_Set21,検索性重視・非重複50問,case,サーキットブレーカー,AIシステム設計・クラウドAI・運用アーキテクチャ・非機能要件,応用,ケース判断,中,中,外部LLM APIが不安定なとき、一定回数失敗したら一時的に呼び出しを止め、システム全体の連鎖障害を防いだ。最も近い設計はどれか。,失敗が続く外部呼び出しを一時遮断するサーキットブレーカー,GPU台数を増やすことがこの設計の主目的である,データを削除すればAIシステム設計は不要になる,活性化関数をReLUにすれば運用リスクはなくなる,A,サーキットブレーカーは失敗が続く外部サービスへの呼び出しを一時遮断し、連鎖障害を抑える設計パターン。,正しい。失敗が続く外部呼び出しを一時遮断するサーキットブレーカー。,誤り。「GPU台数を増やすことがこの設計の主目的である」は、この設問で問う「サーキットブレーカー」の説明としては適切でない。,誤り。「データを削除すればAIシステム設計は不要になる」は、この設問で問う「サーキットブレーカー」の説明としては適切でない。,誤り。「活性化関数をReLUにすれば運用リスクはなくなる」は、この設問で問う「サーキットブレーカー」の説明としては適切でない。,単なるリトライの増加では、むしろ外部サービスに負荷をかけることがある。,サーキットブレーカー;外部API;LLM API;連鎖障害,さいはてでは、ミチを動かすだけでなく、止め方・戻し方・観測方法まで決めて初めて安全なAI運用になる。
R21-010,Rebuild_Set21,検索性重視・非重複50問,case,フォールバック,AIシステム設計・クラウドAI・運用アーキテクチャ・非機能要件,応用,ケース判断,中,中,生成AIによる回答が失敗した場合、あらかじめ用意したFAQ検索結果や有人窓口への案内に切り替える設計にした。最も近い考え方はどれか。,データを削除すればAIシステム設計は不要になる,失敗時に代替手段へ切り替えるフォールバック,活性化関数をReLUにすれば運用リスクはなくなる,モデルの精度だけを上げれば運用上の問題はすべて解決する,B,フォールバックは主経路が失敗したときに代替手段へ切り替える設計。AIが失敗しうる前提で安全な代替経路を用意する。,誤り。「データを削除すればAIシステム設計は不要になる」は、この設問で問う「フォールバック」の説明としては適切でない。,正しい。失敗時に代替手段へ切り替えるフォールバック。,誤り。「活性化関数をReLUにすれば運用リスクはなくなる」は、この設問で問う「フォールバック」の説明としては適切でない。,誤り。「モデルの精度だけを上げれば運用上の問題はすべて解決する」は、この設問で問う「フォールバック」の説明としては適切でない。,AIを常に成功するものとみなさず、失敗時の退避先を設計する。,フォールバック;FAQ検索;有人対応;生成AI障害,さいはてでは、ミチを動かすだけでなく、止め方・戻し方・観測方法まで決めて初めて安全なAI運用になる。
