id,set,phase,question_type,topic,source_area,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,search_keywords,story_hint
R22-001,Rebuild_Set22,検索性重視・非重複50問,term,身体性,ロボティクス・身体性・センサーフュージョン,理解,用語説明,低,中,身体性を重視するAI観の説明として最も適切なものはどれか。,知能は記号処理だけでなく、身体・環境との相互作用を通じて形成されるという考え方,学習率を大きくすれば身体を持たないAIでも必ず知能が高まるという考え方,GPUを搭載したロボットだけを知能と呼ぶ考え方,人間の身体特徴を完全に模倣しなければAIではないという考え方,A,身体性は、知能を身体と環境の相互作用から捉える考え方である。記号処理だけに閉じない点が試験で問われやすい。,正解。,学習率を大きくすれば身体を持たないAIでも必ず知能が高まるという考え方はこの設問の中心ではない。,GPUを搭載したロボットだけを知能と呼ぶ考え方はこの設問の中心ではない。,人間の身体特徴を完全に模倣しなければAIではないという考え方はこの設問の中心ではない。,身体性を「人型ロボット必須」と誤解させる選択肢に注意。,身体性;環境との相互作用;記号処理;ロボット;知能,さいはてでは、イオの判断は世界との反応の中で立ち上がる。試験では身体・環境・相互作用に戻す。
R22-002,Rebuild_Set22,検索性重視・非重複50問,compare,ロボットとAI,ロボティクス・身体性・センサーフュージョン,理解,比較,低,中,ロボットとAIの関係として最も適切なものはどれか。,ロボットは必ずAIを搭載しているため、AIと同義である,ロボットは物理的に動作する機械を指し、AIは知的処理を担う技術であり、両者は同義ではない,AIはセンサーを持つ機械だけを指すため、ソフトウェア単体のAIは存在しない,ロボットはソフトウェアだけで構成され、物理的機構を持たない,B,ロボットは物理的な機械・装置、AIは認識・判断・学習などの知的処理技術であり、重なる場合はあるが同じ概念ではない。,ロボットは必ずAIを搭載しているため、AIと同義であるはこの設問の中心ではない。,正解。,AIはセンサーを持つ機械だけを指すため、ソフトウェア単体のAIは存在しないはこの設問の中心ではない。,ロボットはソフトウェアだけで構成され、物理的機構を持たないはこの設問の中心ではない。,「ロボット＝AI」と短絡するひっかけ。,ロボット;AI;物理機械;知的処理;ソフトウェア,四年五組でサッカーボールが地図でも、地図とボールは同義ではない。重なる役割と概念の違いを分ける。
R22-003,Rebuild_Set22,検索性重視・非重複50問,case,センサーフュージョン,ロボティクス・身体性・センサーフュージョン,適用,ケース判断,中,中,自律移動ロボットが、カメラだけでは暗所で不安定、LiDARだけでは標識文字を読めない。複数センサーの情報を統合して認識を安定させたい。この考え方に最も近いものはどれか。,エポック数の増加,データ拡張,センサーフュージョン,早期終了,C,センサーフュージョンは、カメラ、LiDAR、IMUなど複数センサーの情報を統合し、単独センサーの弱点を補う考え方である。,エポック数の増加はこの設問の中心ではない。,データ拡張はこの設問の中心ではない。,正解。,早期終了はこの設問の中心ではない。,複数データを増やす話と、複数センサーを統合する話を混同しない。,センサーフュージョン;カメラ;LiDAR;IMU;自律移動,さいはての世界が水面・床・通知の複数兆候を合わせて状態を見るイメージ。ただし正解はセンサー統合。
R22-004,Rebuild_Set22,検索性重視・非重複50問,term,SLAM,ロボティクス・身体性・センサーフュージョン,理解,用語説明,低,中,SLAMの説明として最も適切なものはどれか。,教師データのラベルを自動生成する手法,画像を文章に変換する生成AIの一種,深層学習モデルを量子化する手法,自己位置推定と地図作成を同時に行う技術,D,SLAMはSimultaneous Localization and Mappingの略で、移動体が未知環境で自己位置推定と地図作成を同時に行う技術である。,教師データのラベルを自動生成する手法はこの設問の中心ではない。,画像を文章に変換する生成AIの一種はこの設問の中心ではない。,深層学習モデルを量子化する手法はこの設問の中心ではない。,正解。,SLAMは画像生成や量子化ではなく、位置と地図の同時推定。,SLAM;自己位置推定;地図作成;移動ロボット;Localization;Mapping,四年五組なら、歩きながら自分の場所と町の形を同時に確かめる感じ。試験では自己位置推定＋地図作成。
R22-005,Rebuild_Set22,検索性重視・非重複50問,compare,自己位置推定と地図作成,ロボティクス・身体性・センサーフュージョン,理解,比較,低,中,SLAMにおける自己位置推定と地図作成の関係として最も適切なものはどれか。,地図が不完全な中で自己位置を推定し、自己位置の推定を使って地図も更新する,自己位置推定は不要で、最初から完全な地図だけを用意すればよい,地図作成は教師あり学習の分類問題と常に同じである,自己位置推定はロボットの外観デザインを決める処理である,A,未知環境では、位置が分からないと地図を作りにくく、地図がないと位置も分かりにくい。この相互依存を同時に扱うのがSLAMの要点である。,正解。,自己位置推定は不要で、最初から完全な地図だけを用意すればよいはこの設問の中心ではない。,地図作成は教師あり学習の分類問題と常に同じであるはこの設問の中心ではない。,自己位置推定はロボットの外観デザインを決める処理であるはこの設問の中心ではない。,「地図だけ先に完全にある」とする選択肢に注意。,SLAM;自己位置推定;地図作成;未知環境;相互依存,イオが見えている世界と自分の立ち位置を同時に確かめる感覚。試験では相互依存を押さえる。
R22-006,Rebuild_Set22,検索性重視・非重複50問,term,LiDAR,ロボティクス・身体性・センサーフュージョン,知識,用語説明,低,低,LiDARの説明として最も適切なものはどれか。,音声波形から単語列を推定する技術,レーザー光などを用いて距離や周囲形状を計測するセンサー技術,文章から感情極性を分類する自然言語処理技術,ニューラルネットワークの勾配を小さくする正則化手法,B,LiDARは光を用いて距離を測定し、周囲の3次元構造把握などに使われるセンサー技術である。,音声波形から単語列を推定する技術はこの設問の中心ではない。,正解。,文章から感情極性を分類する自然言語処理技術はこの設問の中心ではない。,ニューラルネットワークの勾配を小さくする正則化手法はこの設問の中心ではない。,LiDARをAIモデル名やNLP技術と混同しない。,LiDAR;レーザー;距離計測;3次元点群;自動運転,光で距離を測る道具。物語では視線のように感じても、試験ではセンサー技術。
R22-007,Rebuild_Set22,検索性重視・非重複50問,case,IMUとドリフト,ロボティクス・身体性・センサーフュージョン,適用,ケース判断,中,中,ロボットがIMUで加速度や角速度を積分して移動量を推定したところ、時間がたつほど位置推定の誤差が蓄積した。この問題の説明として最も適切なものはどれか。,過学習により訓練データだけに適合した,F値が高すぎて分類境界が消えた,積分に伴うドリフトが蓄積した,著作権侵害により推定値が変化した,C,IMUは加速度・角速度を測るが、積分して位置や姿勢を推定すると小さな誤差が時間とともに蓄積しやすい。,過学習により訓練データだけに適合したはこの設問の中心ではない。,F値が高すぎて分類境界が消えたはこの設問の中心ではない。,正解。,著作権侵害により推定値が変化したはこの設問の中心ではない。,評価指標や法律問題に見せる選択肢に注意。,IMU;加速度;角速度;ドリフト;自己位置推定,小さなズレが旅の途中で大きなズレになる。試験ではIMUのドリフト。
R22-008,Rebuild_Set22,検索性重視・非重複50問,term,オドメトリ,ロボティクス・身体性・センサーフュージョン,理解,用語説明,低,中,オドメトリの説明として最も適切なものはどれか。,モデルの著作権リスクを測る指標,文章生成AIの安全性評価方法,人手評価のばらつきを補正する統計処理,車輪回転量などから移動量や位置を推定する方法,D,オドメトリは、車輪の回転量などを使って移動量や自己位置を推定する方法である。滑りなどで誤差が蓄積することがある。,モデルの著作権リスクを測る指標はこの設問の中心ではない。,文章生成AIの安全性評価方法はこの設問の中心ではない。,人手評価のばらつきを補正する統計処理はこの設問の中心ではない。,正解。,オドメトリを評価指標や法務用語と取り違えない。,オドメトリ;車輪回転量;移動量;自己位置推定;誤差蓄積,四年五組で歩数から場所を推測するようなもの。ただし滑ればズレる。
R22-009,Rebuild_Set22,検索性重視・非重複50問,term,カルマンフィルタ,ロボティクス・身体性・センサーフュージョン,理解,用語説明,中,中,カルマンフィルタの説明として最も適切なものはどれか。,予測値と観測値を統計的に統合し、状態推定を逐次更新する手法,敵対的サンプルを自動生成する攻撃手法,画像生成モデルの潜在空間を可視化する手法,自然言語の単語をサブワードに分割する手法,A,カルマンフィルタは、システムの予測と観測を組み合わせて状態を推定する代表的な逐次推定手法である。ロボットの位置推定などで用いられる。,正解。,敵対的サンプルを自動生成する攻撃手法はこの設問の中心ではない。,画像生成モデルの潜在空間を可視化する手法はこの設問の中心ではない。,自然言語の単語をサブワードに分割する手法はこの設問の中心ではない。,「フィルタ」という語から画像処理だけと決めつけない。,カルマンフィルタ;状態推定;予測;観測;逐次更新,観測と予測を合わせる。さいはての世界が兆候と予測をすり合わせるイメージ。
R22-010,Rebuild_Set22,検索性重視・非重複50問,compare,パーティクルフィルタ,ロボティクス・身体性・センサーフュージョン,理解,比較,中,中,パーティクルフィルタの説明として最も適切なものはどれか。,重みをL2正則化で小さく保つニューラルネットワーク手法,多数の粒子で状態分布を近似し、観測に応じて重みを更新する推定手法,文章の次トークン確率だけを最大化する事前学習手法,正解ラベルを人手で付けるアノテーション方針,B,パーティクルフィルタは多数のサンプル粒子で確率分布を近似し、観測に応じて粒子の重みを更新する状態推定手法である。,重みをL2正則化で小さく保つニューラルネットワーク手法はこの設問の中心ではない。,正解。,文章の次トークン確率だけを最大化する事前学習手法はこの設問の中心ではない。,正解ラベルを人手で付けるアノテーション方針はこの設問の中心ではない。,particleを「データの粒度」と誤解しない。,パーティクルフィルタ;粒子;状態推定;確率分布;重み更新,たくさんの仮説を並べ、観測で残す。試験では粒子による分布近似。
