id,set,phase,question_type,topic,source_area,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,search_keywords,story_hint
G3000-R17-001,Rebuild_Set17_50問,rebuild_50_no_duplicate,term,モデル評価,評価設計,理解・比較・ケース判断,4択・誤答理由付き,G検定頻出＋生成AI時代の評価観点,指標名の暗記ではなく、評価目的と使い分けを問う,モデル評価で「汎化性能」を確認する目的として最も適切なものはどれか。,未知データに対しても期待した性能を発揮できるかを確認するため。,評価データはモデル改善のたびに何度でも見てよく、最終評価への影響はない。,ベンチマークの順位が高ければ、すべての利用場面で安全性と公平性も保証される。,人手評価は主観を含むため、AIシステム評価では常に不要である。,A,汎化性能は未知データへの対応力であり、訓練データの暗記ではない。,正解選択肢。,誤り。評価データはモデル改善のたびに何度でも見てよく、最終評価への影響はない。,誤り。ベンチマークの順位が高ければ、すべての利用場面で安全性と公平性も保証される。,誤り。人手評価は主観を含むため、AIシステム評価では常に不要である。,訓練データの性能、単一ベンチマーク、流暢なLLM出力を「本番で安全」と取り違えない。,汎化性能;未知データ;テストデータ;過学習,さいはて：観測済みの記録だけでなく、まだ来ていない未来への強さを見る。
G3000-R17-002,Rebuild_Set17_50問,rebuild_50_no_duplicate,case,テストデータ,評価設計,理解・比較・ケース判断,4択・誤答理由付き,G検定頻出＋生成AI時代の評価観点,指標名の暗記ではなく、評価目的と使い分けを問う,開発チームがテストデータの結果を見ながら何度も特徴量を調整した。最も問題になりやすい点はどれか。,テストデータが実質的に開発に使われ、最終評価が甘くなること。,ベンチマークの順位が高ければ、すべての利用場面で安全性と公平性も保証される。,人手評価は主観を含むため、AIシステム評価では常に不要である。,オンライン評価は実ユーザーに影響するため、ログや監視なしで短期間に実施するのが望ましい。,A,テストデータを繰り返し見て調整すると、評価対象に適合してしまう。,正解選択肢。,誤り。ベンチマークの順位が高ければ、すべての利用場面で安全性と公平性も保証される。,誤り。人手評価は主観を含むため、AIシステム評価では常に不要である。,誤り。オンライン評価は実ユーザーに影響するため、ログや監視なしで短期間に実施するのが望ましい。,訓練データの性能、単一ベンチマーク、流暢なLLM出力を「本番で安全」と取り違えない。,テストデータ;検証データ;データリーケージ;過学習,四年五組：テストの答えを見ながら練習したら、本番力とは言えない。
G3000-R17-003,Rebuild_Set17_50問,rebuild_50_no_duplicate,case,層化抽出,評価設計,理解・比較・ケース判断,4択・誤答理由付き,G検定頻出＋生成AI時代の評価観点,指標名の暗記ではなく、評価目的と使い分けを問う,陽性が全体の5%しかない分類データを分割する。評価用データに陽性がほとんど入らない事態を避ける方法として適切なのはどれか。,各分割でクラス比率が大きく崩れないように層化抽出を使う。,人手評価は主観を含むため、AIシステム評価では常に不要である。,オンライン評価は実ユーザーに影響するため、ログや監視なしで短期間に実施するのが望ましい。,LLM評価では、正確性だけを見ればよく、有害性・一貫性・根拠提示は評価対象にしない。,A,不均衡データでは、分割時に少数クラスが消えないように注意する。,正解選択肢。,誤り。人手評価は主観を含むため、AIシステム評価では常に不要である。,誤り。オンライン評価は実ユーザーに影響するため、ログや監視なしで短期間に実施するのが望ましい。,誤り。LLM評価では、正確性だけを見ればよく、有害性・一貫性・根拠提示は評価対象にしない。,訓練データの性能、単一ベンチマーク、流暢なLLM出力を「本番で安全」と取り違えない。,層化抽出;不均衡データ;クラス比率;分類評価,四年五組：少ない役の子を片方の班に全部寄せない。
G3000-R17-004,Rebuild_Set17_50問,rebuild_50_no_duplicate,term,混同行列,評価指標,理解・比較・ケース判断,4択・誤答理由付き,G検定頻出＋生成AI時代の評価観点,指標名の暗記ではなく、評価目的と使い分けを問う,混同行列を使う主な目的として最も適切なものはどれか。,真陽性・偽陽性・真陰性・偽陰性を分けて、分類の誤り方を見るため。,オンライン評価は実ユーザーに影響するため、ログや監視なしで短期間に実施するのが望ましい。,LLM評価では、正確性だけを見ればよく、有害性・一貫性・根拠提示は評価対象にしない。,分布外データへの弱さは、テストデータの正解率が高ければ原理的に起こらない。,A,混同行列は正解率だけでは見えない誤分類の内訳を把握できる。,正解選択肢。,誤り。オンライン評価は実ユーザーに影響するため、ログや監視なしで短期間に実施するのが望ましい。,誤り。LLM評価では、正確性だけを見ればよく、有害性・一貫性・根拠提示は評価対象にしない。,誤り。分布外データへの弱さは、テストデータの正解率が高ければ原理的に起こらない。,訓練データの性能、単一ベンチマーク、流暢なLLM出力を「本番で安全」と取り違えない。,混同行列;TP;FP;TN;FN;分類評価,さいはて：ただ成功率を見るのでなく、どの種類の誤観測かを見る。
G3000-R17-005,Rebuild_Set17_50問,rebuild_50_no_duplicate,case,閾値調整,評価指標,理解・比較・ケース判断,4択・誤答理由付き,G検定頻出＋生成AI時代の評価観点,指標名の暗記ではなく、評価目的と使い分けを問う,病気スクリーニングで見逃しを減らしたい。モデルの確率出力に対する対応として最も適切なのはどれか。,陽性判定の閾値を下げるなどして再現率を高める方向を検討する。,LLM評価では、正確性だけを見ればよく、有害性・一貫性・根拠提示は評価対象にしない。,分布外データへの弱さは、テストデータの正解率が高ければ原理的に起こらない。,アブレーションは、学習データを匿名化するための前処理である。,A,見逃しを減らす場面では再現率重視の閾値設定が候補になる。,正解選択肢。,誤り。LLM評価では、正確性だけを見ればよく、有害性・一貫性・根拠提示は評価対象にしない。,誤り。分布外データへの弱さは、テストデータの正解率が高ければ原理的に起こらない。,誤り。アブレーションは、学習データを匿名化するための前処理である。,訓練データの性能、単一ベンチマーク、流暢なLLM出力を「本番で安全」と取り違えない。,閾値調整;再現率;見逃し;スクリーニング,四年五組：黒を見逃さないために、少しでも怪しいものを拾う。
G3000-R17-006,Rebuild_Set17_50問,rebuild_50_no_duplicate,case,適合率,評価指標,理解・比較・ケース判断,4択・誤答理由付き,G検定頻出＋生成AI時代の評価観点,指標名の暗記ではなく、評価目的と使い分けを問う,迷惑メール判定で、通常メールを迷惑メール扱いする誤検出を減らしたい。重視しやすい指標はどれか。,適合率を重視し、迷惑メールと判定したものの正しさを見る。,分布外データへの弱さは、テストデータの正解率が高ければ原理的に起こらない。,アブレーションは、学習データを匿名化するための前処理である。,A/Bテストは、オフラインの混同行列を作るだけで完結する評価方法である。,A,誤検出を減らしたい場面では、陽性予測の正しさである適合率が重要になる。,正解選択肢。,誤り。分布外データへの弱さは、テストデータの正解率が高ければ原理的に起こらない。,誤り。アブレーションは、学習データを匿名化するための前処理である。,誤り。A/Bテストは、オフラインの混同行列を作るだけで完結する評価方法である。,訓練データの性能、単一ベンチマーク、流暢なLLM出力を「本番で安全」と取り違えない。,適合率;偽陽性;迷惑メール;誤検出,さいはて：警報を鳴らした時、本当に危険だったかを重く見る。
G3000-R17-007,Rebuild_Set17_50問,rebuild_50_no_duplicate,term,F値,評価指標,理解・比較・ケース判断,4択・誤答理由付き,G検定頻出＋生成AI時代の評価観点,指標名の暗記ではなく、評価目的と使い分けを問う,F値の説明として最も適切なものはどれか。,適合率と再現率の調和平均で、両者のバランスを見る指標。,アブレーションは、学習データを匿名化するための前処理である。,A/Bテストは、オフラインの混同行列を作るだけで完結する評価方法である。,校正された確率とは、モデルが常に100%の確信度を出す状態を指す。,A,F値は適合率と再現率の片方だけが高い状況を評価しにくくする。,正解選択肢。,誤り。アブレーションは、学習データを匿名化するための前処理である。,誤り。A/Bテストは、オフラインの混同行列を作るだけで完結する評価方法である。,誤り。校正された確率とは、モデルが常に100%の確信度を出す状態を指す。,訓練データの性能、単一ベンチマーク、流暢なLLM出力を「本番で安全」と取り違えない。,F値;適合率;再現率;調和平均,四年五組：見逃さない力と空振りしない力の両方を見る。
G3000-R17-008,Rebuild_Set17_50問,rebuild_50_no_duplicate,case,ROC-AUC,評価指標,理解・比較・ケース判断,4択・誤答理由付き,G検定頻出＋生成AI時代の評価観点,指標名の暗記ではなく、評価目的と使い分けを問う,分類モデルの閾値を変えたときの真陽性率と偽陽性率の関係を見たい。関連が深いものはどれか。,ROC曲線やAUCを使って、閾値に依存する識別性能を見る。,A/Bテストは、オフラインの混同行列を作るだけで完結する評価方法である。,校正された確率とは、モデルが常に100%の確信度を出す状態を指す。,訓練データに対する損失だけを下げれば、未知データでの性能も必ず保証される。,A,ROC-AUCは閾値を動かしたときの分類性能を評価する。,正解選択肢。,誤り。A/Bテストは、オフラインの混同行列を作るだけで完結する評価方法である。,誤り。校正された確率とは、モデルが常に100%の確信度を出す状態を指す。,誤り。訓練データに対する損失だけを下げれば、未知データでの性能も必ず保証される。,訓練データの性能、単一ベンチマーク、流暢なLLM出力を「本番で安全」と取り違えない。,ROC曲線;AUC;真陽性率;偽陽性率;閾値,さいはて：判定基準を動かしても見える力を測る。
G3000-R17-009,Rebuild_Set17_50問,rebuild_50_no_duplicate,compare,PR曲線,評価指標,理解・比較・ケース判断,4択・誤答理由付き,G検定頻出＋生成AI時代の評価観点,指標名の暗記ではなく、評価目的と使い分けを問う,不均衡データで陽性クラスの検出性能を詳しく見たい場合、ROC曲線よりPR曲線が注目されることがある理由はどれか。,適合率と再現率の関係を直接見られ、少数陽性の検出状況を把握しやすいから。,校正された確率とは、モデルが常に100%の確信度を出す状態を指す。,訓練データに対する損失だけを下げれば、未知データでの性能も必ず保証される。,評価データはモデル改善のたびに何度でも見てよく、最終評価への影響はない。,A,PR曲線は少数クラスを重視する評価で使われやすい。,正解選択肢。,誤り。校正された確率とは、モデルが常に100%の確信度を出す状態を指す。,誤り。訓練データに対する損失だけを下げれば、未知データでの性能も必ず保証される。,誤り。評価データはモデル改善のたびに何度でも見てよく、最終評価への影響はない。,訓練データの性能、単一ベンチマーク、流暢なLLM出力を「本番で安全」と取り違えない。,PR曲線;適合率;再現率;不均衡データ,四年五組：少ない黒の手がかりをどれだけ拾えて、空振りしないかを見る。
G3000-R17-010,Rebuild_Set17_50問,rebuild_50_no_duplicate,term,回帰評価,評価指標,理解・比較・ケース判断,4択・誤答理由付き,G検定頻出＋生成AI時代の評価観点,指標名の暗記ではなく、評価目的と使い分けを問う,回帰問題でMAEを使う場合の特徴として最も適切なものはどれか。,予測誤差の絶対値の平均を取り、誤差の大きさを元の単位に近い形で見られる。,訓練データに対する損失だけを下げれば、未知データでの性能も必ず保証される。,評価データはモデル改善のたびに何度でも見てよく、最終評価への影響はない。,ベンチマークの順位が高ければ、すべての利用場面で安全性と公平性も保証される。,A,MAEは誤差の絶対値を平均するため、外れ値への感度はMSEより相対的に小さい。,正解選択肢。,誤り。訓練データに対する損失だけを下げれば、未知データでの性能も必ず保証される。,誤り。評価データはモデル改善のたびに何度でも見てよく、最終評価への影響はない。,誤り。ベンチマークの順位が高ければ、すべての利用場面で安全性と公平性も保証される。,訓練データの性能、単一ベンチマーク、流暢なLLM出力を「本番で安全」と取り違えない。,MAE;MSE;RMSE;回帰評価,さいはて：ズレの距離をそのまま平均して見る。
