id,set,phase,question_type,topic,source_area,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,search_keywords,story_hint
R19-001,Rebuild_Set19,検索性重視・非重複50問,term,事前学習,基盤モデル学習・LLM効率化・事前学習/ファインチューニング,理解,用語説明,中,中,基盤モデル・LLM運用の文脈で「事前学習」について問う。最も適切な説明はどれか。,大量の一般データで汎用的な表現を先に学ぶ段階,ファインチューニング,量子化,評価汚染,A,事前学習は、大量の一般データで汎用的な表現を先に学ぶ段階として押さえる。G検定では似た用語との棲み分けで問われやすい。,正しい。大量の一般データで汎用的な表現を先に学ぶ段階。,誤り。ファインチューニングは「事前学習」の説明としては適切でない。,誤り。量子化は「事前学習」の説明としては適切でない。,誤り。評価汚染は「事前学習」の説明としては適切でない。,事前学習を、推論効率化・学習方法・評価不正・法的保証など別カテゴリの用語と混同しない。,基盤モデル;事前学習;汎用表現;LLM,ミチを学ばせるのか、軽くするのか、外部資料を見に行かせるのかを分けて覚える。
R19-002,Rebuild_Set19,検索性重視・非重複50問,case,自己教師あり学習,基盤モデル学習・LLM効率化・事前学習/ファインチューニング,応用,ケース判断,中,中,基盤モデル・LLM運用の文脈で「自己教師あり学習」について問う。最も適切な説明はどれか。,入力データ自身から予測課題を作り、次トークン予測などで学ぶ方法,教師あり分類,強化学習,物体検出アノテーション,A,自己教師あり学習は、入力データ自身から予測課題を作り、次トークン予測などで学ぶ方法として押さえる。G検定では似た用語との棲み分けで問われやすい。,正しい。入力データ自身から予測課題を作り、次トークン予測などで学ぶ方法。,誤り。教師あり分類は「自己教師あり学習」の説明としては適切でない。,誤り。強化学習は「自己教師あり学習」の説明としては適切でない。,誤り。物体検出アノテーションは「自己教師あり学習」の説明としては適切でない。,自己教師あり学習を、推論効率化・学習方法・評価不正・法的保証など別カテゴリの用語と混同しない。,自己教師あり学習;次トークン予測;LLM;ラベルなし,ミチを学ばせるのか、軽くするのか、外部資料を見に行かせるのかを分けて覚える。
R19-003,Rebuild_Set19,検索性重視・非重複50問,term,次トークン予測,基盤モデル学習・LLM効率化・事前学習/ファインチューニング,理解,用語説明,中,中,基盤モデル・LLM運用の文脈で「次トークン予測」について問う。最も適切な説明はどれか。,過去の文脈から次に来るトークンの確率分布を推定すること,最短経路探索,辞書順生成,画像平均化,A,次トークン予測は、過去の文脈から次に来るトークンの確率分布を推定することとして押さえる。G検定では似た用語との棲み分けで問われやすい。,正しい。過去の文脈から次に来るトークンの確率分布を推定すること。,誤り。最短経路探索は「次トークン予測」の説明としては適切でない。,誤り。辞書順生成は「次トークン予測」の説明としては適切でない。,誤り。画像平均化は「次トークン予測」の説明としては適切でない。,次トークン予測を、推論効率化・学習方法・評価不正・法的保証など別カテゴリの用語と混同しない。,次トークン予測;自己回帰;GPT;確率分布,ミチを学ばせるのか、軽くするのか、外部資料を見に行かせるのかを分けて覚える。
R19-004,Rebuild_Set19,検索性重視・非重複50問,term,Masked Language Modeling,基盤モデル学習・LLM効率化・事前学習/ファインチューニング,理解,用語説明,中,中,基盤モデル・LLM運用の文脈で「Masked Language Modeling」について問う。最も適切な説明はどれか。,文中の一部トークンを隠し、前後の文脈から予測する事前学習課題,次トークンだけの左から右予測,拡散過程,報酬最大化,A,Masked Language Modelingは、文中の一部トークンを隠し、前後の文脈から予測する事前学習課題として押さえる。G検定では似た用語との棲み分けで問われやすい。,正しい。文中の一部トークンを隠し、前後の文脈から予測する事前学習課題。,誤り。次トークンだけの左から右予測は「Masked Language Modeling」の説明としては適切でない。,誤り。拡散過程は「Masked Language Modeling」の説明としては適切でない。,誤り。報酬最大化は「Masked Language Modeling」の説明としては適切でない。,Masked Language Modelingを、推論効率化・学習方法・評価不正・法的保証など別カテゴリの用語と混同しない。,BERT;MLM;Masked Language Modeling;双方向文脈,ミチを学ばせるのか、軽くするのか、外部資料を見に行かせるのかを分けて覚える。
R19-005,Rebuild_Set19,検索性重視・非重複50問,case,トークナイザ,基盤モデル学習・LLM効率化・事前学習/ファインチューニング,応用,ケース判断,中,中,基盤モデル・LLM運用の文脈で「トークナイザ」について問う。最も適切な説明はどれか。,自然言語をモデルが扱いやすいトークン単位に分け、ID列に変換する仕組み,GPU冷却機構,法的保証機能,著作権消滅処理,A,トークナイザは、自然言語をモデルが扱いやすいトークン単位に分け、ID列に変換する仕組みとして押さえる。G検定では似た用語との棲み分けで問われやすい。,正しい。自然言語をモデルが扱いやすいトークン単位に分け、ID列に変換する仕組み。,誤り。GPU冷却機構は「トークナイザ」の説明としては適切でない。,誤り。法的保証機能は「トークナイザ」の説明としては適切でない。,誤り。著作権消滅処理は「トークナイザ」の説明としては適切でない。,トークナイザを、推論効率化・学習方法・評価不正・法的保証など別カテゴリの用語と混同しない。,トークナイザ;トークン;サブワード;ID列,ミチを学ばせるのか、軽くするのか、外部資料を見に行かせるのかを分けて覚える。
R19-006,Rebuild_Set19,検索性重視・非重複50問,term,サブワード分割,基盤モデル学習・LLM効率化・事前学習/ファインチューニング,理解,用語説明,中,中,基盤モデル・LLM運用の文脈で「サブワード分割」について問う。最も適切な説明はどれか。,未知語や新語をより小さな単位に分け、語彙外問題を緩和する考え方,意味理解保証,法的リスク消滅,全文1トークン化,A,サブワード分割は、未知語や新語をより小さな単位に分け、語彙外問題を緩和する考え方として押さえる。G検定では似た用語との棲み分けで問われやすい。,正しい。未知語や新語をより小さな単位に分け、語彙外問題を緩和する考え方。,誤り。意味理解保証は「サブワード分割」の説明としては適切でない。,誤り。法的リスク消滅は「サブワード分割」の説明としては適切でない。,誤り。全文1トークン化は「サブワード分割」の説明としては適切でない。,サブワード分割を、推論効率化・学習方法・評価不正・法的保証など別カテゴリの用語と混同しない。,サブワード;BPE;SentencePiece;未知語;語彙外問題,ミチを学ばせるのか、軽くするのか、外部資料を見に行かせるのかを分けて覚える。
R19-007,Rebuild_Set19,検索性重視・非重複50問,case,埋め込み表現,基盤モデル学習・LLM効率化・事前学習/ファインチューニング,応用,ケース判断,中,中,基盤モデル・LLM運用の文脈で「埋め込み表現」について問う。最も適切な説明はどれか。,単語や文を意味的な近さを扱える数値ベクトルとして表したもの,削除用暗号鍵,ゼロ初期化手順,逆伝播禁止規則,A,埋め込み表現は、単語や文を意味的な近さを扱える数値ベクトルとして表したものとして押さえる。G検定では似た用語との棲み分けで問われやすい。,正しい。単語や文を意味的な近さを扱える数値ベクトルとして表したもの。,誤り。削除用暗号鍵は「埋め込み表現」の説明としては適切でない。,誤り。ゼロ初期化手順は「埋め込み表現」の説明としては適切でない。,誤り。逆伝播禁止規則は「埋め込み表現」の説明としては適切でない。,埋め込み表現を、推論効率化・学習方法・評価不正・法的保証など別カテゴリの用語と混同しない。,Embedding;埋め込み表現;ベクトル;意味表現,ミチを学ばせるのか、軽くするのか、外部資料を見に行かせるのかを分けて覚える。
R19-008,Rebuild_Set19,検索性重視・非重複50問,term,ベクトル検索,基盤モデル学習・LLM効率化・事前学習/ファインチューニング,理解,用語説明,中,中,基盤モデル・LLM運用の文脈で「ベクトル検索」について問う。最も適切な説明はどれか。,文書の埋め込みベクトルの類似度で意味的に近い文書を探す検索,ファイル名順検索,学習率固定,ログ削除検索,A,ベクトル検索は、文書の埋め込みベクトルの類似度で意味的に近い文書を探す検索として押さえる。G検定では似た用語との棲み分けで問われやすい。,正しい。文書の埋め込みベクトルの類似度で意味的に近い文書を探す検索。,誤り。ファイル名順検索は「ベクトル検索」の説明としては適切でない。,誤り。学習率固定は「ベクトル検索」の説明としては適切でない。,誤り。ログ削除検索は「ベクトル検索」の説明としては適切でない。,ベクトル検索を、推論効率化・学習方法・評価不正・法的保証など別カテゴリの用語と混同しない。,ベクトル検索;Embedding;コサイン類似度;意味検索,ミチを学ばせるのか、軽くするのか、外部資料を見に行かせるのかを分けて覚える。
R19-009,Rebuild_Set19,検索性重視・非重複50問,term,位置エンコーディング,基盤モデル学習・LLM効率化・事前学習/ファインチューニング,理解,用語説明,中,中,基盤モデル・LLM運用の文脈で「位置エンコーディング」について問う。最も適切な説明はどれか。,Self-Attentionだけでは持ちにくい系列の順序情報を加える仕組み,画像変換,法律文書変換,バッチサイズゼロ化,A,位置エンコーディングは、Self-Attentionだけでは持ちにくい系列の順序情報を加える仕組みとして押さえる。G検定では似た用語との棲み分けで問われやすい。,正しい。Self-Attentionだけでは持ちにくい系列の順序情報を加える仕組み。,誤り。画像変換は「位置エンコーディング」の説明としては適切でない。,誤り。法律文書変換は「位置エンコーディング」の説明としては適切でない。,誤り。バッチサイズゼロ化は「位置エンコーディング」の説明としては適切でない。,位置エンコーディングを、推論効率化・学習方法・評価不正・法的保証など別カテゴリの用語と混同しない。,位置エンコーディング;Transformer;順序情報;Self-Attention,ミチを学ばせるのか、軽くするのか、外部資料を見に行かせるのかを分けて覚える。
R19-010,Rebuild_Set19,検索性重視・非重複50問,case,Self-Attentionの並列性,基盤モデル学習・LLM効率化・事前学習/ファインチューニング,応用,ケース判断,中,中,基盤モデル・LLM運用の文脈で「Self-Attentionの並列性」について問う。最も適切な説明はどれか。,各位置間の関係を行列計算で扱いやすく、逐次更新依存が小さいこと,逆順読み,教師データ不要化,計算量ゼロ化,A,Self-Attentionの並列性は、各位置間の関係を行列計算で扱いやすく、逐次更新依存が小さいこととして押さえる。G検定では似た用語との棲み分けで問われやすい。,正しい。各位置間の関係を行列計算で扱いやすく、逐次更新依存が小さいこと。,誤り。逆順読みは「Self-Attentionの並列性」の説明としては適切でない。,誤り。教師データ不要化は「Self-Attentionの並列性」の説明としては適切でない。,誤り。計算量ゼロ化は「Self-Attentionの並列性」の説明としては適切でない。,Self-Attentionの並列性を、推論効率化・学習方法・評価不正・法的保証など別カテゴリの用語と混同しない。,Self-Attention;RNN;並列計算;Transformer,ミチを学ばせるのか、軽くするのか、外部資料を見に行かせるのかを分けて覚える。
