id,set,phase,question_type,topic,source_area,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,search_keywords,story_hint
R33-001,Rebuild_Set33,横断複合・重複回避六段目,case,時系列予測と評価,G検定横断領域,運用判断,ケース判断,既存,高,需要予測モデルを月次で再学習する。検証時に最も問題になりやすい設計はどれか。,ランダム分割で未来月のデータを訓練側に混ぜてから性能を測る,過去期間で学習し、その後の期間を検証に使う,季節性があるため、評価期間を複数月に広げる,予測対象月より後に確定する情報を特徴量から外す,A,時系列では未来情報が学習側に入るとデータリーケージになり、実運用より過大な性能に見える。,Aは正解。未来月が混じるため検証として不適切。,Bは時系列評価として自然。,Cは季節性を見る工夫であり不適切ではない。,Dはリーケージ対策として適切。,ランダム分割は万能ではない。時系列では時間の向きが重要。,時系列分割;データリーケージ;需要予測;検証設計,さいはてで未来の記録を先に読んでしまうと、予測ではなく答え合わせになる。
R33-002,Rebuild_Set33,横断複合・重複回避六段目,case,RAGと権限管理,G検定横断領域,リスク判断,ケース判断,新しめ,高,社内RAGで、検索対象には部署別の機密文書が含まれる。最初に優先すべき設計はどれか。,検索時にも利用者の権限で参照可能な文書だけを取得する,LLMに「秘密を出さないで」とシステムプロンプトだけで指示する,すべての文書を同じベクトルDBに入れ、回答後に人が確認する,回答の末尾に免責文を付ければ権限設計は不要である,A,RAGでは生成前の検索段階で権限制御を効かせる必要がある。プロンプトや免責文だけではアクセス制御にならない。,Aは正解。検索段階で文書アクセスを制限する。,Bは補助にはなるが権限管理の代替ではない。,Cは漏えい後確認になりやすく危険。,Dは免責とアクセス制御を混同している。,RAGのリスクは生成だけでなく検索にある。,RAG;ベクトルDB;アクセス制御;権限管理;情報漏えい,ミチに見せてよい記録だけを渡す。見せた後に「言わないで」では遅い。
R33-003,Rebuild_Set33,横断複合・重複回避六段目,reading,評価指標と業務目的,G検定横断領域,読解,複合読解,既存,高,ある審査AIは不正を見逃すと損失が大きいが、疑わしい取引を人が追加確認できる。最も重視しやすい指標はどれか。,再現率。実際の不正を拾い上げることが重要だから,適合率。AIが不正と言ったものをすべて自動拒否するから,MSE。分類問題では常にMSEが最優先だから,エポック数。学習回数が多いほど見逃しがなくなるから,A,人手確認を前提に見逃しを減らしたい場面では再現率が重要になる。,Aは正解。不正の取り逃がしを減らす目的に合う。,Bは自動拒否前提なら重要だが、問題文は人の追加確認を想定している。,Cは回帰誤差の指標であり、この目的の中心ではない。,Dは訓練回数であり業務評価指標ではない。,指標は業務上の損失構造とセットで選ぶ。,再現率;適合率;不正検知;分類評価;人手確認,四年五組で黒を見逃さない係は再現率担当。騒ぎすぎた分はあとでセンセイが確認する。
R33-004,Rebuild_Set33,横断複合・重複回避六段目,case,プロンプトインジェクション対策,G検定横断領域,リスク判断,ケース判断,新しめ,高,外部WebページをRAGで読み込むチャットボットが、ページ内の「前の指示を無視せよ」に従う危険を下げたい。最も適切な対策はどれか。,外部文書を命令ではなく参照情報として扱う境界を設け、危険な指示の検出や隔離を行う,温度パラメータを上げ、より創造的に回答させる,検索件数を増やせば悪意ある文書の影響は必ず消える,回答を長くすれば安全性が高まる,A,外部コンテンツに含まれる命令をモデル指示として実行しない境界設計が重要。,Aは正解。外部入力と開発者指示を分離する。,Bは安全性を高める対策ではない。,Cは悪意ある文書が混ざる可能性を消さない。,Dは長さと安全性は直接対応しない。,外部文書は知識であって命令ではない。,プロンプトインジェクション;RAG;外部文書;命令分離;LLM安全性,ミチに拾わせる紙に「センセイの指示を無視」と書いてあっても、紙は先生ではない。
R33-005,Rebuild_Set33,横断複合・重複回避六段目,case,モデルカードと利用範囲,G検定横断領域,概念適用,ケース判断,既存,中,画像分類モデルを公開する際、モデルカードに最も書くべき内容はどれか。,訓練データの概要、想定用途、制限事項、評価結果、既知の偏り,開発者の好きなアルゴリズム名だけ,ソースコードを非公開にする理由だけ,モデルを使えば責任が利用者に完全移転するという宣言だけ,A,モデルカードはモデルの利用判断に必要な情報を提供する文書であり、用途・制限・評価・偏りなどが重要。,Aは正解。利用可否を判断する情報を含む。,Bは不十分。,Cは一部説明になってもモデル理解には足りない。,Dは責任逃れであり説明文書の目的ではない。,モデルカードは宣伝ではなく利用判断の資料。,モデルカード;透明性;評価結果;バイアス;想定用途,さいはての記録には、力だけでなく使ってはいけない場面も書く。
R33-006,Rebuild_Set33,横断複合・重複回避六段目,case,アノテーション品質,G検定横断領域,運用判断,ケース判断,既存,高,画像ラベル付けで作業者間の判断が大きく割れている。まず確認すべきことはどれか。,ラベル定義や判断基準が曖昧でないか、例示と合意形成ができているか,AIモデルの層数が少ないかどうかだけ,学習率を小さくすればラベルの揺れは消えるか,全データをテストデータに入れれば品質が上がるか,A,教師データの品質問題では、ラベル定義・作業者教育・一致率確認が重要。,Aは正解。入力ラベルの曖昧さをまず見る。,Bはモデル構造以前の問題。,Cは最適化ではラベル基準の曖昧さを解決しない。,Dは評価不能になる。,データ品質の問題をモデル調整だけで解こうとしない。,アノテーション;ラベル品質;教師データ;一致率;データ品質,四年五組で「黒」の定義が違えば、見つけた数を比べても意味がない。
R33-007,Rebuild_Set33,横断複合・重複回避六段目,compare,因果と相関,G検定横断領域,概念識別,比較問題,既存,高,広告接触者ほど購入率が高いという分析結果から、直ちに言えることとして最も適切なのはどれか。,広告接触と購入に相関はありうるが、広告が購入を増やした因果効果とは限らない,相関があれば必ず因果関係が成立する,購入者にだけ広告を見せれば因果効果を正確に推定できる,ディープラーニングを使えば交絡は自動的に消える,A,広告を見る人の属性や関心などの交絡があり、相関と因果は区別が必要。,Aは正解。相関から因果を即断できない。,Bは典型的な誤り。,Cは選択バイアスを強める。,Dはモデルの複雑さで交絡が自動消滅するわけではない。,高度なモデルでも因果設計は別問題。,因果推論;相関;交絡;広告効果;選択バイアス,さいはてで水面が揺れた後に通知魚が来ても、魚が揺らしたとは限らない。
R33-008,Rebuild_Set33,横断複合・重複回避六段目,case,エッジAIとクラウドAI,G検定横断領域,設計判断,ケース判断,既存,中,工場ラインでミリ秒単位の停止判断が必要で、通信断でも動かしたい。適した構成はどれか。,現場端末で推論するエッジAIを中心にし、必要に応じてクラウドへログを送る,すべての推論を遠隔クラウドだけで行い、通信遅延は無視する,紙の帳票だけで判断し、モデル更新を禁止する,可用性より画像の解像度だけを優先する,A,低遅延・通信断耐性が重要な場面ではエッジ推論が有効。,Aは正解。現場で即時判断できる。,Bは遅延と通信断に弱い。,CはAI設計の選択肢ではない。,Dは目的を取り違えている。,クラウドが常に最適とは限らない。,エッジAI;低遅延;可用性;工場AI;クラウドAI,未来の床が反応するなら、遠い雲ではなく足元にも判断が要る。
R33-009,Rebuild_Set33,横断複合・重複回避六段目,case,フェイルセーフ,G検定横断領域,安全設計,ケース判断,既存,中,医療支援AIの出力が異常に自信過剰な値を返した。安全設計として最も適切なのはどれか。,不確実性や入力異常を検知した場合、人間確認や安全側の動作へ切り替える,AIの自信が高ければ説明なしで自動確定する,異常入力でも回答を必ず出すようにする,ログを残さず、利用者の不安を減らす,A,高リスク領域では異常時に人間確認や安全側へ退避するフェイルセーフが重要。,Aは正解。安全側に倒す設計。,Bは過信の危険。,Cは無理な出力を促す。,Dは監査性を失う。,自信スコアが高いことと安全であることは同じではない。,フェイルセーフ;不確実性;医療AI;人間確認;監査ログ,イオの透明度が乱れたら、進むより止まって観測する。
R33-010,Rebuild_Set33,横断複合・重複回避六段目,case,データ最小化,G検定横断領域,法務倫理,ケース判断,既存,中,社内チャットログをAI学習に使う計画で、目的達成に不要な個人情報が大量に含まれる。最初に考えるべき方針はどれか。,利用目的に照らして必要なデータに限定し、匿名化・削除・アクセス制御を検討する,精度向上のため、目的に関係なく全ログを無期限保存する,社内データなら個人情報保護の配慮は不要である,AIに入力すれば個人情報ではなくなる,A,個人情報を含むデータ利用では目的限定、最小化、匿名化や権限管理が重要。,Aは正解。不要な個人情報を扱わない方向。,Bは過剰取得・過剰保存になりやすい。,Cは社内でも配慮が必要。,Dは入力しただけで性質が消えるわけではない。,AI利用でも個人情報の扱いは消えない。,個人情報;データ最小化;匿名化;アクセス制御;社内ログ,ミチに渡す記憶は、必要な分だけ。全部飲ませるほど賢いわけではない。
