id,set,phase,question_type,topic,source_area,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,search_keywords,story_hint
FB05-001,FinalBoost_Set05,本番直前・2箇所穴埋め事例対応,2箇所穴埋め,評価指標,G検定横断領域,事例からの対応関係判断,2空欄補充,直前対策,高,評価指標の事例判断では、見逃しを減らす観点なら（　1　）、警報の正しさを見る観点なら（　2　）を選ぶ。,再現率／適合率,適合率／再現率,交差検証／ホールドアウト,AutoML／人間確認,A,空欄1は『再現率』、空欄2は『適合率』。再現率は見逃しを減らす観点。適合率は警報の正しさを見る観点。,正解。,不適切。『適合率／再現率』は、この事例の空欄1・空欄2の対応関係と合わない。,不適切。『交差検証／ホールドアウト』は、この事例の空欄1・空欄2の対応関係と合わない。,不適切。『AutoML／人間確認』は、この事例の空欄1・空欄2の対応関係と合わない。,本番では片方だけ合っている選択肢や順番が逆の選択肢が出る。2つをセットで戻す。,評価指標;再現率;適合率;2箇所穴埋め;G検定,さいはての未来では、イオが場面から2つの答えを同時に観測する。四年五組なら、うっけの片方正解をカサネがセットで直す。
FB05-002,FinalBoost_Set05,本番直前・2箇所穴埋め事例対応,2箇所穴埋め,評価指標,G検定横断領域,事例からの対応関係判断,2空欄補充,直前対策,高,本番で混同しやすい評価指標として、（　1　）は見逃しを減らす観点を指し、（　2　）は警報の正しさを見る観点を指す。,再現率／適合率,適合率／再現率,交差検証／ホールドアウト,AutoML／人間確認,A,空欄1は『再現率』、空欄2は『適合率』。再現率は見逃しを減らす観点。適合率は警報の正しさを見る観点。,正解。,不適切。『適合率／再現率』は、この事例の空欄1・空欄2の対応関係と合わない。,不適切。『交差検証／ホールドアウト』は、この事例の空欄1・空欄2の対応関係と合わない。,不適切。『AutoML／人間確認』は、この事例の空欄1・空欄2の対応関係と合わない。,本番では片方だけ合っている選択肢や順番が逆の選択肢が出る。2つをセットで戻す。,評価指標;再現率;適合率;2箇所穴埋め;G検定,さいはての未来では、イオが場面から2つの答えを同時に観測する。四年五組なら、うっけの片方正解をカサネがセットで直す。
FB05-003,FinalBoost_Set05,本番直前・2箇所穴埋め事例対応,2箇所穴埋め,評価指標,G検定横断領域,事例からの対応関係判断,2空欄補充,直前対策,高,評価指標の事例判断では、実陽性を陰性と誤る失敗なら（　1　）、実陰性を陽性と誤る失敗なら（　2　）を選ぶ。,偽陰性／偽陽性,偽陽性／偽陰性,ベンチマーク汚染／汎化性能,活性化関数／損失関数,A,空欄1は『偽陰性』、空欄2は『偽陽性』。偽陰性は実陽性を陰性と誤る失敗。偽陽性は実陰性を陽性と誤る失敗。,正解。,不適切。『偽陽性／偽陰性』は、この事例の空欄1・空欄2の対応関係と合わない。,不適切。『ベンチマーク汚染／汎化性能』は、この事例の空欄1・空欄2の対応関係と合わない。,不適切。『活性化関数／損失関数』は、この事例の空欄1・空欄2の対応関係と合わない。,本番では片方だけ合っている選択肢や順番が逆の選択肢が出る。2つをセットで戻す。,評価指標;偽陰性;偽陽性;2箇所穴埋め;G検定,さいはての未来では、イオが場面から2つの答えを同時に観測する。四年五組なら、うっけの片方正解をカサネがセットで直す。
FB05-004,FinalBoost_Set05,本番直前・2箇所穴埋め事例対応,2箇所穴埋め,評価指標,G検定横断領域,事例からの対応関係判断,2空欄補充,直前対策,高,本番で混同しやすい評価指標として、（　1　）は実陽性を陰性と誤る失敗を指し、（　2　）は実陰性を陽性と誤る失敗を指す。,偽陰性／偽陽性,偽陽性／偽陰性,ベンチマーク汚染／汎化性能,活性化関数／損失関数,A,空欄1は『偽陰性』、空欄2は『偽陽性』。偽陰性は実陽性を陰性と誤る失敗。偽陽性は実陰性を陽性と誤る失敗。,正解。,不適切。『偽陽性／偽陰性』は、この事例の空欄1・空欄2の対応関係と合わない。,不適切。『ベンチマーク汚染／汎化性能』は、この事例の空欄1・空欄2の対応関係と合わない。,不適切。『活性化関数／損失関数』は、この事例の空欄1・空欄2の対応関係と合わない。,本番では片方だけ合っている選択肢や順番が逆の選択肢が出る。2つをセットで戻す。,評価指標;偽陰性;偽陽性;2箇所穴埋め;G検定,さいはての未来では、イオが場面から2つの答えを同時に観測する。四年五組なら、うっけの片方正解をカサネがセットで直す。
FB05-005,FinalBoost_Set05,本番直前・2箇所穴埋め事例対応,2箇所穴埋め,評価指標,G検定横断領域,事例からの対応関係判断,2空欄補充,直前対策,高,評価指標の事例判断では、適合率と再現率の調和平均なら（　1　）、全体の正答割合なら（　2　）を選ぶ。,F値／正解率,正解率／F値,正規化／標準化,勾配降下法／誤差逆伝播,A,空欄1は『F値』、空欄2は『正解率』。F値は適合率と再現率の調和平均。正解率は全体の正答割合。,正解。,不適切。『正解率／F値』は、この事例の空欄1・空欄2の対応関係と合わない。,不適切。『正規化／標準化』は、この事例の空欄1・空欄2の対応関係と合わない。,不適切。『勾配降下法／誤差逆伝播』は、この事例の空欄1・空欄2の対応関係と合わない。,本番では片方だけ合っている選択肢や順番が逆の選択肢が出る。2つをセットで戻す。,評価指標;F値;正解率;2箇所穴埋め;G検定,さいはての未来では、イオが場面から2つの答えを同時に観測する。四年五組なら、うっけの片方正解をカサネがセットで直す。
FB05-006,FinalBoost_Set05,本番直前・2箇所穴埋め事例対応,2箇所穴埋め,評価指標,G検定横断領域,事例からの対応関係判断,2空欄補充,直前対策,高,本番で混同しやすい評価指標として、（　1　）は適合率と再現率の調和平均を指し、（　2　）は全体の正答割合を指す。,F値／正解率,正解率／F値,正規化／標準化,勾配降下法／誤差逆伝播,A,空欄1は『F値』、空欄2は『正解率』。F値は適合率と再現率の調和平均。正解率は全体の正答割合。,正解。,不適切。『正解率／F値』は、この事例の空欄1・空欄2の対応関係と合わない。,不適切。『正規化／標準化』は、この事例の空欄1・空欄2の対応関係と合わない。,不適切。『勾配降下法／誤差逆伝播』は、この事例の空欄1・空欄2の対応関係と合わない。,本番では片方だけ合っている選択肢や順番が逆の選択肢が出る。2つをセットで戻す。,評価指標;F値;正解率;2箇所穴埋め;G検定,さいはての未来では、イオが場面から2つの答えを同時に観測する。四年五組なら、うっけの片方正解をカサネがセットで直す。
FB05-007,FinalBoost_Set05,本番直前・2箇所穴埋め事例対応,2箇所穴埋め,評価指標,G検定横断領域,事例からの対応関係判断,2空欄補充,直前対策,高,評価指標の事例判断では、ROC曲線の下の面積なら（　1　）、適合率と再現率の関係を見る曲線なら（　2　）を選ぶ。,AUC／PR曲線,PR曲線／AUC,one-hotエンコーディング／ラベルエンコーディング,学習率／エポック,A,空欄1は『AUC』、空欄2は『PR曲線』。AUCはROC曲線の下の面積。PR曲線は適合率と再現率の関係を見る曲線。,正解。,不適切。『PR曲線／AUC』は、この事例の空欄1・空欄2の対応関係と合わない。,不適切。『one-hotエンコーディング／ラベルエンコーディング』は、この事例の空欄1・空欄2の対応関係と合わない。,不適切。『学習率／エポック』は、この事例の空欄1・空欄2の対応関係と合わない。,本番では片方だけ合っている選択肢や順番が逆の選択肢が出る。2つをセットで戻す。,評価指標;AUC;PR曲線;2箇所穴埋め;G検定,さいはての未来では、イオが場面から2つの答えを同時に観測する。四年五組なら、うっけの片方正解をカサネがセットで直す。
FB05-008,FinalBoost_Set05,本番直前・2箇所穴埋め事例対応,2箇所穴埋め,評価指標,G検定横断領域,事例からの対応関係判断,2空欄補充,直前対策,高,本番で混同しやすい評価指標として、（　1　）はROC曲線の下の面積を指し、（　2　）は適合率と再現率の関係を見る曲線を指す。,AUC／PR曲線,PR曲線／AUC,one-hotエンコーディング／ラベルエンコーディング,学習率／エポック,A,空欄1は『AUC』、空欄2は『PR曲線』。AUCはROC曲線の下の面積。PR曲線は適合率と再現率の関係を見る曲線。,正解。,不適切。『PR曲線／AUC』は、この事例の空欄1・空欄2の対応関係と合わない。,不適切。『one-hotエンコーディング／ラベルエンコーディング』は、この事例の空欄1・空欄2の対応関係と合わない。,不適切。『学習率／エポック』は、この事例の空欄1・空欄2の対応関係と合わない。,本番では片方だけ合っている選択肢や順番が逆の選択肢が出る。2つをセットで戻す。,評価指標;AUC;PR曲線;2箇所穴埋め;G検定,さいはての未来では、イオが場面から2つの答えを同時に観測する。四年五組なら、うっけの片方正解をカサネがセットで直す。
FB05-009,FinalBoost_Set05,本番直前・2箇所穴埋め事例対応,2箇所穴埋め,評価指標,G検定横断領域,事例からの対応関係判断,2空欄補充,直前対策,高,評価指標の事例判断では、大きな誤差に敏感な回帰指標なら（　1　）、絶対誤差の平均を見る回帰指標なら（　2　）を選ぶ。,RMSE／MAE,MAE／RMSE,欠測フラグ／欠測補完,ドロップアウト／バッチ正規化,A,空欄1は『RMSE』、空欄2は『MAE』。RMSEは大きな誤差に敏感な回帰指標。MAEは絶対誤差の平均を見る回帰指標。,正解。,不適切。『MAE／RMSE』は、この事例の空欄1・空欄2の対応関係と合わない。,不適切。『欠測フラグ／欠測補完』は、この事例の空欄1・空欄2の対応関係と合わない。,不適切。『ドロップアウト／バッチ正規化』は、この事例の空欄1・空欄2の対応関係と合わない。,本番では片方だけ合っている選択肢や順番が逆の選択肢が出る。2つをセットで戻す。,評価指標;RMSE;MAE;2箇所穴埋め;G検定,さいはての未来では、イオが場面から2つの答えを同時に観測する。四年五組なら、うっけの片方正解をカサネがセットで直す。
FB05-010,FinalBoost_Set05,本番直前・2箇所穴埋め事例対応,2箇所穴埋め,評価指標,G検定横断領域,事例からの対応関係判断,2空欄補充,直前対策,高,本番で混同しやすい評価指標として、（　1　）は大きな誤差に敏感な回帰指標を指し、（　2　）は絶対誤差の平均を見る回帰指標を指す。,RMSE／MAE,MAE／RMSE,欠測フラグ／欠測補完,ドロップアウト／バッチ正規化,A,空欄1は『RMSE』、空欄2は『MAE』。RMSEは大きな誤差に敏感な回帰指標。MAEは絶対誤差の平均を見る回帰指標。,正解。,不適切。『MAE／RMSE』は、この事例の空欄1・空欄2の対応関係と合わない。,不適切。『欠測フラグ／欠測補完』は、この事例の空欄1・空欄2の対応関係と合わない。,不適切。『ドロップアウト／バッチ正規化』は、この事例の空欄1・空欄2の対応関係と合わない。,本番では片方だけ合っている選択肢や順番が逆の選択肢が出る。2つをセットで戻す。,評価指標;RMSE;MAE;2箇所穴埋め;G検定,さいはての未来では、イオが場面から2つの答えを同時に観測する。四年五組なら、うっけの片方正解をカサネがセットで直す。
