id,分野,難易度,問題,A,B,C,D,正解,解説,出題済み
G6-001,AI史,標準,G検定のひっかけ対策として、ダートマス会議について正しく理解している選択肢はどれか。,人工知能という研究分野の出発点としてよく扱われる会議,ディープラーニングが初めて実用化された会議,Transformerの名称が決まった会議,日本の個人情報保護法が制定された会議,A,1956年のダートマス会議は、人工知能という言葉・研究分野の起点として扱われる。,未
G6-002,機械学習,標準,G検定で正則化の目的として最も適切なものはどれか。,モデルの複雑さを抑え、過学習を防ぎやすくする,学習データの正解ラベルを自動生成する,入力データを必ず画像に変換する,推論時に必ずGPUを使う,A,正則化は損失関数に制約項を加えるなどして複雑なモデルを抑制し、汎化性能を高める狙いがある。,未
G6-003,深層学習,標準,ReLU関数の特徴として最も適切なものはどれか。,入力が正ならそのまま、負なら0を返す活性化関数,確率分布を必ず正規分布に変換する関数,時系列の長期記憶だけを保存する関数,文章を単語に分割する関数,A,"ReLUはmax(0,x)で表され、ニューラルネットワークの活性化関数として広く使われる。",未
G6-004,生成AI,標準,LLMのトークンに関する説明として最も適切なものはどれか。,モデルが処理する文字列の単位で、単語や文字片などに分割される,画像の明るさを表すピクセル値だけを指す,法律文書だけに付与される識別番号,モデルの重みを暗号化する鍵,A,LLMは文章をトークンに分割して扱う。日本語では単語と完全一致しない単位になることも多い。,未
G6-005,AI倫理,標準,AIの説明責任に関する説明として最も適切なものはどれか。,AIの判断や利用結果について、関係者が理由や責任範囲を説明できるようにすること,AIが必ず人間と同じ意識を持つこと,AIに学習データを一切使わせないこと,AIの計算速度を最大にすること,A,説明責任では、判断根拠・運用責任・利用者への説明可能性などが重要になる。,未
G6-006,評価指標,難しめ,ROC曲線に関する説明として最も適切なものはどれか。,閾値を変えたときの真陽性率と偽陽性率の関係を見る曲線,学習率を変えたときの損失だけを見る曲線,クラスタ数とSSEだけを見る曲線,生成文の長さと語彙数だけを見る曲線,A,ROC曲線は分類器の閾値を変えたときのTPRとFPRの関係を評価する。AUCとセットで問われやすい。,未
G6-007,NLP,標準,G検定のひっかけ対策として、形態素解析について正しく理解している選択肢はどれか。,文を意味を持つ最小単位に分割し、品詞などを解析する処理,画像から輪郭線だけを抽出する処理,報酬を最大化する行動選択処理,データを訓練用と評価用に分ける処理,A,形態素解析は自然言語処理の基本処理で、単語分割や品詞付与に関わる。,未
G6-008,法律倫理,難しめ,個人情報保護法における「個人情報」の説明として最も適切なものはどれか。,生存する個人に関する情報で、特定の個人を識別できるものなど,法人の売上高だけを指す情報,匿名加工後に誰でも自由に再識別してよい情報,AIモデルのパラメータ数だけを指す情報,A,個人情報は生存する個人に関する、識別可能な情報などを指す。匿名加工情報などとの違いに注意。,未
G6-009,生成AI,難しめ,RAGを導入する主な狙いとして最も適切なものはどれか。,外部知識を検索して回答生成に利用し、知識の古さや幻覚を減らしやすくする,モデルの全パラメータを毎回ゼロから学習し直す,画像分類で畳み込み層を必ず削除する,教師なし学習を法律で禁止する,A,RAGは検索拡張生成。外部文書検索と生成を組み合わせ、最新性や根拠提示を補いやすい。,未
G6-010,機械学習,標準,G検定のひっかけ対策として、ホールドアウト法について正しく理解している選択肢はどれか。,データを学習用と評価用などに分けて性能を確認する方法,全データを必ず1件ずつ削除する方法,モデルの重みを固定して一切学習しない方法,文章をトークンに分割する方法,A,ホールドアウト法はデータを訓練・検証・テストなどに分割し、未知データで性能を見る基本的な評価方法。,未
