id,set,phase,question_type,topic,source_area,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,search_keywords,story_hint
R29-001,Rebuild_Set29,横断複合・重複回避二段目,case,RAGの権限制御,G検定横断領域,運用判断,ケース判断,高,中,社内RAGで、ユーザーが閲覧権限を持たない契約書の内容が回答に混ざる事故を避けたい。最も優先すべき設計はどれか。,検索時点で文書ACLを反映し、取得候補をユーザー権限で制限する,生成後に禁止語リストだけで回答を削る,ベクトル化後は権限情報を捨てて検索精度を優先する,LLMの温度を0にして権限逸脱を防ぐ,A,RAGでは生成モデルだけでなく、検索対象に何を渡すかが重要である。文書単位・チャンク単位のACLを検索前または検索時に反映する必要がある。,正しい。権限のない情報をそもそも取得させない設計である。,禁止語だけでは契約内容の漏えいを防げない。,権限情報を捨てると検索結果に不許可情報が混入する。,温度を下げてもアクセス制御にはならない。,RAGの安全対策を「生成後のフィルタ」とだけ考えるのがひっかけ。,RAG;アクセス制御;ACL;ベクトル検索;情報漏えい,イオの部屋に届く記録は、読む権利のある扉だけから来る。
R29-002,Rebuild_Set29,横断複合・重複回避二段目,reading,ベンチマーク汚染,G検定横断領域,評価判断,読解,高,高,あるLLMが公開ベンチマークで高得点を出したが、学習データにその問題文が含まれていた可能性がある。このとき最も注意すべき評価上の問題はどれか。,テストデータの汚染により、未知データへの能力を過大評価すること,パラメータ数が多いモデルは常に汎化性能が低いこと,教師なし学習では評価指標が一切使えないこと,GPUを使うと再現性が必ず失われること,A,ベンチマーク問題が事前学習に含まれると、テストデータで実力以上の成績が出る。データリーケージや評価汚染の一種として扱う。,正しい。評価対象が未知でなくなり、汎化性能を測れない。,大規模モデルでも汎化する場合はある。,教師なし学習にもクラスタ評価や下流タスク評価がある。,GPUは非決定性要因になりうるが必ず失われるわけではない。,高得点そのものより、評価問題を学習済みでないかを見る。,ベンチマーク汚染;データリーケージ;LLM評価;汎化性能,ミチが試験問題を先に読んでいたなら、点数は未来を当てた証拠ではない。
R29-003,Rebuild_Set29,横断複合・重複回避二段目,case,合成データの利用,G検定横断領域,運用判断,ケース判断,高,高,個人情報を含む実データの代替として合成データを使う計画がある。G検定の観点で最も適切な注意点はどれか。,合成データでも元データの特徴を強く再現し、再識別や偏りを残す可能性がある,合成データは必ず個人情報保護法の対象外になる,合成データを使えばモデル評価は不要になる,合成データは実データより常に公平である,A,合成データは有用だが、元データの分布・偏り・希少事例を引き継ぐ可能性がある。再識別リスクや品質検証が必要である。,正しい。合成データにも漏えい・偏り・品質の論点がある。,匿名化や合成であっても実態により慎重な扱いが必要。,評価はむしろ重要になる。,公平性は自動的には保証されない。,「合成＝安全」と短絡する選択肢が典型的なひっかけ。,合成データ;再識別;プライバシー;データバイアス,さいはての複製された記録も、元の影を残すことがある。
R29-004,Rebuild_Set29,横断複合・重複回避二段目,compare,事前学習と追加学習,G検定横断領域,比較,対応関係,中,中,基盤モデルを社内FAQに対応させる方法として、RAGとファインチューニングの違いを最も適切に述べたものはどれか。,RAGは外部知識を検索して文脈に加え、ファインチューニングはモデルの重みを追加学習で調整する,RAGは重みを必ず更新し、ファインチューニングは検索だけで答える,どちらも学習データを一切必要としない,どちらも回答根拠の更新が即時に反映されない,A,RAGは検索により知識を注入する設計であり、文書更新に追随しやすい。ファインチューニングは重み更新を伴うため目的が異なる。,正しい。検索ベースと重み更新ベースの違いである。,逆である。,どちらもデータや文書が必要になる。,RAGは文書更新を反映しやすい。,RAGとファインチューニングを「どちらも学習」と混同しない。,RAG;ファインチューニング;基盤モデル;外部知識,カサネが本棚を見に行くのがRAG、覚え方そのものを変えるのが追加学習。
R29-005,Rebuild_Set29,横断複合・重複回避二段目,case,オンラインA/Bテスト,G検定横断領域,評価判断,ケース判断,中,中,推薦AIの新モデルを本番投入する前に、実ユーザーへの影響を少量ずつ比較したい。最も適切な方法はどれか。,A/Bテストで旧モデルと新モデルを分けて、クリック率や離脱率などを比較する,訓練データの損失だけを見て本番効果を判断する,すべてのユーザーを同時に新モデルへ切り替える,テストデータの正解率だけで長期的な満足度を断定する,A,本番影響はオフライン評価だけでは分からないことがある。A/Bテストではユーザー群を分け、実運用指標を比較できる。,正しい。実ユーザーへの影響を限定しながら比較する。,訓練損失だけでは過学習や実運用効果を判断できない。,全量切替はリスクが大きい。,正解率だけで長期満足度は測れない。,「精度が高い＝本番KPI改善」と決めつけない。,A/Bテスト;推薦システム;オンライン評価;KPI,通知魚を全員に替える前に、一部の水路で流れを試す。
R29-006,Rebuild_Set29,横断複合・重複回避二段目,reading,ドリフト検知後の対応,G検定横断領域,運用判断,読解,中,高,画像検査モデルの不良検出率が急に低下した。調べると、工場照明がLEDに変更され、入力画像の色分布が変わっていた。最も適切な対応はどれか。,入力分布の変化をデータドリフトとして確認し、再評価・再学習・前処理見直しを行う,モデルの層数を増やせば必ず解決する,正解ラベルが不要なので教師なし学習に置き換える,評価指標を変更して低下を見えなくする,A,照明変更により学習時と運用時の入力分布が変化している。データドリフトとして監視し、再評価や再学習を検討する。,正しい。分布変化への運用対応である。,層数増加だけでは原因対応にならない。,タスクが不良検出ならラベル評価は重要。,指標変更で問題を隠すのは不適切。,性能低下をモデル構造だけで解決しようとするのがひっかけ。,データドリフト;画像検査;再学習;前処理,照明が変われば、同じ町でも影の見え方が変わる。
R29-007,Rebuild_Set29,横断複合・重複回避二段目,case,人間参加型AI,G検定横断領域,運用判断,ケース判断,中,中,医療画像AIが高リスク判定を出したとき、現場運用として最も適切な考え方はどれか。,AIの出力を参考情報として扱い、最終判断は医師が根拠と患者状況を確認する,AIが高精度なら医師の確認を全面的に省略する,AIが一度でも誤るなら医療では一切使えない,患者説明ではAI利用を隠す方が混乱しない,A,高リスク領域ではHuman-in-the-loopや説明可能性が重要である。AIは支援手段であり、責任ある専門家判断が必要になる。,正しい。人間の監督と根拠確認が必要。,高精度でも確認省略は危険。,誤りがあるから使えないではなく、リスク管理して使う。,透明性の観点で不適切。,AI支援と自動最終判断を混同しない。,Human-in-the-loop;医療AI;説明可能性;責任,ミチの声だけで薬を選ばず、ユイが患者の顔を見る。
R29-008,Rebuild_Set29,横断複合・重複回避二段目,case,特徴量ストア,G検定横断領域,運用判断,ケース判断,中,中,複数チームが同じ顧客特徴量を別々に作り、定義違いでモデル性能の比較ができない。最も有効な対策はどれか。,特徴量ストアや定義管理を導入し、計算方法・更新頻度・利用履歴を共有する,各チームが自由に特徴量名を変えて競争する,評価指標をすべて正解率に統一する,本番投入後に特徴量定義を都度推測する,A,特徴量の定義・再利用・履歴管理がないと、再現性や比較可能性が崩れる。特徴量ストアはその管理に役立つ。,正しい。特徴量の定義と履歴を管理できる。,定義違いがさらに増える。,指標統一だけでは特徴量定義の問題は解決しない。,推測では監査性がない。,モデル比較以前に、入力の意味が揃っているかを見る。,特徴量ストア;特徴量管理;再現性;MLOps,同じ「あったかい」を、うっけとカサネで別の温度にしない。
R29-009,Rebuild_Set29,横断複合・重複回避二段目,reading,RAGの根拠提示,G検定横断領域,評価判断,読解,高,高,社内FAQボットで回答は自然だが、根拠文書と異なる内容を断定することがある。改善策として最も適切なのはどれか。,回答と引用チャンクの整合性を評価し、根拠にない断定を抑制する設計を入れる,生成文が流暢なら根拠確認は不要にする,検索件数を0件にしてモデルの記憶だけで答えさせる,プロンプトを短くして引用情報を削る,A,RAGでは回答の正しさだけでなく、取得文書に基づいているかが重要である。Faithfulnessや引用整合性の評価が必要になる。,正しい。根拠と回答の対応を見る。,流暢さは正確さではない。,RAGの利点を失う。,引用情報を削ると根拠性が下がる。,自然な文章ほど、根拠のない断定に気づきにくい。,RAG評価;faithfulness;引用;ハルシネーション,ミチの文がきれいでも、記録のどこに書いてあるかを見る。
R29-010,Rebuild_Set29,横断複合・重複回避二段目,case,個人情報削除要求,G検定横断領域,法務倫理,ケース判断,高,高,ユーザーから個人情報の削除を求められた。AIサービス側の対応として最も適切なのはどれか。,保有データ、ログ、学習利用の有無、バックアップ方針を確認し、法令・契約に沿って削除や利用停止を扱う,モデルに一度入った可能性がある情報は何も確認せず放置する,削除要求が来たら全モデルを即廃棄するしかない,匿名化済みと宣言すれば本人対応は常に不要になる,A,個人情報の削除や利用停止は、保有状況や法令上の義務、契約、技術的可能性を確認して扱う必要がある。,正しい。データの所在と利用状況を確認する。,放置は不適切。,常に全モデル廃棄とは限らない。,匿名化の実態が重要で、宣言だけでは足りない。,削除要求は「DBの1行削除」だけで済むとは限らない。,個人情報保護法;削除要求;ログ;学習データ,消したつもりの記録が、別の水路に残っていないかを見る。
R29-011,Rebuild_Set29,横断複合・重複回避二段目,case,モデル選定と説明性,G検定横断領域,運用判断,ケース判断,中,中,与信審査AIで、わずかに精度が高いブラックボックスモデルと、説明しやすいモデルが候補になった。G検定的に最も適切な判断はどれか。,精度だけでなく、説明責任・公平性・監査可能性・業務リスクを含めて選定する,精度が少しでも高いモデルを常に選ぶ,説明しやすいモデルはAIではないので除外する,監査可能性は本番障害が起きてから考える,A,高リスクな意思決定では性能だけでなく、説明可能性、公平性、監査可能性が重要である。,正しい。業務リスク込みで選定する。,精度だけでは不十分。,説明可能なモデルもAIとして重要。,事前の設計が必要。,「最高精度」が常に最適とは限らない。,与信審査;説明可能性;公平性;監査可能性,一番速い通知魚ではなく、あとで理由をたどれる魚を選ぶ。
R29-012,Rebuild_Set29,横断複合・重複回避二段目,reading,外部APIと機密情報,G検定横断領域,運用判断,読解,高,高,社員が外部LLM APIに顧客名簿を貼り付けて要約していた。企業の対策として最も適切なのはどれか。,利用ルール、入力禁止情報、契約条件、ログ監査、代替の安全な環境を整える,外部APIなら学習されないので何を入力してもよい,社員の利便性を優先し、機密情報の分類を廃止する,温度を下げれば情報漏えいは起きない,A,生成AI利用では、入力データの扱い、API契約、学習利用、ログ保存、権限管理を確認する必要がある。,正しい。ルールと安全な利用環境をセットで用意する。,外部APIの条件確認が必要。,分類廃止はリスクを高める。,温度は漏えい対策ではない。,便利さだけで外部LLMに機密を入れない。,外部API;機密情報;生成AI利用ルール;ログ監査,ユイが知らない水路に名簿を流さない。
R29-013,Rebuild_Set29,横断複合・重複回避二段目,case,閾値調整と業務コスト,G検定横断領域,評価判断,ケース判断,中,中,不正検知AIで再現率を上げたところ、調査対象が増えすぎて人手確認が破綻した。次に検討すべきことはどれか。,適合率・再現率・調査工数のバランスを見て閾値や優先順位付けを調整する,再現率だけを最大化し続ける,正解率だけを見て不正検知性能を判断する,人手確認を全廃してAI判定を最終決定にする,A,不正検知では見逃し削減だけでなく、誤検知による調査負荷も重要である。閾値やランキングで運用可能性を調整する。,正しい。業務コスト込みの評価が必要。,現場が破綻する。,不均衡データでは正解率だけでは不十分。,高リスク判断では人間確認が重要。,再現率だけを追うと空振りが増える。,不正検知;閾値調整;適合率;再現率;業務コスト,黒を全部拾おうとして、町じゅうを黒と言ってしまう罠。
R29-014,Rebuild_Set29,横断複合・重複回避二段目,case,能動学習,G検定横断領域,データ戦略,ケース判断,中,中,ラベル付け予算が限られている画像分類で、モデルが迷っているサンプルを優先的に人がラベル付けする方法として最も適切なのはどれか。,ランダムに古いデータだけを選ぶ,能動学習を用いて、不確実性が高いデータを優先的にアノテーションする,テストデータにだけラベルを追加して訓練に使う,正解が分かりやすいデータだけを選び続ける,B,能動学習は、モデルにとって学習効果が高そうなデータを選んでラベル付けする考え方である。,ランダム選択は基準として使えるが、迷っているサンプル優先ではない。,正しい。不確実なサンプルを人に確認させる。,テストデータを訓練に使うとリーケージになる。,簡単なデータだけでは境界付近を学びにくい。,ラベルを増やすだけでなく、どれを増やすかが問われる。,能動学習;アノテーション;不確実性サンプリング;データ戦略,カサネが「わからない絵」から先にセンセイへ持っていく。
R29-015,Rebuild_Set29,横断複合・重複回避二段目,reading,埋め込みの個人情報リスク,G検定横断領域,安全性,読解,高,高,文章をベクトル化すれば元の文章は読めないので、個人情報リスクは完全になくなる、という主張への反論として最も適切なものはどれか。,ベクトルは常に暗号化されているので安全である,埋め込みから内容推測や近傍検索で個人に関わる情報が漏れる可能性があり、権限管理が必要である,ベクトルDBは検索できないので漏えいしない,埋め込みには意味情報が一切含まれない,B,埋め込みは意味情報を保持するため、近傍検索や攻撃で情報が推測される可能性がある。アクセス制御や削除方針が必要である。,ベクトル化と暗号化は別物。,正しい。意味情報を保持する点に注意。,ベクトルDBは検索のために使う。,意味情報があるから検索できる。,「人間に読めない＝安全」とは限らない。,埋め込み;ベクトルDB;個人情報;近傍検索;アクセス制御,言葉を影にしても、影の形から持ち主が分かることがある。
R29-016,Rebuild_Set29,横断複合・重複回避二段目,case,フェデレーテッド学習,G検定横断領域,プライバシー,ケース判断,高,中,複数病院が患者データを直接共有せずに共同でモデルを改善したい。代表的な選択肢として最も適切なのはどれか。,各病院の全データを中央サーバーに平文で集める,フェデレーテッド学習で、各拠点で学習した更新情報を集約する,患者IDをそのまま公開データセットに載せる,モデル評価を一切行わず各病院で自由に使う,B,フェデレーテッド学習はデータを各拠点に置いたまま、モデル更新などを共有して学習する手法である。,データ集中はプライバシーリスクが大きい。,正しい。生データを動かさず学習する設計。,患者ID公開は不適切。,評価なし運用は危険。,フェデレーテッド学習でも更新情報からの漏えい対策は必要。,フェデレーテッド学習;医療AI;プライバシー;分散学習,町ごとに学んだ地図の差分だけを集める。
R29-017,Rebuild_Set29,横断複合・重複回避二段目,compare,差分プライバシー,G検定横断領域,プライバシー,比較,高,高,集計レポートを公開する際、特定の1人がデータに含まれるかどうかを推測されにくくしたい。差分プライバシーに最も近い対策はどれか。,データをCSVからExcelに変換する,モデルの層数を減らして推論を軽くする,すべての特徴量を標準化すれば個人推測は不可能になる,個人1人の有無が出力に与える影響を小さくするようノイズ等を加える,D,差分プライバシーは、個人の参加有無が統計的出力に与える影響を制限する考え方である。,形式変換ではプライバシー保護にならない。,軽量化であり個人推測対策ではない。,標準化は前処理であり、個人推測を不可能にするものではない。,正しい。個人単位の影響を見えにくくする。,匿名化一般と差分プライバシーを混同しない。,差分プライバシー;ノイズ付与;プライバシー保護;統計公開,一人の足跡が、町全体の地図から浮かび上がらないようにする。
