id,分野,難易度,問題,A,B,C,D,正解,解説,出題済み
G10-001,AI史,標準,エキスパートシステムに関する説明として、最も適切なものはどれか。,専門家の知識をルールとして蓄積し推論に利用する仕組み,個人情報を必ず匿名加工する制度,正解ラベルを手作業で消す処理,テストデータを学習に混入させること,A,第二次AIブームで注目された知識ベース型AIの代表例。,未
G10-002,AI史,標準,フレーム問題に関する説明として、最も適切なものはどれか。,画像の解像度だけを上げる処理,ある行動に関係する事柄だけを取り出すことが難しいという問題,文章を必ず五十音順に並べる方法,モデルを物理的に透明にすること,B,現実世界で考慮範囲を限定する難しさを指す。,未
G10-003,AI史,標準,チューリングテストに関する説明として、最も適切なものはどれか。,GPUの温度を下げる方法,報酬だけで法律判断を行う制度,機械が人間のように振る舞えるかを会話で判定する考え方,著作権を自動的に消滅させる処理,C,知能を会話上の振る舞いから考える代表的な議論。,未
G10-004,AI史,標準,中国語の部屋に関する説明として、最も適切なものはどれか。,正解ラベルを手作業で消す処理,テストデータを学習に混入させること,単語を必ず1文字に分解する方法,記号操作だけで意味理解があるといえるかを問う思考実験,D,強いAIへの批判として扱われることが多い。,未
G10-005,機械学習,標準,教師なし学習に関する説明として、最も適切なものはどれか。,正解ラベルなしデータから構造や分布を見つける学習,文章を必ず五十音順に並べる方法,モデルを物理的に透明にすること,すべての分類問題を回帰に変えること,A,クラスタリングなどが代表例。,未
G10-006,機械学習,標準,回帰に関する説明として、最も適切なものはどれか。,報酬だけで法律判断を行う制度,連続値を予測する問題設定,著作権を自動的に消滅させる処理,モデルの重みをすべて0にする仕組み,B,住宅価格や売上予測などが例。,未
G10-007,機械学習,標準,分類に関する説明として、最も適切なものはどれか。,テストデータを学習に混入させること,単語を必ず1文字に分解する方法,入力を定められたカテゴリへ割り当てる問題設定,個人情報を必ず匿名加工する制度,C,迷惑メール判定などが例。,未
G10-008,機械学習,標準,ホールドアウト法に関する説明として、最も適切なものはどれか。,モデルを物理的に透明にすること,すべての分類問題を回帰に変えること,画像の解像度だけを上げる処理,データを学習用と評価用に分けて性能を確認する方法,D,汎化性能を評価する基本手法。,未
G10-009,機械学習,やや難,k分割交差検証に関する説明として、最も適切なものはどれか。,データをk個に分け評価用を入れ替えながら複数回評価する方法,著作権を自動的に消滅させる処理,モデルの重みをすべて0にする仕組み,GPUの温度を下げる方法,A,分割の偶然による評価のばらつきを抑える。,未
G10-010,機械学習,標準,ハイパーパラメータに関する説明として、最も適切なものはどれか。,単語を必ず1文字に分解する方法,学習前に人が設定する学習率や木の深さなどの値,個人情報を必ず匿名加工する制度,正解ラベルを手作業で消す処理,B,学習で推定される重みとは区別する。,未
G10-011,機械学習,標準,グリッドサーチに関する説明として、最も適切なものはどれか。,すべての分類問題を回帰に変えること,画像の解像度だけを上げる処理,候補値の組み合わせを網羅的に試して設定を探す方法,文章を必ず五十音順に並べる方法,C,ハイパーパラメータ探索の基本。,未
G10-012,機械学習,標準,正則化に関する説明として、最も適切なものはどれか。,モデルの重みをすべて0にする仕組み,GPUの温度を下げる方法,報酬だけで法律判断を行う制度,モデルの複雑さに制約をかけ過学習を抑える方法,D,L1正則化やL2正則化などがある。,未
G10-013,機械学習,やや難,L1正則化に関する説明として、最も適切なものはどれか。,重みの絶対値にペナルティを与え一部重みを0にしやすい方法,個人情報を必ず匿名加工する制度,正解ラベルを手作業で消す処理,テストデータを学習に混入させること,A,特徴選択につながることがある。,未
G10-014,機械学習,やや難,L2正則化に関する説明として、最も適切なものはどれか。,画像の解像度だけを上げる処理,重みの二乗和にペナルティを与え大きすぎる重みを抑える方法,文章を必ず五十音順に並べる方法,モデルを物理的に透明にすること,B,重みの肥大化を抑える正則化。,未
G10-015,機械学習,標準,決定木に関する説明として、最も適切なものはどれか。,GPUの温度を下げる方法,報酬だけで法律判断を行う制度,条件分岐を木構造で表し比較的解釈しやすいモデル,著作権を自動的に消滅させる処理,C,深くしすぎると過学習しやすい。,未
G10-016,機械学習,やや難,ランダムフォレストに関する説明として、最も適切なものはどれか。,正解ラベルを手作業で消す処理,テストデータを学習に混入させること,単語を必ず1文字に分解する方法,複数の決定木の予測を集約するアンサンブル手法,D,多数決や平均で安定性を高める。,未
G10-017,機械学習,やや難,ブースティングに関する説明として、最も適切なものはどれか。,弱い学習器を順に組み合わせ前の誤りを補う手法,文章を必ず五十音順に並べる方法,モデルを物理的に透明にすること,すべての分類問題を回帰に変えること,A,逐次的に性能を高める。,未
G10-018,機械学習,標準,サポートベクターマシンに関する説明として、最も適切なものはどれか。,報酬だけで法律判断を行う制度,クラス間のマージンが最大になる境界を求める手法,著作権を自動的に消滅させる処理,モデルの重みをすべて0にする仕組み,B,境界に近いサンプルが重要。,未
G10-019,機械学習,標準,クラスタリングに関する説明として、最も適切なものはどれか。,テストデータを学習に混入させること,単語を必ず1文字に分解する方法,似たデータ同士をグループ化する教師なし学習,個人情報を必ず匿名加工する制度,C,顧客分類などで使われる。,未
G10-020,機械学習,やや難,主成分分析に関する説明として、最も適切なものはどれか。,モデルを物理的に透明にすること,すべての分類問題を回帰に変えること,画像の解像度だけを上げる処理,分散をよく表す方向を見つけて次元を削減する手法,D,高次元データの可視化や圧縮に使う。,未
G10-021,評価指標,標準,TPに関する説明として、最も適切なものはどれか。,実際に陽性で予測も陽性だった件数,著作権を自動的に消滅させる処理,モデルの重みをすべて0にする仕組み,GPUの温度を下げる方法,A,True Positiveのこと。,未
G10-022,評価指標,標準,FPに関する説明として、最も適切なものはどれか。,単語を必ず1文字に分解する方法,実際は陰性なのに陽性と予測した件数,個人情報を必ず匿名加工する制度,正解ラベルを手作業で消す処理,B,False Positiveのこと。,未
G10-023,評価指標,標準,FNに関する説明として、最も適切なものはどれか。,すべての分類問題を回帰に変えること,画像の解像度だけを上げる処理,実際は陽性なのに陰性と予測した件数,文章を必ず五十音順に並べる方法,C,見逃しにあたる。,未
G10-024,評価指標,標準,適合率に関する説明として、最も適切なものはどれか。,モデルの重みをすべて0にする仕組み,GPUの温度を下げる方法,報酬だけで法律判断を行う制度,陽性と予測したもののうち本当に陽性だった割合,D,誤検出を減らしたい場合に重要。,未
G10-025,評価指標,標準,再現率に関する説明として、最も適切なものはどれか。,実際の陽性のうち正しく陽性と判定できた割合,個人情報を必ず匿名加工する制度,正解ラベルを手作業で消す処理,テストデータを学習に混入させること,A,見逃しを減らしたい場合に重要。,未
