id,分野,難易度,問題,A,B,C,D,正解,解説,出題済み
G7-001,AI史,標準,第三次AIブームを支えた要因として最も適切なものはどれか。,深層学習の発展と大規模データ・計算資源の利用拡大,記号処理だけで汎用人工知能が完成したこと,エキスパートシステムが法律で義務化されたこと,量子コンピュータが全AI処理を担うようになったこと,A,第三次AIブームでは深層学習、ビッグデータ、GPUなどの計算資源が重要な背景となった。,未
G7-002,AI史,標準,エキスパートシステムの弱点として最も適切なものはどれか。,画像認識に畳み込み層を使えない,知識を人手で記述・更新する負担が大きい,勾配降下法の学習率が必ず発散する,Transformerのコンテキスト長が短い,B,エキスパートシステムは専門家の知識をルール化するため、知識獲得や保守が課題になりやすい。,未
G7-003,機械学習,標準,教師なし学習の代表的な目的として最も適切なものはどれか。,報酬信号から方策を更新する,人間が全ルールをif文で記述する,正解ラベルなしでデータの構造やまとまりを見つける,正解ラベルを使って分類境界だけを学習する,C,教師なし学習はラベルを使わず、クラスタリングや次元削減などで構造を見つける。,未
G7-004,機械学習,標準,k-means法について最も適切な説明はどれか。,時系列データを必ずRNNで生成する手法,報酬最大化のための探索手法,著作物の類似性を法的に判定する制度,データをあらかじめ決めた個数のクラスタに分ける手法,D,k-meansはクラスタ数kを指定し、各データを近い中心に割り当てるクラスタリング手法。,未
G7-005,機械学習,やや難,決定木で「情報利得」が使われる場面として最も適切なものはどれか。,どの特徴量で分割するとクラスの不純度が減るかを評価する,ニューラルネットワークの重みを初期化する,画像の局所特徴を畳み込む,文章のトークン数を制限する,A,情報利得は分割前後の不確実性の減少を評価し、決定木の分岐選択に使われる。,未
G7-006,機械学習,やや難,交差検証の目的として最も適切なものはどれかについて、G検定対策として最も適切なものはどれか。,学習データを暗号化して個人情報を消す,データ分割に依存しすぎない形で汎化性能を見積もる,モデルの出力を必ず自然言語に変換する,報酬関数を人間の嗜好に合わせる,B,交差検証はデータを複数回分割して評価し、性能推定のばらつきを抑える。,未
G7-007,機械学習,標準,ホールドアウト法の説明として最も適切なものはどれかについて、G検定対策として最も適切なものはどれか。,すべてのデータを評価用だけに使う,モデルの中間層を凍結して学習しない,データを学習用と評価用などに分けて性能を確認する,生成AIの出力を人間が順位付けする,C,ホールドアウト法はデータを分割し、学習に使っていないデータで性能を評価する。,未
G7-008,機械学習,やや難,正則化におけるL1正則化の特徴として最も適切なものはどれか。,すべての重みを必ず同じ値にする,文章を形態素に分割する,報酬を割引率で現在価値に直す,一部の重みを0に近づけ、特徴選択の効果が出やすい,D,L1正則化は重みの絶対値に罰則を与え、スパースな解になりやすい。,未
G7-009,機械学習,やや難,L2正則化の説明として最も適切なものはどれかについて、G検定対策として最も適切なものはどれか。,重みの二乗和に罰則を与え、大きすぎる重みを抑える,不要な特徴量を必ず完全に削除する,入力画像のサイズを半分にする,検索結果を生成文に結合する,A,L2正則化は重みの二乗和を損失に加え、過度に大きな重みを抑制する。,未
G7-010,評価指標,標準,二値分類で「適合率」が重視されやすい場面はどれか。,実際の陽性をどれだけ取りこぼさないかだけを見る場面,陽性と判定したものの中で本当に陽性である割合を重視する場面,クラスタ数を自動で増やしたい場面,生成文の語彙をランダムに増やす場面,B,適合率は予測陽性のうち真の陽性が占める割合で、誤検出を減らしたい場面で重要。,未
G7-011,評価指標,標準,二値分類で「再現率」が重視されやすい場面はどれか。,陽性と予測した結果だけの正しさを最大化する場面,文章の次トークンだけを予測する場面,実際の陽性をできるだけ見逃したくない場面,画像を低解像度化する場面,C,再現率は実際の陽性のうち正しく陽性と判定できた割合で、見逃し防止に関係する。,未
G7-012,評価指標,やや難,ROC曲線が表すものとして最も適切なものはどれか。,学習率と損失関数の微分値の関係,単語の出現頻度と文書長の関係,著作権侵害の成立要件の関係,しきい値を変えたときの真陽性率と偽陽性率の関係,D,ROC曲線は分類しきい値を変化させたときの真陽性率と偽陽性率をプロットする。,未
G7-013,評価指標,やや難,AUCの説明として最も適切なものはどれかについて、G検定対策として最も適切なものはどれか。,ROC曲線の下の面積で、分類性能をしきい値に依存せず比較しやすい指標,損失関数の最小値そのもの,正解ラベルが不要なクラスタ数,LLMの最大入力文字数,A,AUCはROC曲線下面積で、値が大きいほど分類性能が高いと解釈されることが多い。,未
G7-014,数理統計,標準,標準偏差の説明として最も適切なものはどれかについて、G検定対策として最も適切なものはどれか。,データ数そのものを表す指標,データが平均の周りにどれくらい散らばっているかを表す指標,最大値と最小値の和を表す指標,分類モデルの正答数だけを表す指標,B,標準偏差は分散の平方根で、データのばらつきを示す。,未
G7-015,数理統計,標準,相関係数について最も適切な説明はどれかについて、G検定対策として最も適切なものはどれか。,一方が原因で他方が必ず起きることを証明する,分類モデルの閾値を固定する値,2つの変数の線形な関係の強さと向きを表す,個人情報の匿名加工を保証する値,C,相関係数は線形関係を示すが、因果関係を直接証明するものではない。,未
G7-016,数理統計,やや難,ベイズの定理が扱う内容として最も適切なものはどれか。,学習率をエポックごとに必ず2倍にする規則,文章を単語に分割する規則,AI開発契約の責任分担の規則,事前確率を観測データに基づいて事後確率へ更新する関係,D,ベイズの定理は新しい証拠に基づいて確率を更新する枠組み。,未
G7-017,深層学習,標準,活性化関数の役割として最も適切なものはどれかについて、G検定対策として最も適切なものはどれか。,ニューラルネットワークに非線形性を導入する,データベースから文書を検索する,著作権者の許諾を自動取得する,GPUの温度を下げる,A,活性化関数により非線形な関係を表現できるようになる。,未
G7-018,深層学習,標準,ReLU関数の説明として最も適切なものはどれかについて、G検定対策として最も適切なものはどれか。,入力を必ず-1から1の範囲に圧縮する関数,入力が0以下なら0、正ならそのまま出力する関数,画像だけを文章に変換する関数,検索文書の著作権を判定する関数,B,"ReLUはmax(0,x)で表され、深層学習で広く使われる活性化関数。",未
G7-019,深層学習,やや難,勾配消失問題の説明として最も適切なものはどれかについて、G検定対策として最も適切なものはどれか。,学習データのファイルが消える,出力ラベルが必ず0になる,誤差逆伝播で前の層へ伝わる勾配が極端に小さくなり学習しにくくなる,画像の解像度が保存時に失われる,C,勾配消失は深いネットワークで勾配が小さくなり、前段の層が更新されにくくなる問題。,未
G7-020,深層学習,やや難,バッチ正規化の効果として最も適切なものはどれかについて、G検定対策として最も適切なものはどれか。,全データをラベルなしに変換する,個人情報を完全に匿名化する,生成AIの出力を必ず正しくする,層への入力分布を整え、学習を安定化・高速化しやすくする,D,バッチ正規化はミニバッチ単位で正規化し、学習の安定に寄与する。,未
G7-021,深層学習,やや難,ドロップアウトの説明として最も適切なものはどれかについて、G検定対策として最も適切なものはどれか。,学習時に一部のユニットを無効化して過学習を抑える,推論時に必ず全ユニットを削除する,学習データを全て捨てる,文章から助詞だけを削除する,A,ドロップアウトは学習時にランダムにユニットを無効化し、モデルの過学習を抑制する。,未
G7-022,深層学習,標準,誤差逆伝播法の説明として最も適切なものはどれかについて、G検定対策として最も適切なものはどれか。,正解ラベルを人間が手作業で削除する方法,出力の誤差をもとに各層の重みの勾配を計算して更新する方法,未知データだけでモデルを評価する方法,文章を検索して回答に添付する方法,B,誤差逆伝播法は連鎖律により各重みの勾配を効率的に求める。,未
