id,set,phase,question_type,topic,source_area,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,search_keywords,story_hint
R39-001,Rebuild_Set39,横断複合・重複回避十八段目,case,データ契約と特徴量変更,AI社会実装,応用,case,mid,high,取引先から毎月受け取るCSVの列定義が予告なく変わり、モデル性能が急落した。再発防止として最も適切な対応はどれか。,データ契約やスキーマ検証を設け、列定義・型・欠損率などの変更を検知する,学習率を下げて同じデータで再学習する,ニューラルネットワークの層数を増やす,テストデータを訓練データに混ぜる,A,データ仕様の変化が原因なので、データ契約・スキーマ検証・品質監視で入力変化を検知するのが本筋。,,Bは学習率を下げて同じデータで再学習するを述べているが、この設問の条件では主因または最優先対応ではない。,Cはニューラルネットワークの層数を増やすを述べているが、この設問の条件では主因または最優先対応ではない。,Dはテストデータを訓練データに混ぜるを述べているが、この設問の条件では主因または最優先対応ではない。,単独用語の定義ではなく、条件・目的・制約の優先順位を読む問題。似た言葉に引っ張られない。,データ契約;スキーマ検証;データ品質;特徴量ドリフト,さいはての未来では、ミチの便利さより、ユイがどの条件を優先するかを見る。物語後は試験用語へ戻す。
R39-002,Rebuild_Set39,横断複合・重複回避十八段目,case,検索拡張生成と鮮度,生成AI応用,応用,case,high,high,社内規程QAで、古い規程を参照して回答する事例が増えた。RAG構成で最初に疑うべき点はどれか。,インデックス更新や文書の有効期限管理が不十分で、検索対象の鮮度が落ちている,LLMのパラメータ数が常に不足している,利用者の質問文が短いことだけが原因である,回答を長くすれば根拠の古さは解決する,A,RAGでは検索対象の更新・削除・有効期限管理が重要。古い文書が残ると古い根拠に基づく回答になる。,,BはLLMのパラメータ数が常に不足しているを述べているが、この設問の条件では主因または最優先対応ではない。,Cは利用者の質問文が短いことだけが原因であるを述べているが、この設問の条件では主因または最優先対応ではない。,Dは回答を長くすれば根拠の古さは解決するを述べているが、この設問の条件では主因または最優先対応ではない。,単独用語の定義ではなく、条件・目的・制約の優先順位を読む問題。似た言葉に引っ張られない。,RAG;文書鮮度;インデックス更新;有効期限,さいはての未来では、ミチの便利さより、ユイがどの条件を優先するかを見る。物語後は試験用語へ戻す。
R39-003,Rebuild_Set39,横断複合・重複回避十八段目,compare,公平性指標と業務要件,AI倫理,分析,compare,mid,high,自治体窓口AIで、標準語の問い合わせは正しく処理できるが、方言や短い表現だけ誤分類が多い。改善の確認観点として最も適切なのはどれか。,表現パターン別の誤分類率を見て、入力文の多様性を学習・評価データに反映する,全体の平均正解率だけをさらに上げる,説明変数をすべて削除してランダムに判断する,訓練データを非公開にすれば公平性は保証される,A,全体平均だけでは表現差による失敗が隠れる。方言・短文・表記揺れなどの入力多様性を評価する。,,Bは全体の平均正解率だけをさらに上げるを述べているが、この設問の条件では主因または最優先対応ではない。,Cは説明変数をすべて削除してランダムに判断するを述べているが、この設問の条件では主因または最優先対応ではない。,Dは訓練データを非公開にすれば公平性は保証されるを述べているが、この設問の条件では主因または最優先対応ではない。,単独用語の定義ではなく、条件・目的・制約の優先順位を読む問題。似た言葉に引っ張られない。,入力多様性;方言;誤分類率;評価データ,さいはての未来では、ミチの便利さより、ユイがどの条件を優先するかを見る。物語後は試験用語へ戻す。
R39-004,Rebuild_Set39,横断複合・重複回避十八段目,case,モデルカードの使い方,AIガバナンス,理解,case,mid,medium,外部提供モデルを導入する際、想定用途・制限・評価条件・注意点を社内審査で確認したい。参照すべき資料として最も適切なのはどれか。,モデルカードや評価レポート,広告用のキャッチコピーだけ,GPUの冷却ファン仕様だけ,ファイル名の長さだけ,A,モデルカードはモデルの用途、限界、評価条件、倫理的注意点などを伝える資料として使われる。,,Bは広告用のキャッチコピーだけを述べているが、この設問の条件では主因または最優先対応ではない。,CはGPUの冷却ファン仕様だけを述べているが、この設問の条件では主因または最優先対応ではない。,Dはファイル名の長さだけを述べているが、この設問の条件では主因または最優先対応ではない。,単独用語の定義ではなく、条件・目的・制約の優先順位を読む問題。似た言葉に引っ張られない。,モデルカード;評価条件;想定用途;AIガバナンス,さいはての未来では、ミチの便利さより、ユイがどの条件を優先するかを見る。物語後は試験用語へ戻す。
R39-005,Rebuild_Set39,横断複合・重複回避十八段目,case,人間の最終判断,AI社会実装,応用,case,mid,high,融資審査支援AIで、AIのスコアだけで自動否決すると説明責任上の問題が大きい。適切な運用はどれか。,重要判断では人間の確認、異議申立て、判断根拠の記録を組み込む,AIスコアを利用者に見せずに完全自動化する,低スコア者のデータを削除して精度を上げる,モデルをブラックボックス化すれば説明責任は不要になる,A,高影響領域ではHuman-in-the-loop、説明、記録、異議申立てなどの運用が重要。,,BはAIスコアを利用者に見せずに完全自動化するを述べているが、この設問の条件では主因または最優先対応ではない。,Cは低スコア者のデータを削除して精度を上げるを述べているが、この設問の条件では主因または最優先対応ではない。,Dはモデルをブラックボックス化すれば説明責任は不要になるを述べているが、この設問の条件では主因または最優先対応ではない。,単独用語の定義ではなく、条件・目的・制約の優先順位を読む問題。似た言葉に引っ張られない。,Human-in-the-loop;説明責任;融資審査;異議申立て,さいはての未来では、ミチの便利さより、ユイがどの条件を優先するかを見る。物語後は試験用語へ戻す。
R39-006,Rebuild_Set39,横断複合・重複回避十八段目,case,ラベルノイズと評価,機械学習,分析,case,low,high,画像分類で学習データのラベルに誤りが多く、検証精度が頭打ちになっている。最も本質的な対策はどれか。,ラベル品質を確認し、アノテーション基準やレビューを改善する,エポック数だけを無制限に増やす,テストデータの正解ラベルを見て学習する,活性化関数を必ずシグモイドに固定する,A,ラベルノイズが主因なら、モデル変更より先にアノテーション基準、二重確認、品質管理が重要。,,Bはエポック数だけを無制限に増やすを述べているが、この設問の条件では主因または最優先対応ではない。,Cはテストデータの正解ラベルを見て学習するを述べているが、この設問の条件では主因または最優先対応ではない。,Dは活性化関数を必ずシグモイドに固定するを述べているが、この設問の条件では主因または最優先対応ではない。,単独用語の定義ではなく、条件・目的・制約の優先順位を読む問題。似た言葉に引っ張られない。,ラベルノイズ;アノテーション;データ品質;検証精度,さいはての未来では、ミチの便利さより、ユイがどの条件を優先するかを見る。物語後は試験用語へ戻す。
R39-007,Rebuild_Set39,横断複合・重複回避十八段目,case,ベクトル検索の漏れ,生成AI応用,応用,case,high,high,RAGで、正しい文書が存在するのに検索されず回答できない。改善策として最も適切なのはどれか。,チャンク分割、埋め込みモデル、検索クエリ拡張、再ランキングを見直す,生成モデルの温度を必ず最大にする,回答を禁止して検索評価をやめる,文書を画像化して検索対象から外す,A,RAGの失敗は生成だけでなく検索段階にある。検索漏れにはチャンク、埋め込み、再ランキングなどを確認する。,,Bは生成モデルの温度を必ず最大にするを述べているが、この設問の条件では主因または最優先対応ではない。,Cは回答を禁止して検索評価をやめるを述べているが、この設問の条件では主因または最優先対応ではない。,Dは文書を画像化して検索対象から外すを述べているが、この設問の条件では主因または最優先対応ではない。,単独用語の定義ではなく、条件・目的・制約の優先順位を読む問題。似た言葉に引っ張られない。,ベクトル検索;チャンク分割;再ランキング;検索漏れ,さいはての未来では、ミチの便利さより、ユイがどの条件を優先するかを見る。物語後は試験用語へ戻す。
R39-008,Rebuild_Set39,横断複合・重複回避十八段目,case,データ最小化,個人情報保護,応用,case,mid,high,問い合わせ分類AIを作る際、氏名や住所が目的に不要である。設計方針として最も適切なのはどれか。,目的に不要な個人情報は収集・利用しない、または匿名化・マスキングする,すべての個人情報を特徴量に入れるほど倫理的である,機微情報だけを追加すれば分類性能は必ず上がる,個人情報は暗号化すれば目的外利用してよい,A,データ最小化は、目的に必要な範囲でデータを扱う考え方。不要な個人情報は使わない。,,Bはすべての個人情報を特徴量に入れるほど倫理的であるを述べているが、この設問の条件では主因または最優先対応ではない。,Cは機微情報だけを追加すれば分類性能は必ず上がるを述べているが、この設問の条件では主因または最優先対応ではない。,Dは個人情報は暗号化すれば目的外利用してよいを述べているが、この設問の条件では主因または最優先対応ではない。,単独用語の定義ではなく、条件・目的・制約の優先順位を読む問題。似た言葉に引っ張られない。,データ最小化;個人情報;匿名化;マスキング,さいはての未来では、ミチの便利さより、ユイがどの条件を優先するかを見る。物語後は試験用語へ戻す。
R39-009,Rebuild_Set39,横断複合・重複回避十八段目,case,評価データの代表性,モデル評価,分析,case,low,high,地方店舗で使う需要予測モデルを、都市部店舗データだけで評価して高精度と判断した。問題として最も適切なのはどれか。,評価データが利用環境を代表しておらず、外部妥当性に不安がある,都市部データで高精度なら全地域で必ず高精度である,訓練データ数が多ければ評価データは不要である,需要予測では時系列性を考えなくてよい,A,実運用環境と評価データの分布がずれると、現場で性能が出ない可能性がある。,,Bは都市部データで高精度なら全地域で必ず高精度であるを述べているが、この設問の条件では主因または最優先対応ではない。,Cは訓練データ数が多ければ評価データは不要であるを述べているが、この設問の条件では主因または最優先対応ではない。,Dは需要予測では時系列性を考えなくてよいを述べているが、この設問の条件では主因または最優先対応ではない。,単独用語の定義ではなく、条件・目的・制約の優先順位を読む問題。似た言葉に引っ張られない。,評価データ;代表性;外部妥当性;需要予測,さいはての未来では、ミチの便利さより、ユイがどの条件を優先するかを見る。物語後は試験用語へ戻す。
R39-010,Rebuild_Set39,横断複合・重複回避十八段目,case,プロンプトログと監査,生成AI運用,応用,case,high,medium,社内生成AIの不適切回答について、後から原因を追跡したい。必要な運用として最も適切なのはどれか。,入力、参照文書、出力、モデル版、時刻などの監査ログを適切に保存する,ログをすべて消せば責任を問われない,回答が自然なら記録は不要である,プロンプトを長くすれば監査は不要になる,A,監査可能性には、入力・出力・参照情報・モデル版・権限などのログが重要。,,Bはログをすべて消せば責任を問われないを述べているが、この設問の条件では主因または最優先対応ではない。,Cは回答が自然なら記録は不要であるを述べているが、この設問の条件では主因または最優先対応ではない。,Dはプロンプトを長くすれば監査は不要になるを述べているが、この設問の条件では主因または最優先対応ではない。,単独用語の定義ではなく、条件・目的・制約の優先順位を読む問題。似た言葉に引っ張られない。,監査ログ;生成AI;モデル版;トレーサビリティ,さいはての未来では、ミチの便利さより、ユイがどの条件を優先するかを見る。物語後は試験用語へ戻す。
