id,分野,難易度,問題,A,B,C,D,正解,解説,出題済み
G9-001,AI史,標準,ダートマス会議に関する説明として、G9確認で最も正しいものはどれか。,人工知能という研究分野の成立に関わる重要な会議,CNNの提案だけを目的とした会議,個人情報保護法を制定した国際会議,Transformerの性能評価会議,A,1956年のダートマス会議はAI研究の出発点として扱われる。,未
G9-002,AI史,標準,第一次AIブームで中心となった考え方として最も近いものはどれが最も適切か。,大規模言語モデルをRLHFで調整する考え方,探索や推論によって知的処理を実現しようとする考え方,スマートフォン上で画像生成を行う考え方,個人情報を匿名加工する考え方,B,初期AIでは探索・推論が中心的に扱われた。,未
G9-003,AI史,標準,第二次AIブームにおいて注目された代表的な技術はどれが最も適切か。,GAN,深層畳み込みネットワーク,エキスパートシステム,差分プライバシー,C,第二次AIブームでは専門家の知識をルール化するエキスパートシステムが注目された。,未
G9-004,AI史,標準,AIブームと冬の時代について、G9確認として最も正しい説明はどれか。,AIは一度も社会的関心を集めたことがない,冬の時代とはGPU価格が高い時期だけを指す,AI研究は法律分野だけで発展した,期待が高まり実用化が進む時期と、限界が見えて投資や関心が下がる時期が繰り返された,D,AI史では過度な期待と限界による停滞の反復が重要。,未
G9-005,AI基礎,標準,「フレーム問題」について、G9確認として最も正しい説明はどれか。,現実世界で考慮すべき事柄をどこまで絞るかが難しいという問題,画像を額縁状に切り抜く前処理の問題,学習率を大きくしすぎる問題,著作物の引用範囲だけを決める問題,A,フレーム問題は行動に関係する情報の範囲設定の難しさを指す。,未
G9-006,AI基礎,標準,「シンボルグラウンディング問題」について、G9確認として最も正しい説明はどれか。,GPUのメモリを地面に接続する問題,記号が実世界の意味とどのように結びつくかという問題,正解ラベルを付ける作業者の数の問題,乱数シードを固定する問題,B,記号操作だけで意味理解が成立するかが問われる。,未
G9-007,機械学習,標準,教師なし学習の典型例として、本番で最も選ぶべきものはどれか。,犬と猫の正解ラベル付き画像で分類器を学習する,囲碁で勝利報酬をもとに方策を改善する,顧客データを似た特徴ごとにクラスタに分ける,著作権契約書を人間が作成する,C,教師なし学習はラベルなしデータから構造を見つける。,未
G9-008,機械学習,標準,回帰問題の例として、本番で最も選ぶべきものはどれか。,メールを迷惑メールか通常メールに分類する,画像を猫・犬・鳥のいずれかに分類する,文章をトークンに分割するだけ,住宅の広さや築年数から価格を予測する,D,回帰は連続値を予測するタスク。,未
G9-009,機械学習,標準,分類問題の例として、本番で最も選ぶべきものはどれか。,画像が不良品か正常品かを判定する,明日の気温を数値で予測する,単語をベクトルに変換するだけ,検索結果を保存せず消去する,A,分類はカテゴリを予測するタスク。,未
G9-010,機械学習,標準,過学習を抑える方法について、本番で選ばせるなら不適切な説明はどれか。,正則化を用いる,学習データにだけ合うまでモデルを複雑化し続ける,検証データで性能を確認する,データ拡張を行う,B,モデルを複雑化しすぎると過学習を招きやすい。,未
G9-011,機械学習,標準,ホールドアウト法について、G9確認として最も正しい説明はどれか。,すべてのデータを必ず学習に使い評価を行わない方法,モデルを意図的にブラックボックス化する方法,データを学習用と評価用などに分けて性能を確認する方法,著作物を保管する契約条項,C,ホールドアウト法ではデータを分割して汎化性能を推定する。,未
G9-012,機械学習,やや難,k分割交差検証について、G9確認として最も正しい説明はどれか。,k個のGPUを使うと必ず精度が上がる方法,k個のモデルのうち最も大きいものだけを使う方法,正解ラベルをk種類に減らす前処理,データをk個に分け、評価に使う部分を入れ替えながら性能を測る,D,交差検証はデータ分割の偏りを抑えて評価するために使われる。,未
G9-013,機械学習,標準,特徴量エンジニアリングについて、G9確認として最も正しい説明はどれか。,モデルが学習しやすい形に入力データの特徴を設計・変換すること,GPUの冷却装置を設計すること,法律文書の表紙だけを作ること,出力結果を必ず人間が書き換えること,A,従来の機械学習では特徴量設計が性能に大きく影響する。,未
