id,set,phase,question_type,topic,source_area,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,search_keywords,story_hint
R31-001,Rebuild_Set31,横断複合・重複回避四段目,case,目的外利用,G検定横断領域,法務判断,ケース判断,高,高,社内問い合わせログを将来のチャットボット改善にも使いたい。ただし、取得時の利用目的には「問い合わせ対応」しか書かれていない。最も適切な対応はどれか。,利用目的との関係を確認し、必要に応じて目的の通知・同意・匿名加工などを検討する,社内データなので、個人情報が含まれていても自由に学習へ回せる,AIの改善目的なら、利用目的の確認は不要である,ログをCSV化すれば、個人情報保護上の検討は不要になる,A,個人情報を含む可能性があるログは、取得時の利用目的や本人への説明との整合を確認して扱う必要がある。,正しい。 個人情報を含む可能性があるログは、取得時の利用目的や本人への説明との整合を確認して扱う必要がある。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,用語名だけで反射せず、目的・入力情報・評価方法・責任分界をセットで読む。,個人情報保護法;利用目的;問い合わせログ;学習データ,さいはてでは、ミチの出力を「何に基づくか」「誰が確かめるか」「失敗時どう止めるか」で観測する。
R31-002,Rebuild_Set31,横断複合・重複回避四段目,case,評価データ漏洩,G検定横断領域,評価設計,ケース判断,中,高,社内FAQのRAGを評価したところ高得点だったが、評価用質問が検索インデックス内のFAQ本文とほぼ同じ文で大量に含まれていた。疑うべき問題はどれか。,モデルサイズが小さすぎるため、必ず過小学習している,評価問題が検索対象に近すぎ、RAG評価が実運用より甘くなる可能性がある,検索を使うRAGでは評価は一切できない,FAQが日本語ならリーケージは発生しない,B,評価用質問が検索対象と近すぎると、実運用の未知質問への強さを測れていない可能性がある。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,正しい。 評価用質問が検索対象と近すぎると、実運用の未知質問への強さを測れていない可能性がある。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,用語名だけで反射せず、目的・入力情報・評価方法・責任分界をセットで読む。,RAG評価;評価データ;リーケージ;FAQ,さいはてでは、ミチの出力を「何に基づくか」「誰が確かめるか」「失敗時どう止めるか」で観測する。
R31-003,Rebuild_Set31,横断複合・重複回避四段目,case,人間参加型評価,G検定横断領域,評価運用,ケース判断,中,中,生成AIの回答品質を人手評価する際、評価者ごとに「役に立つ」の基準がばらついた。最初に行うべき対策として最も適切なものはどれか。,評価者を全員AIに置き換え、人間の判断を禁止する,高得点だった回答だけを残して評価基準を後から推測する,評価観点・採点ルーブリック・例示を決め、評価者間の基準合わせを行う,回答速度だけを品質指標にすればよい,C,人手評価では評価基準を明確にし、評価者間のばらつきを小さくする工夫が重要である。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,正しい。 人手評価では評価基準を明確にし、評価者間のばらつきを小さくする工夫が重要である。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,用語名だけで反射せず、目的・入力情報・評価方法・責任分界をセットで読む。,人手評価;ルーブリック;LLM評価;評価者間一致,さいはてでは、ミチの出力を「何に基づくか」「誰が確かめるか」「失敗時どう止めるか」で観測する。
R31-004,Rebuild_Set31,横断複合・重複回避四段目,case,RAG権限,G検定横断領域,安全設計,ケース判断,高,高,退職者や異動者が過去に閲覧できた文書までRAG回答に使われる懸念がある。アクセス制御として最も重要な設計はどれか。,全社文書を1つの公開インデックスにまとめ、回答後に人間が削除する,検索順位が高い文書なら権限に関係なく回答へ使う,文書名だけ非表示にすれば本文の権限制御は不要である,検索時点で利用者の権限を反映し、参照できない文書を取得しない,D,RAGでは生成段階だけでなく検索段階で権限制御を行わないと、秘匿情報が回答に混入する。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,正しい。 RAGでは生成段階だけでなく検索段階で権限制御を行わないと、秘匿情報が回答に混入する。,用語名だけで反射せず、目的・入力情報・評価方法・責任分界をセットで読む。,RAG;アクセス制御;権限管理;情報漏えい,さいはてでは、ミチの出力を「何に基づくか」「誰が確かめるか」「失敗時どう止めるか」で観測する。
R31-005,Rebuild_Set31,横断複合・重複回避四段目,case,モデル更新判断,G検定横断領域,運用判断,ケース判断,中,高,本番モデルの精度が月次で少しずつ下がっているが、入力データの分布も顧客層も変化している。最も適切な対応はどれか。,データドリフトと概念ドリフトを確認し、再学習・特徴量見直し・評価基準の再確認を行う,学習率を上げれば、本番中の精度低下は常に解決する,訓練時の正解率が高ければ、本番監視は不要である,モデルを大きくすれば、分布変化の確認は不要になる,A,本番性能低下ではデータ分布や正解概念の変化を確認し、再学習や運用条件の見直しを行う。,正しい。 本番性能低下ではデータ分布や正解概念の変化を確認し、再学習や運用条件の見直しを行う。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,用語名だけで反射せず、目的・入力情報・評価方法・責任分界をセットで読む。,データドリフト;概念ドリフト;再学習;モデル監視,さいはてでは、ミチの出力を「何に基づくか」「誰が確かめるか」「失敗時どう止めるか」で観測する。
R31-006,Rebuild_Set31,横断複合・重複回避四段目,case,説明可能性限界,G検定横断領域,XAI判断,ケース判断,中,中,融資審査AIでSHAP値を出したところ「年収」が重要と表示された。これだけで言えることとして最も適切なものはどれか。,年収が必ず融資判断の唯一の原因である,そのモデルの予測に対して年収が大きく寄与している可能性を示すが、因果関係の証明ではない,SHAP値が出ればバイアス監査は不要になる,特徴量重要度が高い項目はすべて削除すべきである,B,説明可能性手法は予測への寄与を示すが、因果関係や公平性を自動的に保証するものではない。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,正しい。 説明可能性手法は予測への寄与を示すが、因果関係や公平性を自動的に保証するものではない。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,用語名だけで反射せず、目的・入力情報・評価方法・責任分界をセットで読む。,SHAP;説明可能性;因果;融資審査,さいはてでは、ミチの出力を「何に基づくか」「誰が確かめるか」「失敗時どう止めるか」で観測する。
R31-007,Rebuild_Set31,横断複合・重複回避四段目,case,合意形成,G検定横断領域,社会実装,ケース判断,中,中,自治体がAIで窓口相談を自動分類する。住民に不利益が生じる可能性があるため、導入時に重要な観点はどれか。,AIの分類結果を常に最終決定として扱い、異議申立てをなくす,分類精度だけを非公開にし、説明を避ける,利用目的、判断への使い方、問い合わせ・異議申立ての窓口を明確にする,行政文書にAIと書かなければ説明責任は発生しない,C,公共的なAI利用では透明性、説明責任、異議申立てや人間による確認の仕組みが重要である。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,正しい。 公共的なAI利用では透明性、説明責任、異議申立てや人間による確認の仕組みが重要である。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,用語名だけで反射せず、目的・入力情報・評価方法・責任分界をセットで読む。,公共AI;説明責任;異議申立て;透明性,さいはてでは、ミチの出力を「何に基づくか」「誰が確かめるか」「失敗時どう止めるか」で観測する。
R31-008,Rebuild_Set31,横断複合・重複回避四段目,case,データ最小化,G検定横断領域,プライバシー,ケース判断,高,高,音声認識サービスを改善するため、ユーザーの会話音声を長期保存したい。プライバシー保護の観点で最も適切な方針はどれか。,性能向上のためなら全会話を無期限に保存する,音声を圧縮すれば本人性は消えるので説明は不要である,保存先がクラウドなら利用者への説明は不要である,目的に必要な範囲のデータ・期間に限定し、同意や削除方針を明確にする,D,データ最小化では、目的に照らして必要な範囲・期間に限定し、説明や同意、削除方針を設計する。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,正しい。 データ最小化では、目的に照らして必要な範囲・期間に限定し、説明や同意、削除方針を設計する。,用語名だけで反射せず、目的・入力情報・評価方法・責任分界をセットで読む。,データ最小化;音声データ;同意;保存期間,さいはてでは、ミチの出力を「何に基づくか」「誰が確かめるか」「失敗時どう止めるか」で観測する。
R31-009,Rebuild_Set31,横断複合・重複回避四段目,case,カスケード障害,G検定横断領域,システム設計,ケース判断,中,高,複数のAIサービスを連結したワークフローで、上流の分類ミスが下流の自動返信まで伝わった。設計上の対策として最も適切なものはどれか。,重要分岐に信頼度しきい値や人間確認を置き、下流へ誤りが連鎖しないようにする,下流モデルを増やせば、上流ミスの検証は不要になる,AI同士でつながっていれば、ログは残さなくてよい,最終返信だけ評価すれば、途中の分岐設計は不要である,A,AIを連結する場合、上流の誤りが連鎖するため、しきい値、人間確認、ログ、フォールバックが重要である。,正しい。 AIを連結する場合、上流の誤りが連鎖するため、しきい値、人間確認、ログ、フォールバックが重要である。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,用語名だけで反射せず、目的・入力情報・評価方法・責任分界をセットで読む。,AIワークフロー;カスケード障害;Human-in-the-loop;信頼度,さいはてでは、ミチの出力を「何に基づくか」「誰が確かめるか」「失敗時どう止めるか」で観測する。
R31-010,Rebuild_Set31,横断複合・重複回避四段目,case,埋め込みバイアス,G検定横断領域,表現学習,ケース判断,中,高,求人推薦で埋め込み表現を使ったところ、過去の採用傾向に近い候補ばかり上位に出る。疑うべき点はどれか。,埋め込みを使うと類似度計算は不可能になる,過去データの偏りが埋め込み空間や推薦順位に反映されている可能性がある,推薦では公平性の評価は不要である,ベクトル検索なら説明責任は常に満たされる,B,埋め込み表現は便利だが、学習データや履歴に含まれる偏りを反映する可能性がある。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,正しい。 埋め込み表現は便利だが、学習データや履歴に含まれる偏りを反映する可能性がある。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,誤り。この選択肢はケースの制約・評価目的・運用リスクのどれかを取り違えている。,用語名だけで反射せず、目的・入力情報・評価方法・責任分界をセットで読む。,埋め込み;推薦;バイアス;求人AI,さいはてでは、ミチの出力を「何に基づくか」「誰が確かめるか」「失敗時どう止めるか」で観測する。
