id,set,phase,question_type,topic,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,story_hint,search_keywords
G3000-R10-001,Rebuild_Set10,rebuild_50,case,推薦システム,application,case,stable,medium,ECサイトで、閲覧履歴は少ないが商品説明テキストが豊富にある新商品を推薦したい。コールドスタート対策として最も適切な考え方はどれか。,商品の属性・説明文など内容情報を使うコンテンツベース推薦を活用する,利用者同士の購買履歴だけに基づく協調フィルタリングを必ず使う,正解ラベルがないため、推薦では教師あり学習を一切使えない,推薦精度はAUCだけで測れば利用者満足を完全に表せる,A,新商品や新規ユーザーでは履歴が少ないため、属性や説明文など内容情報を使うコンテンツベース推薦が有効である。,正しい。コールドスタートでは内容情報の利用が典型的対策になる。,協調フィルタリングは履歴が少ない対象では弱くなりやすい。,推薦でもクリック・購入などをラベルとして学習する場合がある。,AUCは一指標であり、多様性や説明性、売上、満足度を完全には表さない。,コールドスタートを「クラスタリングだけで解決」と短絡しない。,ユイが初めて読む本を選ぶとき、過去履歴が少なければ本の内容紹介を見る。,推薦システム;コールドスタート;コンテンツベース推薦;協調フィルタリング
G3000-R10-002,Rebuild_Set10,rebuild_50,case,協調フィルタリング,understanding,case,stable,medium,映画推薦で「AさんとBさんは似た映画を高評価しているので、Bさんが好きな未視聴映画をAさんに勧める」という考え方に最も近いものはどれか。,コンテンツベース推薦,ユーザベース協調フィルタリング,強化学習の報酬設計,主成分分析による次元削減,B,似た嗜好のユーザーを利用して推薦するのはユーザベース協調フィルタリングである。,作品内容の特徴量に基づく推薦であり、ユーザー同士の類似性ではない。,報酬最大化の枠組みではなく、嗜好類似性を使う推薦である。,次元削減は特徴表現を圧縮する手法で、推薦の考え方そのものではない。,正しい。ユーザー同士の評価履歴の近さを使っている。,「似ている」がユーザーなのかアイテムなのかを見分ける。,四年五組で、まるみと似た好みの子が選んだ遊びをうっけに勧める感じ。,協調フィルタリング;ユーザベース;推薦システム;類似ユーザー
G3000-R10-003,Rebuild_Set10,rebuild_50,term,アイテムベース推薦,understanding,normal,stable,low,アイテムベース協調フィルタリングの説明として最も適切なものはどれか。,ユーザーの年齢や住所だけから商品を分類する方法,文章中の単語頻度だけで商品説明を要約する方法,同じユーザーに一緒に評価・購入されやすいアイテム同士の類似性を使う方法,エージェントが環境から報酬を受け取って方策を改善する方法,C,アイテムベース協調フィルタリングは、アイテム間の共起や評価パターンの類似性を使って推薦する。,属性情報だけならコンテンツやルールベース寄りである。,単語頻度の要約は推薦の本質ではない。,正しい。アイテム同士の類似性を使う。,強化学習の説明であり、協調フィルタリングではない。,ユーザーベースとアイテムベースの主語を入れ替える問題に注意。,さいはてで、ユイが一緒に保存した文同士が似ていると判断する。,アイテムベース協調フィルタリング;アイテム類似度;推薦
G3000-R10-004,Rebuild_Set10,rebuild_50,case,異常検知,application,case,stable,medium,工場の設備センサーで、故障データはほとんどないが通常運転データは大量にある。異常検知の方針として最も自然なものはどれか。,故障ラベルがないためAIは一切使えない,必ず物体検出モデルYOLOを使う,すべてのデータをランダムに混ぜて未来の異常を学習に入れる,正常状態を学習し、そこから大きく外れたデータを異常候補とみなす,D,異常データが少ない場合、正常パターンを学習して逸脱を検出するアプローチがよく使われる。,ラベルなしでも教師なし・半教師ありの異常検知が可能である。,YOLOは画像物体検出の代表であり、センサー異常検知の一般解ではない。,時系列で未来情報を混ぜるとデータリーケージになりうる。,正しい。正常からの逸脱を捉える考え方。,故障データが少ない＝何もできない、ではない。,ミチが普段のユイの文体を知っているから、急に違う文を異常として気づく。,異常検知;正常データ;センサー;予知保全;教師なし学習
G3000-R10-005,Rebuild_Set10,rebuild_50,term,予知保全,understanding,normal,stable,low,予知保全の説明として最も適切なものはどれか。,設備のセンサーデータなどから故障兆候を捉え、停止前に保守対応すること,故障後に必ず全設備を同時交換すること,画像生成AIで設備の写真を美しく補正すること,テストデータを使って学習率を何度も調整すること,A,予知保全は、故障前の兆候をデータから検知して保守計画に活用する考え方である。,事後対応であり、予知保全ではない。,画像補正は保全の本質ではない。,テストデータで調整するのは評価の問題で、予知保全ではない。,正しい。故障前の兆候検知が核になる。,「保全」とあるが単なる修理後対応ではない。,さいはての未来で、部屋が壊れる前に水差しの揺れを拾うイメージ。,予知保全;異常検知;センサーデータ;故障予測
G3000-R10-006,Rebuild_Set10,rebuild_50,case,需要予測,application,case,stable,medium,小売店の需要予測で、曜日・祝日・天候・販促の影響を考慮したい。特徴量として最も適切に扱うべきものはどれか。,モデルの層数だけ,曜日や祝日フラグ、気温、キャンペーン有無などの外部要因,テストデータの正解値そのもの,利用者に見せない未来の売上実績,B,需要予測では、時系列だけでなく曜日、祝日、天候、販促など外部要因が重要な特徴量になる。,層数はモデル設計の話で、需要を説明する特徴量ではない。,正解値を特徴量に入れるとリーケージである。,未来の売上実績を学習時特徴量に使うのはデータリーケージ。,正しい。需要に影響する外部要因を特徴量化する。,未来実績を入れて高精度に見せる罠に注意。,ユイの忙しさは日付だけでなく、会議や締切や天気にも左右される。,需要予測;時系列予測;特徴量;外部要因;データリーケージ
G3000-R10-007,Rebuild_Set10,rebuild_50,term,時系列予測,understanding,normal,stable,medium,時系列予測の検証で特に注意すべき点として最も適切なものはどれか。,データを必ず画像に変換してCNNで扱うこと,正解率だけを使い、誤差指標は見ないこと,過去データで学習し、未来側のデータで評価するよう時間順序を守ること,データ数が多ければ未来情報を訓練に混ぜても問題ないこと,C,時系列では時間順序が重要で、未来情報を学習に混ぜると現実より過大な評価になりうる。,CNNを使う場合もあるが必須ではない。,回帰型の予測ではMAEやRMSEなど誤差指標も重要。,正しい。時間順序を守ることが重要。,未来情報混入はデータリーケージの典型。,ランダム分割が常に正しいわけではない。,未来を見てから過去を予言するのは、さいはてでも反則。,時系列予測;時系列分割;未来情報;データリーケージ
G3000-R10-008,Rebuild_Set10,rebuild_50,case,在庫最適化,application,case,stable,medium,需要予測AIを在庫発注に使う場合、予測精度だけでなく業務上あわせて考えるべきものとして最も適切なものはどれか。,予測モデルがディープラーニングであるかだけ,AIの出力を必ず人間が読めない形式にすること,分類問題に変換すれば在庫コストは自動的に消えること,欠品コスト、廃棄コスト、発注リードタイムなど意思決定上の制約,D,在庫発注では予測値だけでなく、欠品・過剰在庫・廃棄・リードタイムなど業務制約が重要である。,手法名だけで業務価値は決まらない。,説明不能にする必要はなく、現場利用では説明性も重要。,分類化してもコストや制約は残る。,正しい。予測を意思決定に接続する視点が必要。,予測精度と業務最適は同じではない。,ミチが「明日必要」と言うだけでなく、ユイがいつ買えるかも大事。,需要予測;在庫最適化;欠品コスト;廃棄コスト;リードタイム
G3000-R10-009,Rebuild_Set10,rebuild_50,term,OCR,remembering,normal,stable,low,紙の請求書をスキャンし、印字された会社名や金額を検索可能な文字列として取り込みたい。この用途に最も近い技術はどれか。,画像内の文字を認識してテキストデータへ変換する技術,音声波形から話者の感情だけを推定する技術,エージェントが報酬を最大化する行動を学ぶ技術,複数ユーザーの評価履歴から商品を推薦する技術,A,OCRはOptical Character Recognitionの略で、画像や紙面上の文字を認識しテキスト化する技術である。,音声感情認識の説明でありOCRではない。,強化学習の説明である。,協調フィルタリング型推薦の説明である。,正しい。文字認識が核。,画像認識でも、物体検出と文字認識を混同しない。,ユイが紙の申請書をミチに読ませるときの入り口。,OCR;文字認識;画像認識;テキスト化
G3000-R10-010,Rebuild_Set10,rebuild_50,case,音声認識,understanding,case,stable,low,会議録作成で、録音データから発話内容を文字に起こす技術として最も適切なものはどれか。,画像セグメンテーション,音声認識,主成分分析,物体追跡,B,音声認識は、音声信号から言語的な文字列を推定する技術で、議事録作成などに使われる。,画像の領域分割であり音声ではない。,正しい。音声から文字列への変換。,次元削減手法であり、文字起こしそのものではない。,映像内の対象追跡であり音声の文字起こしではない。,音声合成と音声認識を逆にしない。,ミチがユイの会議音声を文章にする場面。,音声認識;ASR;文字起こし;議事録
G3000-R10-011,Rebuild_Set10,rebuild_50,term,音声合成,understanding,normal,stable,low,ナビゲーションアプリが入力された案内文を人間の声のように読み上げる。この処理に最も近い技術はどれか。,音声データから文字列を推定すること,画像内の人物を矩形で囲むこと,テキストなどから人間の声のような音声を生成すること,正常データから異常値を検出すること,C,音声合成はテキストなどを入力として、人間が話しているような音声を生成する技術である。,これは音声認識である。,物体検出の説明である。,正しい。テキストから音声を作る方向。,異常検知の説明である。,音声認識は音声→文字、音声合成は文字→音声。,さいはてで、届かない文が声として再構成されるイメージ。,音声合成;Text-to-Speech;TTS;生成AI
G3000-R10-012,Rebuild_Set10,rebuild_50,case,話者認識,application,case,stable,medium,コールセンターで、発話内容ではなく「誰が話しているか」を識別したい。最も関連が深い技術はどれか。,形態素解析,セマンティックセグメンテーション,k-means法による購買クラスタリング,話者認識・声紋認証,D,誰が話しているかを識別するのは話者認識や声紋認証の領域である。,文章を単語などに分ける処理であり話者識別ではない。,画像の画素単位分類であり音声話者識別ではない。,購買傾向のクラスタリングであり話者識別とは直接違う。,正しい。声の特徴から話者を識別する。,音声認識は内容、話者認識は人物を扱う。,四年五組で、言葉の中身ではなく声でセンセイだと分かる場面。,話者認識;声紋認証;音声処理;Speaker Recognition
G3000-R10-013,Rebuild_Set10,rebuild_50,term,センサーフュージョン,understanding,normal,stable,medium,センサーフュージョンの説明として最も適切なものはどれか。,カメラ、LiDAR、レーダーなど複数センサー情報を統合して認識の信頼性を高めること,1つの画像を必ずGANで生成し直すこと,テキストを単語単位に分割すること,AIモデルを法律上の著作者にすること,A,センサーフュージョンは複数のセンサー情報を統合し、単独センサーの弱点を補う考え方である。,生成モデルの説明であり、センサー統合ではない。,形態素解析などの説明である。,法的論点でありセンサーフュージョンではない。,正しい。複数センサー統合が核。,自動運転やロボットで頻出の「複数情報を合わせる」用語。,イオが水面・床・通知魚の複数兆候を合わせて判断する。,センサーフュージョン;LiDAR;レーダー;カメラ;自動運転
