id,set,phase,question_type,topic,source_area,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,search_keywords,story_hint
R30-001,Rebuild_Set30,横断複合・重複回避三段目,case,合成データ,G検定横断領域,運用判断,ケース判断,高,高,個人情報を含む実データをそのまま外部検証に出せないため、合成データの利用を検討している。最も注意すべき点はどれか。,合成データでも元データの特徴を過度に再現し、再識別や偏りを残す可能性を評価する,合成データなら個人情報やバイアスの問題は常にゼロになる,合成データは教師あり学習では一切使えない,合成データを使えば評価データは不要になる,A,合成データは有用だが、再識別リスクや分布の偏り、評価目的への適合を確認する必要がある。,正しい。合成データは有用だが、再識別リスクや分布の偏り、評価目的への適合を確認する必要がある。,誤り。ケースの目的・制約に対する適切な説明ではない。,誤り。ケースの目的・制約に対する適切な説明ではない。,誤り。ケースの目的・制約に対する適切な説明ではない。,単独用語の暗記ではなく、目的・制約・リスクの組み合わせで判断する。,合成データ;個人情報;再識別;バイアス;データ品質,さいはてでは、ミチの答えを根拠・権限・影響の三点で観測する。
R30-002,Rebuild_Set30,横断複合・重複回避三段目,case,アクティブラーニング,G検定横断領域,データ効率,ケース判断,中,中,ラベル付けコストが高い画像分類で、どの画像から優先的に専門家へ確認してもらうか選びたい。近い考え方はどれか。,全データをランダムに捨てる欠損処理,モデルが不確実なサンプルを優先してラベル付けするアクティブラーニング,テストデータを訓練に混ぜるデータリーケージ,学習済みモデルを必ず使わないゼロ初期化,B,アクティブラーニングは、情報量の大きいサンプルを選んでラベル付けし、少ないコストで性能向上を狙う。,誤り。ケースの目的・制約に対する適切な説明ではない。,正しい。アクティブラーニングは、情報量の大きいサンプルを選んでラベル付けし、少ないコストで性能向上を狙う。,誤り。ケースの目的・制約に対する適切な説明ではない。,誤り。ケースの目的・制約に対する適切な説明ではない。,単独用語の暗記ではなく、目的・制約・リスクの組み合わせで判断する。,アクティブラーニング;ラベル付け;不確実性;アノテーション,さいはてでは、ミチの答えを根拠・権限・影響の三点で観測する。
R30-003,Rebuild_Set30,横断複合・重複回避三段目,case,モデル校正,G検定横断領域,評価判断,ケース判断,中,高,ある分類AIは「90%」と出すが、実際にはその予測の正解率が70%程度だった。改善・評価すべき観点はどれか。,エポック数が偶数かだけを確認する,分類問題なので確率の意味は一切ない,予測確率の校正が取れているかを確認する,ベクトルDBのチャンク数だけを増やす,C,予測確率が実際の正しさと対応しているかを見るのが校正である。高リスク用途で重要になる。,誤り。ケースの目的・制約に対する適切な説明ではない。,誤り。ケースの目的・制約に対する適切な説明ではない。,正しい。予測確率が実際の正しさと対応しているかを見るのが校正である。,誤り。ケースの目的・制約に対する適切な説明ではない。,単独用語の暗記ではなく、目的・制約・リスクの組み合わせで判断する。,モデル校正;確率校正;信頼度;不確実性;分類,さいはてでは、ミチの答えを根拠・権限・影響の三点で観測する。
R30-004,Rebuild_Set30,横断複合・重複回避三段目,case,閾値設計,G検定横断領域,評価判断,ケース判断,低,中,不正検知モデルで、検知しすぎると調査負荷が大きく、見逃すと損失が大きい。最も適切な考え方はどれか。,正解率だけが高ければ閾値は考えなくてよい,閾値を常に0.5に固定することが唯一の正解である,教師なし学習に変えれば誤検知は必ず消える,業務コストを踏まえて閾値を調整し、適合率・再現率のバランスを見る,D,分類モデルでは閾値により誤検知・見逃しのバランスが変わる。業務影響を考える必要がある。,誤り。ケースの目的・制約に対する適切な説明ではない。,誤り。ケースの目的・制約に対する適切な説明ではない。,誤り。ケースの目的・制約に対する適切な説明ではない。,正しい。分類モデルでは閾値により誤検知・見逃しのバランスが変わる。,単独用語の暗記ではなく、目的・制約・リスクの組み合わせで判断する。,閾値;不正検知;適合率;再現率;業務コスト,四年五組では、センセイが「同じ言葉でも、場面が変われば答えも変わる」と止める。
R30-005,Rebuild_Set30,横断複合・重複回避三段目,case,シャドー運用,G検定横断領域,本番移行,ケース判断,中,中,新しい与信モデルをすぐ本番判断に使うのは怖い。既存判断には影響させず、裏側で予測だけ記録して比較したい。適切な移行方法はどれか。,シャドー運用で本番データに対する出力を記録し、既存判断と比較する,既存モデルを削除して即時全面切替する,テストデータを公開SNSから集める,モデルの説明文だけを変更する,A,シャドー運用は新モデルを実判断に反映せず、実データ上の挙動を確認する方法。,正しい。シャドー運用は新モデルを実判断に反映せず、実データ上の挙動を確認する方法。,誤り。ケースの目的・制約に対する適切な説明ではない。,誤り。ケースの目的・制約に対する適切な説明ではない。,誤り。ケースの目的・制約に対する適切な説明ではない。,単独用語の暗記ではなく、目的・制約・リスクの組み合わせで判断する。,シャドー運用;本番移行;モデル比較;リスク低減,さいはてでは、ミチの答えを根拠・権限・影響の三点で観測する。
R30-006,Rebuild_Set30,横断複合・重複回避三段目,case,カナリアリリース,G検定横断領域,本番移行,ケース判断,中,中,AI機能を全ユーザーへ一斉公開せず、一部ユーザーから段階的に影響を確認したい。最も近い方法はどれか。,交差検証のみ,カナリアリリースや段階的ロールアウト,主成分分析のみ,形態素解析のみ,B,カナリアリリースは限定範囲で公開し、問題がなければ範囲を広げる運用である。,誤り。ケースの目的・制約に対する適切な説明ではない。,正しい。カナリアリリースは限定範囲で公開し、問題がなければ範囲を広げる運用である。,誤り。ケースの目的・制約に対する適切な説明ではない。,誤り。ケースの目的・制約に対する適切な説明ではない。,単独用語の暗記ではなく、目的・制約・リスクの組み合わせで判断する。,カナリアリリース;段階的公開;AI運用;ロールアウト,さいはてでは、ミチの答えを根拠・権限・影響の三点で観測する。
R30-007,Rebuild_Set30,横断複合・重複回避三段目,case,ロールバック,G検定横断領域,運用設計,ケース判断,中,中,AIモデル更新後に重大な誤判定が発生した。迅速に前の安定版へ戻すために必要な設計はどれか。,最新版だけを上書き保存し、旧版は削除する,ログを残さず利用者に再入力させる,モデル・プロンプト・データ処理の版を管理し、ロールバック手順を用意する,モデル更新を永久に禁止する,C,運用では障害時に戻せるよう、バージョン管理と手順が重要。,誤り。ケースの目的・制約に対する適切な説明ではない。,誤り。ケースの目的・制約に対する適切な説明ではない。,正しい。運用では障害時に戻せるよう、バージョン管理と手順が重要。,誤り。ケースの目的・制約に対する適切な説明ではない。,単独用語の暗記ではなく、目的・制約・リスクの組み合わせで判断する。,ロールバック;バージョン管理;MLOps;障害対応,さいはてでは、ミチの答えを根拠・権限・影響の三点で観測する。
R30-008,Rebuild_Set30,横断複合・重複回避三段目,case,特徴量ストア,G検定横断領域,MLOps,ケース判断,中,中,学習時と推論時で特徴量の作り方がずれ、性能が不安定になった。対策として近いものはどれか。,推論時だけ特徴量を手作業で変える,正解ラベルを推論時に入力する,評価指標を消す,特徴量定義を共有・管理する特徴量ストアやパイプライン管理を検討する,D,学習と推論の特徴量処理を一致させることが重要。特徴量管理はその対策になる。,誤り。ケースの目的・制約に対する適切な説明ではない。,誤り。ケースの目的・制約に対する適切な説明ではない。,誤り。ケースの目的・制約に対する適切な説明ではない。,正しい。学習と推論の特徴量処理を一致させることが重要。,単独用語の暗記ではなく、目的・制約・リスクの組み合わせで判断する。,特徴量ストア;学習推論スキュー;MLOps;特徴量管理,四年五組では、センセイが「同じ言葉でも、場面が変われば答えも変わる」と止める。
R30-009,Rebuild_Set30,横断複合・重複回避三段目,case,データリネージ,G検定横断領域,監査判断,ケース判断,中,中,ある予測結果がどの元データ・加工処理・モデル版から生まれたか追跡したい。必要な考え方はどれか。,データリネージや処理履歴の管理,温度パラメータの上昇,クラスタ数の固定,語尾の統一,A,データリネージはデータの由来や加工履歴を追跡する考え方。監査や原因分析に役立つ。,正しい。データリネージはデータの由来や加工履歴を追跡する考え方。,誤り。ケースの目的・制約に対する適切な説明ではない。,誤り。ケースの目的・制約に対する適切な説明ではない。,誤り。ケースの目的・制約に対する適切な説明ではない。,単独用語の暗記ではなく、目的・制約・リスクの組み合わせで判断する。,データリネージ;監査;加工履歴;MLOps,さいはてでは、ミチの答えを根拠・権限・影響の三点で観測する。
R30-010,Rebuild_Set30,横断複合・重複回避三段目,case,外部APIロックイン,G検定横断領域,導入判断,ケース判断,高,中,特定の外部LLM APIだけに依存すると、価格改定や仕様変更の影響が大きい。検討すべきリスクはどれか。,ミニマックス法の枝刈り不足,ベンダーロックインや移行可能性のリスク,画像分類の局所特徴不足,教師なし学習のクラスタ名不足,B,外部サービス利用ではコスト、仕様変更、データ移行、代替手段を考慮する必要がある。,誤り。ケースの目的・制約に対する適切な説明ではない。,正しい。外部サービス利用ではコスト、仕様変更、データ移行、代替手段を考慮する必要がある。,誤り。ケースの目的・制約に対する適切な説明ではない。,誤り。ケースの目的・制約に対する適切な説明ではない。,単独用語の暗記ではなく、目的・制約・リスクの組み合わせで判断する。,外部API;ベンダーロックイン;LLM;移行可能性;コスト,さいはてでは、ミチの答えを根拠・権限・影響の三点で観測する。
