id,set,phase,question_type,topic,source_area,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,search_keywords,story_hint
FB04-001,FinalBoost_Set04,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,AI基礎,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,G検定でAI基礎を見分ける問題では、（　1　）は状態空間から解に至る経路を探す考え方であり、（　2　）は知識や規則から結論を導く考え方である。,探索／推論,推論／探索,オンライン学習／バッチ学習,ナイーブベイズ／ロジスティック回帰,A,空欄1は『探索』、空欄2は『推論』。探索は状態空間から解に至る経路を探す考え方、推論は知識や規則から結論を導く考え方である。,正解。,不適切。『推論／探索』は、この文の空欄1・空欄2の説明と対応しない。,不適切。『オンライン学習／バッチ学習』は、この文の空欄1・空欄2の説明と対応しない。,不適切。『ナイーブベイズ／ロジスティック回帰』は、この文の空欄1・空欄2の説明と対応しない。,2語の順番を入れ替えた選択肢が典型的なひっかけ。説明文の対象に戻って判断する。,AI基礎;探索;推論;2箇所穴埋め;G検定,さいはての未来では、イオが2つの概念を一対で観測する。四年五組なら、うっけが逆にして、カサネが対応を戻す。
FB04-002,FinalBoost_Set04,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,AI基礎,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,AI基礎の対応関係として、（　1　）は浅い階層から順に調べる探索、一方で（　2　）は一つの枝を深くたどる探索と押さえる。,幅優先探索／深さ優先探索,深さ優先探索／幅優先探索,データリーケージ／汎化誤差,線形回帰／リッジ回帰,A,空欄1は『幅優先探索』、空欄2は『深さ優先探索』。幅優先探索は浅い階層から順に調べる探索、深さ優先探索は一つの枝を深くたどる探索である。,正解。,不適切。『深さ優先探索／幅優先探索』は、この文の空欄1・空欄2の説明と対応しない。,不適切。『データリーケージ／汎化誤差』は、この文の空欄1・空欄2の説明と対応しない。,不適切。『線形回帰／リッジ回帰』は、この文の空欄1・空欄2の説明と対応しない。,2語の順番を入れ替えた選択肢が典型的なひっかけ。説明文の対象に戻って判断する。,AI基礎;幅優先探索;深さ優先探索;2箇所穴埋め;G検定,さいはての未来では、イオが2つの概念を一対で観測する。四年五組なら、うっけが逆にして、カサネが対応を戻す。
FB04-003,FinalBoost_Set04,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,AI基礎,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,次の文の空欄を埋める。AI基礎では、（　1　）が探索を効率化する経験的手がかりを指し、（　2　）が可能な候補を基本的にすべて調べる方法を指す。,ヒューリスティック／全探索,全探索／ヒューリスティック,適合率／再現率,ラッソ回帰／Elastic Net,A,空欄1は『ヒューリスティック』、空欄2は『全探索』。ヒューリスティックは探索を効率化する経験的手がかり、全探索は可能な候補を基本的にすべて調べる方法である。,正解。,不適切。『全探索／ヒューリスティック』は、この文の空欄1・空欄2の説明と対応しない。,不適切。『適合率／再現率』は、この文の空欄1・空欄2の説明と対応しない。,不適切。『ラッソ回帰／Elastic Net』は、この文の空欄1・空欄2の説明と対応しない。,2語の順番を入れ替えた選択肢が典型的なひっかけ。説明文の対象に戻って判断する。,AI基礎;ヒューリスティック;全探索;2箇所穴埋め;G検定,さいはての未来では、イオが2つの概念を一対で観測する。四年五組なら、うっけが逆にして、カサネが対応を戻す。
FB04-004,FinalBoost_Set04,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,AI基礎,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,本番で混同しやすいAI基礎では、（　1　）＝実コストと推定コストを使う探索、（　2　）＝その時点で良さそうな選択を優先する方法である。,A*探索／貪欲法,貪欲法／A*探索,偽陽性／偽陰性,主成分分析／t-SNE,A,空欄1は『A*探索』、空欄2は『貪欲法』。A*探索は実コストと推定コストを使う探索、貪欲法はその時点で良さそうな選択を優先する方法である。,正解。,不適切。『貪欲法／A*探索』は、この文の空欄1・空欄2の説明と対応しない。,不適切。『偽陽性／偽陰性』は、この文の空欄1・空欄2の説明と対応しない。,不適切。『主成分分析／t-SNE』は、この文の空欄1・空欄2の説明と対応しない。,2語の順番を入れ替えた選択肢が典型的なひっかけ。説明文の対象に戻って判断する。,AI基礎;A*探索;貪欲法;2箇所穴埋め;G検定,さいはての未来では、イオが2つの概念を一対で観測する。四年五組なら、うっけが逆にして、カサネが対応を戻す。
FB04-005,FinalBoost_Set04,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,AI基礎,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,G検定でAI基礎を見分ける問題では、（　1　）は事実やルールを蓄える部分であり、（　2　）は知識を使って結論を導く部分である。,知識ベース／推論エンジン,推論エンジン／知識ベース,F値／正解率,協調フィルタリング／内容ベース推薦,A,空欄1は『知識ベース』、空欄2は『推論エンジン』。知識ベースは事実やルールを蓄える部分、推論エンジンは知識を使って結論を導く部分である。,正解。,不適切。『推論エンジン／知識ベース』は、この文の空欄1・空欄2の説明と対応しない。,不適切。『F値／正解率』は、この文の空欄1・空欄2の説明と対応しない。,不適切。『協調フィルタリング／内容ベース推薦』は、この文の空欄1・空欄2の説明と対応しない。,2語の順番を入れ替えた選択肢が典型的なひっかけ。説明文の対象に戻って判断する。,AI基礎;知識ベース;推論エンジン;2箇所穴埋め;G検定,さいはての未来では、イオが2つの概念を一対で観測する。四年五組なら、うっけが逆にして、カサネが対応を戻す。
FB04-006,FinalBoost_Set04,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,AI基礎,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,AI基礎の対応関係として、（　1　）は概念や関係を体系化する知識表現、一方で（　2　）は概念をノードとリンクで表す知識表現と押さえる。,オントロジー／セマンティックネットワーク,セマンティックネットワーク／オントロジー,ROC曲線／PR曲線,異常検知／外れ値検出,A,空欄1は『オントロジー』、空欄2は『セマンティックネットワーク』。オントロジーは概念や関係を体系化する知識表現、セマンティックネットワークは概念をノードとリンクで表す知識表現である。,正解。,不適切。『セマンティックネットワーク／オントロジー』は、この文の空欄1・空欄2の説明と対応しない。,不適切。『ROC曲線／PR曲線』は、この文の空欄1・空欄2の説明と対応しない。,不適切。『異常検知／外れ値検出』は、この文の空欄1・空欄2の説明と対応しない。,2語の順番を入れ替えた選択肢が典型的なひっかけ。説明文の対象に戻って判断する。,AI基礎;オントロジー;セマンティックネットワーク;2箇所穴埋め;G検定,さいはての未来では、イオが2つの概念を一対で観測する。四年五組なら、うっけが逆にして、カサネが対応を戻す。
FB04-007,FinalBoost_Set04,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,AI基礎,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,次の文の空欄を埋める。AI基礎では、（　1　）が変わるものと変わらないものを扱う難しさを指し、（　2　）が記号と現実の意味の結びつきの問題を指す。,フレーム問題／シンボルグラウンディング問題,シンボルグラウンディング問題／フレーム問題,AUC／混同行列,ニューラルネットワーク／深層学習,A,空欄1は『フレーム問題』、空欄2は『シンボルグラウンディング問題』。フレーム問題は変わるものと変わらないものを扱う難しさ、シンボルグラウンディング問題は記号と現実の意味の結びつきの問題である。,正解。,不適切。『シンボルグラウンディング問題／フレーム問題』は、この文の空欄1・空欄2の説明と対応しない。,不適切。『AUC／混同行列』は、この文の空欄1・空欄2の説明と対応しない。,不適切。『ニューラルネットワーク／深層学習』は、この文の空欄1・空欄2の説明と対応しない。,2語の順番を入れ替えた選択肢が典型的なひっかけ。説明文の対象に戻って判断する。,AI基礎;フレーム問題;シンボルグラウンディング問題;2箇所穴埋め;G検定,さいはての未来では、イオが2つの概念を一対で観測する。四年五組なら、うっけが逆にして、カサネが対応を戻す。
FB04-008,FinalBoost_Set04,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,AI基礎,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,本番で混同しやすいAI基礎では、（　1　）＝人間のような理解や意識を持つとされるAI、（　2　）＝特定課題を遂行する道具としてのAIである。,強いAI／弱いAI,弱いAI／強いAI,MAE／RMSE,活性化関数／損失関数,A,空欄1は『強いAI』、空欄2は『弱いAI』。強いAIは人間のような理解や意識を持つとされるAI、弱いAIは特定課題を遂行する道具としてのAIである。,正解。,不適切。『弱いAI／強いAI』は、この文の空欄1・空欄2の説明と対応しない。,不適切。『MAE／RMSE』は、この文の空欄1・空欄2の説明と対応しない。,不適切。『活性化関数／損失関数』は、この文の空欄1・空欄2の説明と対応しない。,2語の順番を入れ替えた選択肢が典型的なひっかけ。説明文の対象に戻って判断する。,AI基礎;強いAI;弱いAI;2箇所穴埋め;G検定,さいはての未来では、イオが2つの概念を一対で観測する。四年五組なら、うっけが逆にして、カサネが対応を戻す。
FB04-009,FinalBoost_Set04,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,AI基礎,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,G検定でAI基礎を見分ける問題では、（　1　）は探索と推論が中心だった時期であり、（　2　）はエキスパートシステムが注目された時期である。,第一次AIブーム／第二次AIブーム,第二次AIブーム／第一次AIブーム,BLEU／ROUGE,勾配降下法／誤差逆伝播,A,空欄1は『第一次AIブーム』、空欄2は『第二次AIブーム』。第一次AIブームは探索と推論が中心だった時期、第二次AIブームはエキスパートシステムが注目された時期である。,正解。,不適切。『第二次AIブーム／第一次AIブーム』は、この文の空欄1・空欄2の説明と対応しない。,不適切。『BLEU／ROUGE』は、この文の空欄1・空欄2の説明と対応しない。,不適切。『勾配降下法／誤差逆伝播』は、この文の空欄1・空欄2の説明と対応しない。,2語の順番を入れ替えた選択肢が典型的なひっかけ。説明文の対象に戻って判断する。,AI基礎;第一次AIブーム;第二次AIブーム;2箇所穴埋め;G検定,さいはての未来では、イオが2つの概念を一対で観測する。四年五組なら、うっけが逆にして、カサネが対応を戻す。
FB04-010,FinalBoost_Set04,本番直前・2箇所穴埋め対応関係,2箇所穴埋め,AI基礎,G検定横断領域,対応関係の即答,2空欄補充,直前対策,高,AI基礎の対応関係として、（　1　）は機械学習・深層学習が中心になった時期、一方で（　2　）は実現された技術がAIと呼ばれにくくなる現象と押さえる。,第三次AIブーム／AI効果,AI効果／第三次AIブーム,NDCG／MRR,学習率／エポック,A,空欄1は『第三次AIブーム』、空欄2は『AI効果』。第三次AIブームは機械学習・深層学習が中心になった時期、AI効果は実現された技術がAIと呼ばれにくくなる現象である。,正解。,不適切。『AI効果／第三次AIブーム』は、この文の空欄1・空欄2の説明と対応しない。,不適切。『NDCG／MRR』は、この文の空欄1・空欄2の説明と対応しない。,不適切。『学習率／エポック』は、この文の空欄1・空欄2の説明と対応しない。,2語の順番を入れ替えた選択肢が典型的なひっかけ。説明文の対象に戻って判断する。,AI基礎;第三次AIブーム;AI効果;2箇所穴埋め;G検定,さいはての未来では、イオが2つの概念を一対で観測する。四年五組なら、うっけが逆にして、カサネが対応を戻す。
