id,set,phase,question_type,topic,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,story_hint,search_keywords
RB05-001,Rebuild_Set05,rebuild,term,自然言語処理,0,0,0,0,Bag-of-Words（BoW）の説明として最も適切なものはどれか。,文書を単語の出現有無や出現回数の集合として表し、語順情報は基本的に失われる。,音声波形を周波数成分へ変換する処理。,画像の画素や物体領域を扱うコンピュータビジョンタスク。,報酬を最大化する行動を環境との相互作用で学習する手法。,A,BoWは文書を「単語の袋」として扱うため、語順や構文は基本的に捨てられる。,正解選択肢です。,誤り。音声波形を周波数成分へ変換する処理。 は、この設問の中心論点とは異なる。,誤り。画像の画素や物体領域を扱うコンピュータビジョンタスク。 は、この設問の中心論点とは異なる。,誤り。報酬を最大化する行動を環境との相互作用で学習する手法。 は、この設問の中心論点とは異なる。,単語を使う表現だから語順も保持する、という誤解。,,BoW;Bag-of-Words;自然言語処理
RB05-002,Rebuild_Set05,rebuild,term,自然言語処理,0,0,0,0,n-gramの説明として最も適切なものはどれか。,画像の局所特徴を畳み込みで抽出する手法。,連続するn個の文字や単語の並びを特徴として扱う方法。,個人情報や著作権を扱う法律上の制度。,複数の決定木を多数決で統合する手法。,B,n-gramはユニグラム、バイグラム、トライグラムなど、局所的な並びを扱う。,誤り。画像の局所特徴を畳み込みで抽出する手法。 は、この設問の中心論点とは異なる。,正解選択肢です。,誤り。個人情報や著作権を扱う法律上の制度。 は、この設問の中心論点とは異なる。,誤り。複数の決定木を多数決で統合する手法。 は、この設問の中心論点とは異なる。,n-gramは意味理解そのものではなく、並びの特徴。,,n-gram;バイグラム;トライグラム
RB05-003,Rebuild_Set05,rebuild,term,自然言語処理,0,0,0,0,TF-IDFの説明として最も適切なものはどれか。,過去の隠れ状態を次時刻へ渡す系列モデル。,画像の画素や物体領域を扱うコンピュータビジョンタスク。,文書内でよく出現し、文書集合全体では珍しい語を重要とみなす重み付け。,音声波形を周波数成分へ変換する処理。,C,TFは文書内頻度、IDFは文書集合全体での希少性を反映する。,誤り。過去の隠れ状態を次時刻へ渡す系列モデル。 は、この設問の中心論点とは異なる。,誤り。画像の画素や物体領域を扱うコンピュータビジョンタスク。 は、この設問の中心論点とは異なる。,正解選択肢です。,誤り。音声波形を周波数成分へ変換する処理。 は、この設問の中心論点とは異なる。,単なる出現回数ではなく、ありふれた語の重みは下がる。,,TF-IDF;TF;IDF;情報検索
RB05-004,Rebuild_Set05,rebuild,case,自然言語処理,1,1,0,1,ニュース分類で、「です」「こと」より「半導体」「金利」など記事固有の語を重視したい。最も適切な特徴量はどれか。,最大値プーリング,CTC,ε-greedy方策,TF-IDF,D,TF-IDFは文書の特徴的な語に重みを置くため、分類や検索で使われる。,誤り。最大値プーリング は、この設問の中心論点とは異なる。,誤り。CTC は、この設問の中心論点とは異なる。,誤り。ε-greedy方策 は、この設問の中心論点とは異なる。,正解選択肢です。,頻出語なら何でも重要、という罠。,,TF-IDF;文書分類;特徴量
RB05-005,Rebuild_Set05,rebuild,term,自然言語処理,0,0,0,0,ワンホットベクトルの特徴として最も適切なものはどれか。,各単語を高次元で疎なベクトルとして表し、意味的な近さは直接表しにくい。,低次元で密なベクトルとして単語の意味的近さを表す。,音声波形を周波数成分へ変換する処理。,生成器と識別器を競わせる生成モデル。,A,ワンホット表現では1つの要素だけが1で、単語間の意味的距離を扱いにくい。,正解選択肢です。,誤り。低次元で密なベクトルとして単語の意味的近さを表す。 は、この設問の中心論点とは異なる。,誤り。音声波形を周波数成分へ変換する処理。 は、この設問の中心論点とは異なる。,誤り。生成器と識別器を競わせる生成モデル。 は、この設問の中心論点とは異なる。,数値化できることと意味の近さを表せることは違う。,,ワンホットベクトル;局所表現;単語表現
RB05-006,Rebuild_Set05,rebuild,term,自然言語処理,0,0,0,0,分散表現・単語埋め込みの説明として最も適切なものはどれか。,単語を高次元のone-hotだけで表す。,単語を低次元で密なベクトルとして表し、意味的な近さを反映しやすくする。,文書を語順なしの単語集合としてだけ扱う。,分類モデルの評価指標。,B,単語埋め込みは意味の近い語が近いベクトルになりやすい表現。,誤り。単語を高次元のone-hotだけで表す。 は、この設問の中心論点とは異なる。,正解選択肢です。,誤り。文書を語順なしの単語集合としてだけ扱う。 は、この設問の中心論点とは異なる。,誤り。分類モデルの評価指標。 は、この設問の中心論点とは異なる。,ワンホット表現との違いが問われる。,,分散表現;単語埋め込み;Embedding
RB05-007,Rebuild_Set05,rebuild,term,自然言語処理,0,0,0,0,word2vecの基礎にある考え方として最も適切なものはどれか。,単語の意味は必ず辞書の定義だけで決まる。,画像の画素や物体領域を扱うコンピュータビジョンタスク。,単語の意味は周辺に現れる単語によって特徴づけられるという分布仮説。,報酬を最大化する行動を環境との相互作用で学習する手法。,C,word2vecは分布仮説に基づく単語埋め込みの代表例。,誤り。単語の意味は必ず辞書の定義だけで決まる。 は、この設問の中心論点とは異なる。,誤り。画像の画素や物体領域を扱うコンピュータビジョンタスク。 は、この設問の中心論点とは異なる。,正解選択肢です。,誤り。報酬を最大化する行動を環境との相互作用で学習する手法。 は、この設問の中心論点とは異なる。,分布という語を確率分布一般だけで捉えない。,,word2vec;分布仮説;単語埋め込み
RB05-008,Rebuild_Set05,rebuild,compare,自然言語処理,1,0,0,1,skip-gramとCBOWの対応として最も適切なものはどれか。,skip-gramは画像から説明文を生成し、CBOWは説明文から画像を生成する。,skip-gramはBERT、CBOWはGPTだけを指す。,複数の決定木を多数決で統合する手法。,skip-gramは中心語から周辺語を予測し、CBOWは周辺語から中心語を予測する。,D,word2vecでは中心語と周辺語の予測方向が問われる。,誤り。skip-gramは画像から説明文を生成し、CBOWは説明文から画像を生成する。 は、この設問の中心論点とは異なる。,誤り。skip-gramはBERT、CBOWはGPTだけを指す。 は、この設問の中心論点とは異なる。,誤り。複数の決定木を多数決で統合する手法。 は、この設問の中心論点とは異なる。,正解選択肢です。,名称だけで覚えると逆にしやすい。,,skip-gram;CBOW;word2vec
RB05-009,Rebuild_Set05,rebuild,case,自然言語処理,1,1,0,1,未知語や活用形を、単語を構成する部分文字列の情報も使って扱いたい。比較的適切な手法はどれか。,fastText,BoW,TF-IDF,CTC,A,fastTextは部分文字列を利用するため、未知語や形態変化に強くなりやすい。,正解選択肢です。,誤り。BoW は、この設問の中心論点とは異なる。,誤り。TF-IDF は、この設問の中心論点とは異なる。,誤り。CTC は、この設問の中心論点とは異なる。,word2vecとの違いとして部分文字列が重要。,,fastText;部分文字列;未知語
RB05-010,Rebuild_Set05,rebuild,term,自然言語処理,0,0,0,0,ELMoの特徴として最も適切なものはどれか。,単語ごとに常に1つだけ固定ベクトルを割り当てる。,文脈に応じた単語の分散表現を得る手法である。,画像の画素や物体領域を扱うコンピュータビジョンタスク。,音声波形を周波数成分へ変換する処理。,B,ELMoは文脈化された分散表現の代表例。,誤り。単語ごとに常に1つだけ固定ベクトルを割り当てる。 は、この設問の中心論点とは異なる。,正解選択肢です。,誤り。画像の画素や物体領域を扱うコンピュータビジョンタスク。 は、この設問の中心論点とは異なる。,誤り。音声波形を周波数成分へ変換する処理。 は、この設問の中心論点とは異なる。,word2vec系の固定的な単語表現との違い。,,ELMo;文脈化単語表現;分散表現
RB05-011,Rebuild_Set05,rebuild,term,自然言語処理,0,0,0,0,形態素解析の説明として最も適切なものはどれか。,文書を単語の出現回数だけでベクトル化する処理。,音声波形を周波数成分へ変換する処理。,文を形態素に分割し、品詞なども解析する処理。,画像の画素や物体領域を扱うコンピュータビジョンタスク。,C,日本語NLPでは、単語境界や品詞を得る前処理として重要。,誤り。文書を単語の出現回数だけでベクトル化する処理。 は、この設問の中心論点とは異なる。,誤り。音声波形を周波数成分へ変換する処理。 は、この設問の中心論点とは異なる。,正解選択肢です。,誤り。画像の画素や物体領域を扱うコンピュータビジョンタスク。 は、この設問の中心論点とは異なる。,単なる検索処理と混同しない。,,形態素解析;品詞;日本語NLP
RB05-012,Rebuild_Set05,rebuild,term,自然言語処理,0,0,0,0,構文解析の説明として最も適切なものはどれか。,単語を固定長IDに置き換える処理。,音声波形を周波数成分へ変換する処理。,モデルの重みを8ビット整数に変換する処理。,文中の語句の係り受けや文法構造を解析する処理。,D,構文解析は文全体の構造や語句間関係を扱う。,誤り。単語を固定長IDに置き換える処理。 は、この設問の中心論点とは異なる。,誤り。音声波形を周波数成分へ変換する処理。 は、この設問の中心論点とは異なる。,誤り。モデルの重みを8ビット整数に変換する処理。 は、この設問の中心論点とは異なる。,正解選択肢です。,形態素解析との区別が問われやすい。,,構文解析;係り受け;自然言語処理
RB05-013,Rebuild_Set05,rebuild,case,自然言語処理,1,1,0,1,日本語の問い合わせ文を、まず単語や品詞の単位に分けたい。最初に使う処理として最も適切なものはどれか。,形態素解析,強化学習,物体検出,GAN,A,日本語は分かち書きされないため、形態素解析が前処理として使われる。,正解選択肢です。,誤り。強化学習 は、この設問の中心論点とは異なる。,誤り。物体検出 は、この設問の中心論点とは異なる。,誤り。GAN は、この設問の中心論点とは異なる。,検索エンジンという語に引っ張られて情報検索全般を選ばない。,,形態素解析;日本語NLP;検索
RB05-014,Rebuild_Set05,rebuild,term,言語モデル,0,0,0,0,言語モデルの基本的な説明として最も適切なものはどれか。,画像の画素や物体領域を扱うコンピュータビジョンタスク。,単語列に対して次に来る単語や系列の確率を扱うモデル。,分類モデルの評価指標。,ランダムにニューロンを除外して過学習を抑える手法。,B,言語モデルは文章生成や音声認識などの基礎となる。,誤り。画像の画素や物体領域を扱うコンピュータビジョンタスク。 は、この設問の中心論点とは異なる。,正解選択肢です。,誤り。分類モデルの評価指標。 は、この設問の中心論点とは異なる。,誤り。ランダムにニューロンを除外して過学習を抑える手法。 は、この設問の中心論点とは異なる。,言語モデル＝人間同様に意味理解している、とは限らない。,,言語モデル;次単語予測;NLP
RB05-015,Rebuild_Set05,rebuild,term,自然言語処理,0,0,0,0,固有表現抽出（NER）の説明として最も適切なものはどれか。,文書全体を肯定・否定に分類するタスク。,音声の話者を特定するタスク。,文中から人名・地名・組織名などの固有表現を抽出するタスク。,生成器と識別器を競わせる生成モデル。,C,NERは情報抽出の基本タスク。,誤り。文書全体を肯定・否定に分類するタスク。 は、この設問の中心論点とは異なる。,誤り。音声の話者を特定するタスク。 は、この設問の中心論点とは異なる。,正解選択肢です。,誤り。生成器と識別器を競わせる生成モデル。 は、この設問の中心論点とは異なる。,感情分析や話者識別との違い。,,固有表現抽出;NER;情報抽出
RB05-016,Rebuild_Set05,rebuild,term,自然言語処理,0,0,0,0,感情分析・評判分析の説明として最も適切なものはどれか。,文中の語句の係り受けを解析するタスク。,音声をテキストに変換するタスク。,画像の画素や物体領域を扱うコンピュータビジョンタスク。,文章が肯定的・否定的・中立的かなどを判定するタスク。,D,感情分析は文書分類タスクの一つ。,誤り。文中の語句の係り受けを解析するタスク。 は、この設問の中心論点とは異なる。,誤り。音声をテキストに変換するタスク。 は、この設問の中心論点とは異なる。,誤り。画像の画素や物体領域を扱うコンピュータビジョンタスク。 は、この設問の中心論点とは異なる。,正解選択肢です。,形態素解析や音声認識とはタスクが異なる。,,感情分析;評判分析;文書分類
RB05-017,Rebuild_Set05,rebuild,term,自然言語処理,0,0,0,0,自然言語推論（NLI）の説明として最も適切なものはどれか。,2つの文の関係が含意・矛盾・中立のどれかを判定するタスク。,単語を周辺語から予測するword2vecの方式。,生成器と識別器を競わせる生成モデル。,過去の隠れ状態を次時刻へ渡す系列モデル。,A,NLIは文同士の意味関係を判定する自然言語理解タスク。,正解選択肢です。,誤り。単語を周辺語から予測するword2vecの方式。 は、この設問の中心論点とは異なる。,誤り。生成器と識別器を競わせる生成モデル。 は、この設問の中心論点とは異なる。,誤り。過去の隠れ状態を次時刻へ渡す系列モデル。 は、この設問の中心論点とは異なる。,質問応答や文書要約とは別。,,NLI;自然言語推論;含意関係認識
RB05-018,Rebuild_Set05,rebuild,term,自然言語処理,0,0,0,0,文書要約タスクの説明として最も適切なものはどれか。,音声波形を周波数成分へ変換する処理。,長い文書の内容を短くまとめる自然言語処理タスク。,画像の画素や物体領域を扱うコンピュータビジョンタスク。,複数の決定木を多数決で統合する手法。,B,要約は自然言語処理の代表的応用タスク。,誤り。音声波形を周波数成分へ変換する処理。 は、この設問の中心論点とは異なる。,正解選択肢です。,誤り。画像の画素や物体領域を扱うコンピュータビジョンタスク。 は、この設問の中心論点とは異なる。,誤り。複数の決定木を多数決で統合する手法。 は、この設問の中心論点とは異なる。,抽出型と生成型の違いも問われうる。,,文書要約;自然言語処理;生成AI
RB05-019,Rebuild_Set05,rebuild,term,言語資源,0,0,0,0,コーパスの説明として最も適切なものはどれか。,画像の物体候補領域の集合。,強化学習の報酬関数の集合。,自然言語処理の学習や分析に用いる大量の文書・発話データの集合。,モデルの重みを整数化した集合。,C,コーパスはNLPの学習データとして基本用語。,誤り。画像の物体候補領域の集合。 は、この設問の中心論点とは異なる。,誤り。強化学習の報酬関数の集合。 は、この設問の中心論点とは異なる。,正解選択肢です。,誤り。モデルの重みを整数化した集合。 は、この設問の中心論点とは異なる。,特定モデル名ではなくデータ集合。,,コーパス;自然言語処理;学習データ
