id,分野,難易度,問題,A,B,C,D,正解,解説,出題済み
G3-001,生成AI,標準,生成AI・LLM分野のひっかけ対策として、生成AIについて正しい理解はどれか。,文章・画像・音声など新しいコンテンツを生成するAI,表形式データだけを圧縮するAI,必ず物理ロボットとして動作するAI,人間が書いたルールだけで動くAI,A,生成AIは、学習した分布をもとに文章・画像・音声などを生成する技術の総称。,未
G3-002,生成AI,標準,生成AI・LLM分野のひっかけ対策として、基盤モデルについて正しい理解はどれか。,特定企業だけが使える小型ルール集,大規模データで事前学習され、多様なタスクに応用できるモデル,画像分類にしか使えない決定木,データベース検索だけを行う仕組み,B,基盤モデルは大規模事前学習により、多様な下流タスクへ転用できる点が特徴。,未
G3-003,LLM,標準,LLMの基本的な学習目標として最も近いものはどれか。,常に正しい事実だけを検索する,画像の輪郭だけを検出する,文脈から次に続くトークンを予測する,個人情報を自動で収集する,C,LLMは次トークン予測を中心に学習し、自然な文章生成などに使われる。,未
G3-004,LLM,標準,生成AI・LLM分野のひっかけ対策として、トークンについて正しい理解はどれか。,モデルの重みを保存するファイル,学習を止める命令,GPUの計算単位,LLMが処理する文字列の分割単位,D,トークンは文章をモデルが扱いやすい単位に分割したもの。単語・文字・サブワードの場合がある。,未
G3-005,LLM,難,コンテキストウィンドウに関する説明として正しいものはどれか。,モデルが一度に参照できる入力・出力文脈の範囲を指す,著作権侵害を自動判定する制度を指す,すべての過去会話を永久記憶する仕組みを指す,画像を畳み込むフィルタのサイズを指す,A,コンテキストウィンドウはモデルが一度に扱える文脈長。長くても永続記憶とは別。,未
G3-006,生成AIパラメータ,標準,G検定で混同しやすい用語として、生成AIの温度パラメータを高くした場合の傾向について正しい理解はどれか。,常に同じ回答になりやすい,出力のランダム性が増し、多様な回答になりやすい,学習データが増える,モデルサイズが小さくなる,B,温度を高くすると確率分布がなだらかになり、出力の多様性が上がりやすい。,未
G3-007,生成AIパラメータ,難,G検定で混同しやすい用語として、Top-kサンプリングについて正しい理解はどれか。,確率が一定累積値に達する候補だけから選ぶ,最も古い学習データだけを使う,確率上位k個の候補から次トークンを選ぶ,k個のモデルを平均するアンサンブル手法,C,Top-kは次トークン候補を確率上位k個に絞ってサンプリングする手法。,未
G3-008,生成AIパラメータ,難,G検定で混同しやすい用語として、Top-pサンプリングについて正しい理解はどれか。,上位p個の固定候補から選ぶ,正解ラベルのp%だけを使う,パラメータ数をp個に減らす,累積確率がpに達する候補集合から選ぶ,D,Top-pはnucleus samplingとも呼ばれ、累積確率で候補集合を決める。,未
G3-009,Transformer,標準,生成AI・LLM分野のひっかけ対策として、Transformerの特徴について正しい理解はどれか。,Attention機構を中心に系列データを扱う深層学習モデル,すべての知識を専門家が手書きするシステム,データを暗号化する法律用語,表計算ソフトの関数名,A,TransformerはSelf-Attentionなどを用い、NLPや生成AIの基盤となった。,未
G3-010,Transformer,標準,生成AI・LLM分野のひっかけ対策として、BERTの特徴について正しい理解はどれか。,逐次的に右方向だけへ生成する画像モデル,双方向の文脈理解に強いTransformer系モデル,強化学習専用の報酬関数,畳み込みだけで構成される画像分類器,B,BERTは双方向文脈を考慮するEncoder系モデルとして理解問題などに強い。,未
G3-011,Transformer,標準,生成AI・LLM分野のひっかけ対策として、GPT系モデルの特徴について正しい理解はどれか。,双方向Encoderのみで穴埋め専用に設計される,決定木の集合だけで構成される,自己回帰的に次のトークンを生成するDecoder系モデル,画像のピクセルを手動で分類する,C,GPTはDecoder系で、与えられた文脈の後ろに次トークンを順に生成する。,未
G3-012,Transformer,難,TransformerでPositional Encodingが必要になる理由として、最も適切なものはどれか。,個人情報を匿名化するため,モデルを法律に準拠させるため,画像サイズを圧縮するため,系列内の語順や位置情報をモデルに与えるため,D,Self-Attentionだけでは語順情報を直接持たないため、位置情報を加える。,未
G3-013,Attention,標準,生成AI・LLM分野のひっかけ対策として、Self-Attentionについて正しい理解はどれか。,同じ系列内の各要素が他の要素との関連度を見て表現を更新する仕組み,教師データを人手で作る作業,モデルを小さく保存する圧縮形式,画像の縦横比を変える前処理,A,Self-Attentionは系列内の単語同士の関係に重みをつけて文脈表現を作る。,未
G3-014,Attention,難,生成AI・LLM分野のひっかけ対策として、Query・Key・Valueの関係について正しい理解はどれか。,QueryとValueの差分だけで損失を計算する,QueryとKeyの類似度で重みを決め、Valueを重み付けして集約する,Keyだけを使ってモデルを事前学習する,Valueは正解ラベルそのものを意味する,B,AttentionではQueryとKeyの対応度から重みを計算し、その重みでValueを集約する。,未
G3-015,Attention,難,生成AI・LLM分野のひっかけ対策として、Multi-Head Attentionの利点について正しい理解はどれか。,学習データを不要にする,著作権リスクをなくす,複数の注意の観点で関係を捉えられる,必ず推論速度をゼロにする,C,Multi-Head Attentionは複数のヘッドで異なる関係性を並行して捉える。,未
G3-016,CNN,標準,G検定で混同しやすい用語として、畳み込み層について正しい理解はどれか。,データを完全にランダム化する層,出力を法律文書へ変換する層,報酬を計算する層,フィルタを使って局所的な特徴を抽出する層,D,畳み込み層は画像などの局所パターンをフィルタで抽出する。,未
G3-017,CNN,標準,G検定で混同しやすい用語として、プーリング層の主な役割について正しい理解はどれか。,特徴マップの空間サイズを縮小し、位置ずれに多少強くする,正解ラベルを自動で作る,文章を翻訳する,モデルの説明責任を保証する,A,プーリングは代表値を取り特徴マップを縮小する。過学習抑制や計算量削減にも関係する。,未
G3-018,CNN,難,G検定で混同しやすい用語として、CNNが画像認識で有効とされる理由について正しい理解はどれか。,すべての画素を独立の表形式データとしてだけ扱うから,局所受容野と重み共有により画像の空間的特徴を効率的に扱えるから,ルールベースで輪郭をすべて手書きするから,報酬だけでピクセルを探索するから,B,CNNは局所構造と重み共有により画像特徴を効率よく学習する。,未
G3-019,RNN,標準,G検定で混同しやすい用語として、RNNについて正しい理解はどれか。,画像だけを畳み込むモデル,データをクラスタに分ける教師なし手法,過去の状態を次の処理に反映できる系列データ向けモデル,AI利用契約の条項,C,RNNは時系列や文章など順序を持つデータに使われ、前の状態を保持する。,未
G3-020,RNN,難,G検定で混同しやすい用語として、LSTMが導入された主な目的について正しい理解はどれか。,画像を二値化するため,データの著作権を確認するため,モデルをルールベースに戻すため,長期依存を扱いやすくし、勾配消失問題を緩和するため,D,LSTMはゲート構造により長期依存を扱いやすくするRNNの発展形。,未
G3-021,深層学習,標準,G検定で混同しやすい用語として、誤差逆伝播法について正しい理解はどれか。,出力誤差をネットワークの後ろから前へ伝え、重み更新に使う方法,データをランダムに削除する方法,AIの法的責任を分配する方法,検索結果を並べ替える方法,A,誤差逆伝播法は損失の勾配を各層へ伝え、パラメータ更新に使う。,未
G3-022,深層学習,標準,G検定で混同しやすい用語として、勾配降下法について正しい理解はどれか。,特徴量を手作業で増やす方法,損失関数が小さくなる方向へパラメータを更新する最適化手法,テストデータを学習に混ぜる方法,説明可能性を保証する制度,B,勾配降下法は損失を減らす方向へ重みを少しずつ更新する基本的手法。,未
