id,分野,難易度,問題,A,B,C,D,正解,解説,出題済み
G8-001,AI史,標準,チューリングテストについて、G検定対策上もっとも適切な理解はどれか。,機械が人間らしい知的な応答を示せるかを評価する考え方,個人情報を無条件に外部公開する制度,画像の解像度だけを上げる処理,正解ラベルをすべて削除するだけの作業,A,人間と機械の応答を区別できるかを見る古典的なAI評価。,未
G8-002,AI史,標準,ELIZAについて、G検定対策上もっとも適切な理解はどれか。,画像の解像度だけを上げる処理,初期の対話プログラムとして知られるシステム,正解ラベルをすべて削除するだけの作業,GPUの温度を測定する指標,B,ELIZAは心理療法士風の応答で有名な初期の対話システム。,未
G8-003,AI史,標準,エキスパートシステムについて、G検定対策上もっとも適切な理解はどれか。,正解ラベルをすべて削除するだけの作業,GPUの温度を測定する指標,専門家の知識をルール化して推論するシステム,文章を必ず英語に翻訳する機能,C,第二次AIブームで注目されたが、知識獲得・保守が課題。,未
G8-004,AI基礎,標準,弱いAIについて、G検定対策上もっとも適切な理解はどれか。,GPUの温度を測定する指標,文章を必ず英語に翻訳する機能,法律上AIに人格を与える制度,特定の課題に特化して機能するAI,D,現在の実用AIの多くは特定タスク向けの弱いAI。,未
G8-005,AI基礎,標準,強いAIについて、G検定対策上もっとも適切な理解はどれか。,人間のような汎用的知能や意識を持つAIとして議論される概念,文章を必ず英語に翻訳する機能,法律上AIに人格を与える制度,学習データを評価データへ混入させる方法,A,強いAIは実用システム一般ではなく、汎用的知能をめぐる概念。,未
G8-006,探索・推論,標準,幅優先探索について、G検定対策上もっとも適切な理解はどれか。,法律上AIに人格を与える制度,浅い階層のノードから順に広げて探索する方法,学習データを評価データへ混入させる方法,モデルの重みを必ずゼロに固定する手続き,B,幅優先探索は同じ深さを優先して調べる。,未
G8-007,探索・推論,やや難,深さ優先探索について、G検定対策上もっとも適切な理解はどれか。,学習データを評価データへ混入させる方法,モデルの重みを必ずゼロに固定する手続き,一つの枝を深くたどってから戻る探索方法,個人情報を無条件に外部公開する制度,C,深さ優先探索はバックトラックしながら探索する。,未
G8-008,探索・推論,標準,ヒューリスティック探索について、G検定対策上もっとも適切な理解はどれか。,モデルの重みを必ずゼロに固定する手続き,個人情報を無条件に外部公開する制度,画像の解像度だけを上げる処理,経験的な評価関数などを使い効率よく探索する方法,D,ヒューリスティックは厳密保証より実用的効率を重視する。,未
G8-009,機械学習,標準,教師あり学習について、G検定対策上もっとも適切な理解はどれか。,正解ラベル付きデータから入力と出力の対応を学ぶ方法,個人情報を無条件に外部公開する制度,画像の解像度だけを上げる処理,正解ラベルをすべて削除するだけの作業,A,分類・回帰が代表例。,未
G8-010,機械学習,標準,教師なし学習について、G検定対策上もっとも適切な理解はどれか。,画像の解像度だけを上げる処理,正解ラベルなしでデータの構造や分布を見つける方法,正解ラベルをすべて削除するだけの作業,GPUの温度を測定する指標,B,クラスタリングや次元削減が代表例。,未
