id,set,phase,question_type,topic,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,story_hint,search_keywords
G3000-R14-001,Rebuild_Set14,rebuild_50,case,時系列予測,判断,ケース判断,安定,中,月次売上を予測するAIを作る。過去12か月の売上から翌月売上を予測したい場合、最も注意すべきデータ分割はどれか。,過去期間で学習し、未来期間で評価する,全データをランダムに訓練・テストへ混ぜる,売上が高い月だけをテストにする,最新月の売上を特徴量として同じ月を予測する,A,時系列予測では未来情報が学習側に混入しないよう、時間順を保って過去で学習し未来で評価する。,正しい。時系列分割の基本。,ランダム分割は未来情報の混入につながりやすい。,評価が偏り、汎化性能を測りにくい。,目的変数に近い情報を使うリーケージになりやすい。,通常の分類問題の感覚でランダム分割を選ばせるひっかけ。,ユイが未来の日記を見て昨日の判断を当てるのは、実力ではなく反則。,時系列予測;時系列分割;データリーケージ;未来情報;需要予測
G3000-R14-002,Rebuild_Set14,rebuild_50,term,自己回帰モデル,理解,用語説明,安定,中,ARモデルを使う場面として最も自然なのはどれか。,過去の値を使って現在または将来の値を予測するモデル,入力データを乱数だけで置き換えるモデル,クラス間の境界を最大化する分類モデル,画像の局所特徴を畳み込むモデル,A,自己回帰は、系列データにおいて過去の値が現在や未来の値に影響するという考えを使う。,正しい。過去の系列値を説明変数として使う。,ノイズ注入や生成過程の一部とは異なる。,SVMの説明に近い。,CNNの畳み込みの説明。,「自己」という語から教師なし学習と混同しやすい。,ミチが直前の言葉の流れを見て次を出すように、過去値が手がかりになる。,自己回帰;ARモデル;時系列;系列データ;予測
G3000-R14-003,Rebuild_Set14,rebuild_50,compare,移動平均,理解,比較,安定,中,時系列データの移動平均を使う目的として最も適切なものはどれか。,短期的なばらつきをならし、傾向を見やすくするため,カテゴリ変数を整数に変換するため,データの次元を必ず1次元増やすため,モデルの重みをランダムに初期化するため,A,移動平均は一定期間の平均を順に計算し、ノイズをならしてトレンドを見やすくする。,正しい。平滑化の基本。,エンコーディングの説明。,次元を増やす操作ではない。,ニューラルネットワークの初期化の説明。,平均という語だけで評価指標の平均と混同しない。,四年五組で毎日の騒がしさを見るより、数日分ならすと町の変化が見えやすい。,移動平均;平滑化;トレンド;ノイズ;時系列
G3000-R14-004,Rebuild_Set14,rebuild_50,case,季節性,判断,ケース判断,安定,中,毎年12月に売上が上がり、2月に下がる小売データがある。この特徴を表す用語として最も適切なものはどれか。,季節性,過学習,勾配消失,外れ値,A,一定周期で繰り返される変動は季節性と呼ばれる。月次・曜日・時間帯の周期も対象になる。,正しい。周期的な売上変動は季節性。,学習データへの過剰適合ではない。,深いネットワークで勾配が小さくなる問題。,外れ値は他と大きく異なる単発的な値。,12月だけを異常値と見るか、毎年繰り返す周期と見るかが分かれ目。,毎年同じ時期に通知魚が増えるなら、異常ではなく季節の呼吸。,季節性;周期性;時系列;需要予測;曜日効果
G3000-R14-005,Rebuild_Set14,rebuild_50,term,トレンド,理解,用語説明,安定,低,時系列データにおけるトレンドの説明として最も適切なものはどれか。,長期的な増加・減少などの傾向,単語をベクトルへ変換する処理,分類モデルのしきい値,ニューラルネットワークの層数,A,トレンドは時系列データにおける長期的な方向性を表す。,単語埋め込みの説明。,分類の判定境界や閾値の話。,モデル構造の深さの話。,正しい。,短期のノイズと長期傾向を混同しない。,ユイの忙しさが一日だけでなく年々増えているなら、それはトレンド。,トレンド;時系列;傾向;長期変動;需要予測
G3000-R14-006,Rebuild_Set14,rebuild_50,case,概念ドリフト,判断,ケース判断,安定,中,数年前に作った需要予測モデルが、コロナ禍後の購買行動変化で急に当たらなくなった。この現象に最も近いものはどれか。,概念ドリフト,データ拡張,ワンホットエンコーディング,ラベル平滑化,A,概念ドリフトは、時間とともに入力と正解の関係やデータ分布が変化し、モデル性能が低下する現象である。,正しい。環境変化による関係性の変化。,データを増やすための加工。,カテゴリ変数の表現方法。,正解ラベルを少し滑らかにする正則化的手法。,単なるデータ不足ではなく、世界側の関係が変わった点を問う。,共鳴世界の規則が変われば、昨日の地図は今日の道を示さない。,概念ドリフト;データドリフト;モデル劣化;再学習;MLOps
G3000-R14-007,Rebuild_Set14,rebuild_50,compare,データドリフト,理解,比較,安定,中,本番で入力される顧客属性の分布が学習時とずれてきた。監視対象として最も近いものはどれか。,入力データの分布が学習時から変化すること,損失関数が必ず0になること,テストデータを訓練に混ぜること,モデルの層を増やして表現力を上げること,A,データドリフトは、本番環境で入力データの分布が学習時と変わることを指す。,損失が0になる保証はない。,これはデータリーケージ。,モデル容量を増やす話。,正しい。,概念ドリフトは関係性の変化、データドリフトは入力分布の変化として区別する。,町に来る人の種類が変わるのがデータドリフト、町のルールが変わるのが概念ドリフト。,データドリフト;分布変化;概念ドリフト;監視;本番運用
G3000-R14-008,Rebuild_Set14,rebuild_50,term,ウォークフォワード検証,理解,用語説明,安定,高,時系列モデルの評価で、学習期間を前に進めながら未来期間を順に評価する方法に最も近いものはどれか。,ウォークフォワード検証,ランダムサンプリング,層化k分割交差検証,ブートストラップで目的変数を消す方法,A,ウォークフォワード検証は、時間順を保ちながら学習窓と評価窓を進めて、時系列予測を評価する考え方である。,正しい。時間を前に進めて評価する。,時系列では未来混入の危険がある。,分類の割合維持には有効だが、時系列の順序を壊すことがある。,目的変数を消す評価法ではない。,交差検証という語だけで通常のk分割を選ばせる。,未来の扉を一枚ずつ開けて検証する。まとめて全部見てはいけない。,ウォークフォワード検証;時系列検証;バックテスト;時系列分割;需要予測
G3000-R14-009,Rebuild_Set14,rebuild_50,case,バックテスト,判断,ケース判断,安定,中,金融の売買戦略AIについて、過去データ上でどの程度利益が出たかを検証したい。この検証に最も近い用語はどれか。,バックテスト,蒸留,トークナイズ,画像セグメンテーション,A,バックテストは過去データを用いて戦略や予測手法の有効性を検証する方法で、金融でよく使われる。,正しい。過去データで戦略を検証する。,大きなモデルの知識を小さなモデルへ移す手法。,テキストを単位に分ける処理。,画像を領域ごとに分類するタスク。,過去で良かった戦略が未来でも良いとは限らない点も重要。,過去の戦いで勝った剣でも、次の敵に必ず勝てるとは限らない。,バックテスト;金融AI;時系列;リーケージ;過学習
G3000-R14-010,Rebuild_Set14,rebuild_50,term,グラフ構造,理解,用語説明,安定,低,ノードとエッジで関係を表すデータ構造として最も適切なものはどれか。,グラフ構造,決定木の葉だけ,ヒストグラム,ミニバッチ,A,グラフ構造は対象をノード、関係をエッジとして表す。SNS、交通網、分子構造などに使える。,正しい。ノードとエッジの関係表現。,決定木の末端ノードだけでは関係全体を表せない。,値の分布を棒で表す図。,学習時のデータの小分け単位。,グラフは棒グラフの意味だけではない。データ構造としてのグラフを問う。,人物相関図は、名前がノード、関係がエッジ。,グラフ構造;ノード;エッジ;関係データ;ネットワーク分析
