id,分野,難易度,問題,A,B,C,D,正解,解説,出題済み
G4-001,機械学習,標準,回帰問題の例として最も適切なものはどれか。,住宅価格を数値で予測する,メールを迷惑メールか否かに分類する,顧客を購買傾向ごとに分ける,エージェントが報酬を最大化する,A,回帰は連続値を予測する問題。価格や温度などの数値予測が典型例。,
G4-002,AI史,標準,第二次AIブームを支えた中心的な技術として最も適切なものはどれか。,エキスパートシステム,畳み込みニューラルネットワーク,Transformer,敵対的生成ネットワーク,A,第二次AIブームでは専門家の知識をルール化するエキスパートシステムが中心。,
G4-003,深層学習,やや難,深いニューラルネットで、初期層の重み更新が進みにくくなる原因として最も適切なものはどれか。,誤差逆伝播で層をさかのぼるほど勾配が小さくなり学習が進みにくくなる,学習データが少なすぎてモデルが一切更新されない,GPUが不足して推論速度が低下する,過去データに適合しすぎて汎化性能が低下する,A,勾配消失は深いネットワークで初期層の重み更新が進みにくくなる問題。,
G4-004,評価指標,標準,分類モデルの混同行列におけるTPの説明として最も適切なものはどれか。,実際に正例で、予測も正例だった件数,実際に負例で、予測も負例だった件数,実際は負例だが、正例と予測した件数,実際は正例だが、負例と予測した件数,A,TPはTrue Positive。正例を正例と正しく判定した数。,
G4-005,自然言語処理,標準,Bag-of-Wordsの特徴として最も適切なものはどれか。,単語の出現回数などで文書を表すが、語順は失われやすい,文の係り受けを完全に保持できる,画像の局所特徴を抽出する,報酬に基づいて行動方策を更新する,A,BoWは単語の出現に着目するため、語順情報を保持しにくい。,
G4-006,生成AI,標準,社内文書を検索してからLLMに回答させる構成を指す用語として最も適切なものはどれか。,外部文書を検索し、その情報を生成時の文脈として利用する,モデルの重みを大規模に最初から学習し直す,画像を小さな領域に分割して畳み込む,報酬モデルだけで文章を生成する,A,RAGは検索拡張生成。外部知識を検索してLLM出力に活用する。,
G4-007,法律倫理,やや難,個人情報を生成AIに入力する際の注意として最も適切なものはどれか。,利用目的・安全管理・第三者提供などを確認し、必要に応じて匿名化や入力制限を行う,AIに入力すれば個人情報ではなくなる,社内利用なら本人同意や管理は常に不要,出力を削除すれば入力時の問題は必ず消える,A,個人情報は入力時点で管理が必要。匿名化やルール整備が重要。,
G4-008,AI基礎,標準,現実世界のAIが「関係ある情報だけ」を選ぶ難しさを表す問題として最も適切なものはどれか。,現実世界で考慮すべき事柄をどこまで限定するかが難しい問題,記号が現実の意味と結びつかない問題,モデルが学習データに適合しすぎる問題,AIが人間を超える時点を指す問題,A,フレーム問題はAIが無関係な情報をどう除外し、考慮範囲を決めるかの問題。,
G4-009,データ前処理,標準,身長と年収のように単位が違う特徴量を平均0・標準偏差1にそろえる処理はどれか。,平均0、標準偏差1になるように特徴量を変換する,カテゴリ値を必ず削除する,学習データをすべて画像に変換する,データ数を半分にする,A,標準化はスケールの異なる特徴量をそろえる代表的な前処理。,
G4-010,強化学習,やや難,強化学習における方策の説明として最も適切なものはどれか。,状態に応じてどの行動を選ぶかを定める規則,入力と正解ラベルの対応表,クラスタの中心点だけを保存する表,単語を数値ベクトルに変換する辞書,A,方策はエージェントが状態から行動を選択するための戦略。,
G4-011,画像認識,標準,CNNでプーリング層を用いる主な目的として最も適切なものはどれか。,特徴マップを縮小し、位置ずれへの頑健性や計算量削減に役立てる,文章の語順を保持する,報酬を割引く,個人情報を匿名化する,A,プーリングは特徴マップの要約・縮小に使われる。,
G4-012,生成AI,やや難,モデル重みを変えずに、指示文の書き方で生成AIの出力を改善する工夫はどれか。,生成AIへの指示文や条件を工夫して望ましい出力を得やすくする,モデルのパラメータを必ず再学習する,GPUを追加して学習速度だけを上げる,著作権を自動的に消滅させる,A,プロンプトは入力指示。モデル重みを変えずに出力を制御する工夫。,
G4-013,AI倫理,標準,説明可能性が特に重視されやすい場面として最も適切なものはどれか。,融資審査や医療支援など判断理由が人に影響する場面,ランダムな背景画像を生成するだけの場面,モデル名を短く表示する場面,学習率を固定するだけの場面,A,人の権利や生活に影響する判断では説明可能性・透明性が重要。,
G4-014,機械学習,標準,教師なし学習の代表例として最も適切なものはどれか。,k-meansによるクラスタリング,正解ラベル付き画像分類,報酬に基づくロボット制御,ルールベースの専門家システム,A,クラスタリングは正解ラベルなしにデータのまとまりを見つける教師なし学習。,
G4-015,深層学習,やや難,ニューラルネットの過学習対策として、学習中に一部ユニットを無効化する方法はどれか。,学習時に一部のユニットを無効化して過学習を抑える,推論時に必ず全データを削除する,入力値を平均0に変換する,ラベルなしデータをクラスタに分ける,A,ドロップアウトはニューラルネットの過学習対策として使われる。,
G4-016,AI基礎,標準,相手が機械か人間かを会話から判定できるかを考えるテストはどれか。,機械が人間のように会話できるかを評価する考え方,画像の分類精度だけを測る指標,ニューラルネットの層数を決める方法,個人情報保護法の手続き,A,チューリングテストは会話を通じて機械の知能を判定する思想実験。,
