id,set,phase,question_type,topic,source_area,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,search_keywords,story_hint
R32-001,Rebuild_Set32,横断複合・重複回避五段目,case,半教師あり学習,G検定横断領域,手法選択,ケース判断,低,中,大量の未ラベル画像と少量のラベル付き画像がある。追加アノテーション予算を抑えつつ分類器を作りたい場合、最も検討しやすい方針はどれか。,少量のラベル付きデータと大量の未ラベルデータを併用する半教師あり学習を検討する,未ラベルデータは必ず捨て、1枚だけで教師あり学習を行う,ラベルが少ない場合は、モデル評価を一切行わない,強化学習を使えば、正解ラベルや報酬設計を考えなくてよい,A,半教師あり学習は、少量のラベル付きデータと大量の未ラベルデータを組み合わせる考え方である。,正しい。 半教師あり学習は、少量のラベル付きデータと大量の未ラベルデータを組み合わせる考え方である。,誤り。選択肢は目的、評価単位、データ利用条件、または運用上の責任を取り違えている。,誤り。選択肢は目的、評価単位、データ利用条件、または運用上の責任を取り違えている。,誤り。選択肢は目的、評価単位、データ利用条件、または運用上の責任を取り違えている。,教師あり、教師なし、強化学習を名前で反射せず、ラベルの有無と目的を見る。,半教師あり学習;未ラベルデータ;ラベル付きデータ;画像分類,さいはてでは、出力の便利さではなく、根拠・境界・責任・失敗時の戻り道を観測する。
R32-002,Rebuild_Set32,横断複合・重複回避五段目,case,アクティブラーニング,G検定横断領域,データ効率,ケース判断,中,中,ラベル付け費用が高い医療画像で、モデルが迷っている症例から優先的に専門医へ確認してもらいたい。近い考え方はどれか。,全データをランダムに捨てるデータ削減,モデルにとって有益なサンプルを選んでラベル付けするアクティブラーニング,正解ラベルを使わず報酬だけで学習する方針,テストデータを訓練へ混ぜる方針,B,アクティブラーニングでは、ラベル付けすべきサンプルを選び、アノテーション効率を高める。,誤り。選択肢は目的、評価単位、データ利用条件、または運用上の責任を取り違えている。,正しい。 アクティブラーニングでは、ラベル付けすべきサンプルを選び、アノテーション効率を高める。,誤り。選択肢は目的、評価単位、データ利用条件、または運用上の責任を取り違えている。,誤り。選択肢は目的、評価単位、データ利用条件、または運用上の責任を取り違えている。,ラベル付けを増やす話でも、すべてに付けるのではなく「どれを選ぶか」が焦点。,アクティブラーニング;医療画像;アノテーション;不確実性サンプリング,さいはてでは、出力の便利さではなく、根拠・境界・責任・失敗時の戻り道を観測する。
R32-003,Rebuild_Set32,横断複合・重複回避五段目,case,合成データ,G検定横断領域,データ拡張,ケース判断,高,高,個人情報を含む顧客データの代わりに合成データを作った。公開前に確認すべき点として最も適切なのはどれか。,合成データなら元データの特徴を一切受け継がないので確認不要である,合成データは常に実データより公平である,再識別リスク、元データの偏り、タスク性能への影響を確認する,合成データを使う場合、評価データは不要になる,C,合成データでも再識別や偏りの継承、性能低下の可能性があるため検証が必要である。,誤り。選択肢は目的、評価単位、データ利用条件、または運用上の責任を取り違えている。,誤り。選択肢は目的、評価単位、データ利用条件、または運用上の責任を取り違えている。,正しい。 合成データでも再識別や偏りの継承、性能低下の可能性があるため検証が必要である。,誤り。選択肢は目的、評価単位、データ利用条件、または運用上の責任を取り違えている。,「合成」と聞いて安全と決めつけず、元データとの関係と評価目的を見る。,合成データ;再識別;データバイアス;プライバシー,さいはてでは、出力の便利さではなく、根拠・境界・責任・失敗時の戻り道を観測する。
R32-004,Rebuild_Set32,横断複合・重複回避五段目,case,連合学習,G検定横断領域,分散学習,ケース判断,高,中,複数病院のデータを中央に集めず、各病院内に置いたままモデル改善へ使いたい。近い考え方はどれか。,全病院の生データを1つの公開サーバへ集約する,モデル評価を行わず、各病院で別々の手作業ルールを作る,正解ラベルを削除して必ず教師なし学習にする,各拠点で学習し、重みや更新情報を共有する連合学習を検討する,D,連合学習は生データを集約せず、各拠点で学習した更新情報を用いてモデルを改善する考え方である。,誤り。選択肢は目的、評価単位、データ利用条件、または運用上の責任を取り違えている。,誤り。選択肢は目的、評価単位、データ利用条件、または運用上の責任を取り違えている。,誤り。選択肢は目的、評価単位、データ利用条件、または運用上の責任を取り違えている。,正しい。 連合学習は生データを集約せず、各拠点で学習した更新情報を用いてモデルを改善する考え方である。,データを集めないことはリスク低減に役立つが、通信情報や攻撃リスクの検討も残る。,連合学習;医療データ;分散学習;プライバシー,さいはてでは、出力の便利さではなく、根拠・境界・責任・失敗時の戻り道を観測する。
R32-005,Rebuild_Set32,横断複合・重複回避五段目,case,差分プライバシー,G検定横断領域,プライバシー保護,ケース判断,高,高,統計結果から個々の参加者の有無を推測されにくくしたい。ノイズを加えて個人の影響を限定する考え方として最も近いものはどれか。,差分プライバシー,過学習,ミニバッチ学習,ワンホットエンコーディング,A,差分プライバシーは、個人データの有無が出力へ与える影響を制限するプライバシー保護の考え方である。,正しい。 差分プライバシーは、個人データの有無が出力へ与える影響を制限するプライバシー保護の考え方である。,誤り。選択肢は目的、評価単位、データ利用条件、または運用上の責任を取り違えている。,誤り。選択肢は目的、評価単位、データ利用条件、または運用上の責任を取り違えている。,誤り。選択肢は目的、評価単位、データ利用条件、または運用上の責任を取り違えている。,ノイズを足す話でも、単なるデータ拡張ではなく個人推測の抑制が焦点。,差分プライバシー;ノイズ付与;統計公開;個人推測,さいはてでは、出力の便利さではなく、根拠・境界・責任・失敗時の戻り道を観測する。
R32-006,Rebuild_Set32,横断複合・重複回避五段目,case,k-匿名性,G検定横断領域,匿名化,ケース判断,中,中,年齢、郵便番号、性別の組み合わせで個人が1人に絞られる恐れがある。準識別子の組み合わせを一般化して同じ属性を持つ人を少なくともk人にしたい。近い考え方はどれか。,ドロップアウト,k-匿名性,勾配降下法,Attention,B,k-匿名性は、準識別子の組み合わせで少なくともk人が同じになるよう加工する考え方である。,誤り。選択肢は目的、評価単位、データ利用条件、または運用上の責任を取り違えている。,正しい。 k-匿名性は、準識別子の組み合わせで少なくともk人が同じになるよう加工する考え方である。,誤り。選択肢は目的、評価単位、データ利用条件、または運用上の責任を取り違えている。,誤り。選択肢は目的、評価単位、データ利用条件、または運用上の責任を取り違えている。,氏名を消したかではなく、組み合わせで絞り込めるかを見る。,k匿名性;準識別子;匿名加工;再識別,さいはてでは、出力の便利さではなく、根拠・境界・責任・失敗時の戻り道を観測する。
R32-007,Rebuild_Set32,横断複合・重複回避五段目,case,データ来歴,G検定横断領域,データ管理,ケース判断,中,中,モデルの誤判定が起きたため、どのデータソース、前処理、ラベル付け手順を経て学習データになったか追跡したい。重要な管理対象はどれか。,GPUの色,ユーザーインターフェースの余白だけ,データリネージュや前処理履歴,モデル名の略称だけ,C,データリネージュは、データの出所、変換、利用過程を追跡する考え方である。,誤り。選択肢は目的、評価単位、データ利用条件、または運用上の責任を取り違えている。,誤り。選択肢は目的、評価単位、データ利用条件、または運用上の責任を取り違えている。,正しい。 データリネージュは、データの出所、変換、利用過程を追跡する考え方である。,誤り。選択肢は目的、評価単位、データ利用条件、または運用上の責任を取り違えている。,モデルだけを見ず、データがどう作られたかを追えることが重要。,データリネージュ;前処理履歴;データソース;監査,さいはてでは、出力の便利さではなく、根拠・境界・責任・失敗時の戻り道を観測する。
R32-008,Rebuild_Set32,横断複合・重複回避五段目,case,ラベルノイズ,G検定横断領域,アノテーション品質,ケース判断,低,高,画像分類モデルの性能が伸びないため確認したところ、同じ種類の画像でも評価者によって別ラベルが付いていた。最も疑うべき問題はどれか。,CPUクロックが高すぎること,活性化関数が必ず不要であること,テストデータが存在すること自体,ラベル定義の曖昧さやラベルノイズ,D,ラベルが一貫しないと、モデルは正しい対応関係を学びにくくなる。,誤り。選択肢は目的、評価単位、データ利用条件、または運用上の責任を取り違えている。,誤り。選択肢は目的、評価単位、データ利用条件、または運用上の責任を取り違えている。,誤り。選択肢は目的、評価単位、データ利用条件、または運用上の責任を取り違えている。,正しい。 ラベルが一貫しないと、モデルは正しい対応関係を学びにくくなる。,精度が低い原因をモデル構造だけに求めず、教師データの品質を見る。,ラベルノイズ;アノテーション基準;教師データ;評価者間一致,さいはてでは、出力の便利さではなく、根拠・境界・責任・失敗時の戻り道を観測する。
R32-009,Rebuild_Set32,横断複合・重複回避五段目,case,欠損機構,G検定横断領域,前処理判断,ケース判断,中,中,アンケートの年収欄だけ欠損が多い。欠損がランダムではなく回答しにくさに由来する可能性がある場合、最も適切な考え方はどれか。,欠損の発生理由を確認し、単純削除による偏りを検討する,欠損は常に0で埋めれば公平になる,欠損がある列は必ず目的変数にする,欠損理由はモデル性能と無関係である,A,欠損が特定の属性や行動と関係する場合、単純削除や単純補完が偏りを生む可能性がある。,正しい。 欠損が特定の属性や行動と関係する場合、単純削除や単純補完が偏りを生む可能性がある。,誤り。選択肢は目的、評価単位、データ利用条件、または運用上の責任を取り違えている。,誤り。選択肢は目的、評価単位、データ利用条件、または運用上の責任を取り違えている。,誤り。選択肢は目的、評価単位、データ利用条件、または運用上の責任を取り違えている。,欠損を「空欄」とだけ見ず、なぜ空欄かを読む。,欠損値;MNAR;アンケート;バイアス,さいはてでは、出力の便利さではなく、根拠・境界・責任・失敗時の戻り道を観測する。
R32-010,Rebuild_Set32,横断複合・重複回避五段目,case,カテゴリ変数,G検定横断領域,特徴量表現,ケース判断,低,中,"都道府県名を機械学習モデルに入れたい。数値の大小関係がないカテゴリに、1,2,3のような順序を持つ値をそのまま与えると何が問題か。",必ず画像データになる,本来ない大小関係をモデルが意味として受け取る可能性がある,教師あり学習が教師なし学習に変わる,評価指標がすべて使えなくなる,B,名義尺度のカテゴリに数値を割り当てると、大小関係があるかのように扱われる場合がある。,誤り。選択肢は目的、評価単位、データ利用条件、または運用上の責任を取り違えている。,正しい。 名義尺度のカテゴリに数値を割り当てると、大小関係があるかのように扱われる場合がある。,誤り。選択肢は目的、評価単位、データ利用条件、または運用上の責任を取り違えている。,誤り。選択肢は目的、評価単位、データ利用条件、または運用上の責任を取り違えている。,数字にしただけで意味が正しく伝わるとは限らない。,カテゴリ変数;ワンホットエンコーディング;名義尺度;特徴量表現,さいはてでは、出力の便利さではなく、根拠・境界・責任・失敗時の戻り道を観測する。
