id,set,phase,question_type,topic,source_area,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,search_keywords,story_hint
R36-001,Rebuild_Set36,横断複合・重複回避十五段目,case,モデル選定と環境負荷,社会実装/モデル運用,判断/運用,case,改訂シラバス寄せ,高性能モデル万能視,社内FAQを数千件対象に検索補助したい。巨大LLMの全文再学習案と、小型モデル＋ベクトル検索＋人手確認案がある。G検定の観点で最も適切な判断はどれか。,目的・リスク・コスト・更新頻度を踏まえ、再学習以外のRAGや小型モデル活用も比較する,精度を上げるには常に最大規模モデルを再学習する,FAQ検索では評価指標を置かず、利用者の感覚だけで導入可否を決める,RAGを使う場合は権限管理や参照元表示を考えなくてよい,A,G検定ではAI導入時に目的適合性、費用、リスク、運用可能性を比較する考え方が重要。最大モデル再学習が常に正解ではない。,正解。RAG、小型モデル、運用負荷、権限管理を比較する。,誤り。最大規模モデルはコストや環境負荷、更新性の課題がある。,誤り。検索精度、回答妥当性、利用満足度などの評価が必要。,誤り。RAGではアクセス権限と参照元管理が重要。,「最大モデル＝最良」を選ばせるひっかけ。,モデル選定;環境負荷;RAG;小型モデル;社内FAQ,さいはてでは大きな装置より、届く範囲に合った小さな経路が安全なことがある。
R36-002,Rebuild_Set36,横断複合・重複回避十五段目,case,モデル更新と後方互換性,MLOps/運用,判断/運用,case,安定領域,新モデル投入だけを評価する罠,問い合わせ分類AIを更新したところ、全体精度は上がったが、従来「緊急」と分類されていた一部が通常扱いになった。最も適切な対応はどれか。,重要クラス別の再現率や業務影響を確認し、必要ならしきい値・人手確認・ロールバック条件を設ける,全体精度が上がったため、そのまま全ユーザーへ即時展開する,学習データを増やせば分類ミスは必ず消えるので、運用監視は不要にする,緊急分類は業務ルールなので、機械学習の評価対象から外す,A,全体精度だけでなく重要クラスの見逃し、業務リスク、ロールバック条件を確認する必要がある。,正解。クラス別指標と運用影響を確認する。,誤り。全体精度だけでは重要な見逃しを隠す。,誤り。データ追加だけで必ず解決するとは限らない。,誤り。緊急分類こそ評価対象になる。,全体精度の上昇で重要クラスの劣化を見落とさせる。,モデル更新;後方互換性;再現率;ロールバック;重要クラス,四年五組なら「全体は明るくなった」でも、黒が残った場所を見逃せない。
R36-003,Rebuild_Set36,横断複合・重複回避十五段目,compare,説明可能性と説明責任,AI倫理/ガバナンス,比較/判断,compare,改訂シラバス寄せ,XAIと責任の混同,融資審査AIでSHAP値を表示できるようにした。G検定の観点で最も適切な説明はどれか。,SHAPなどの説明手法は判断理解を助けるが、説明責任や救済手続、運用責任を自動的に満たすわけではない,SHAP値があれば、モデルの公平性や法令適合性は必ず保証される,説明可能性を高めると、モデルの予測性能は必ず低下する,特徴量寄与を表示すれば、個人情報の取り扱い確認は不要になる,A,説明可能性は透明性を支える一要素だが、説明責任、異議申立て、監査、データ管理とは別に考える必要がある。,正解。XAIとガバナンス責任は同一ではない。,誤り。公平性や法令適合性は別途確認が必要。,誤り。性能との関係は手法や設計に依存する。,誤り。個人情報管理は別問題。,「説明できる＝責任を果たした」と短絡させる。,SHAP;説明可能性;説明責任;公平性;融資審査,ミチが理由を語っても、ユイが判断の責任を手放せるわけではない。
R36-004,Rebuild_Set36,横断複合・重複回避十五段目,case,ラベル設計と曖昧な正解,データ/アノテーション,判断/運用,case,安定領域,教師データを正解そのものとみなす罠,苦情メールを「要対応」「参考」「対象外」に分類する教師データを作る。担当者ごとに判断が割れている。最初に重視すべき対応はどれか。,分類基準や境界例を定義し、複数人の一致度やレビュー手順を設ける,担当者の直感をそのまま集めれば、多数決だけで常に正しいラベルになる,曖昧なラベルは深層学習に任せれば自動的に解消される,ラベルが割れる場合は教師あり学習を絶対に使えない,A,ラベルの曖昧さはモデル以前のデータ品質問題。基準、境界例、レビュー、一致度確認が重要。,正解。ラベル設計と品質管理が必要。,誤り。多数決は有効な場合もあるが基準なしでは偏りが残る。,誤り。モデルは曖昧な教師データの偏りを学ぶ可能性がある。,誤り。基準整備や確率的扱いで使える場合がある。,「AIが曖昧さを吸収する」と見せるひっかけ。,アノテーション;ラベル設計;一致度;教師データ;データ品質,センセイが丸をつける前に、何を丸とするかを決める必要がある。
R36-005,Rebuild_Set36,横断複合・重複回避十五段目,reading,合成特徴量とリーケージ,機械学習/評価,読解/判断,reading,安定領域,便利な特徴量に潜む未来情報,ECサイトで退会予測モデルを作る。候補特徴量に「退会手続きページを開いた回数」「退会後アンケート回答有無」「過去30日のログイン日数」がある。最も注意すべきものはどれか。,退会後アンケート回答有無は予測時点では利用できない可能性が高く、データリーケージになる,過去30日のログイン日数は必ず個人情報に該当しないため確認不要である,退会手続きページの閲覧回数は常に目的変数そのものなので絶対に使えない,特徴量が多いほどリーケージの可能性は必ず下がる,A,予測時点で利用できない退会後情報を含めると、評価が不自然に高くなる。,正解。未来情報や事後情報の混入が問題。,誤り。ログデータも個人情報やプライバシー配慮が必要な場合がある。,誤り。目的や時点次第で利用可否が変わる。,誤り。特徴量が多いほど漏れの可能性も増える。,時点を問うリーケージ問題。,データリーケージ;退会予測;特徴量;未来情報;評価,ユイが未来の日記を見て試験を解けば、点数は上がっても実力ではない。
R36-006,Rebuild_Set36,横断複合・重複回避十五段目,case,モデルの失敗時設計,安全性/社会実装,判断/運用,case,改訂シラバス寄せ,高精度なら安全という罠,工場の画像検査AIが異常を検出できない場合、ライン停止コストが大きい。導入時の設計として最も適切なものはどれか。,AIの信頼度が低い場合の人手確認、フェイルセーフ、運用ログ、再学習条件をあらかじめ設計する,検証精度が高ければ、AI判断を常に自動で最終判断にする,異常検知は教師なし学習なら誤検知も見逃しも発生しない,現場担当者がAIに疑問を持つと効率が落ちるため、根拠表示は避ける,A,安全性が重要な現場では、失敗時の扱い、人手介入、ログ、再学習条件などを設計する。,正解。フェイルセーフと運用設計が重要。,誤り。検証精度だけで全自動最終判断は危険。,誤り。教師なしでも誤検知・見逃しは起こる。,誤り。根拠や不確実性表示は現場判断を助ける。,「精度が高いから安全」を選ばせる。,画像検査;フェイルセーフ;異常検知;人手確認;運用ログ,さいはての安全装置は、成功より失敗したときの戻り道を先に作る。
R36-007,Rebuild_Set36,横断複合・重複回避十五段目,case,多言語LLMと文化的バイアス,生成AI/倫理,判断/運用,case,改訂シラバス寄せ,翻訳できれば公平という罠,多言語対応チャットボットを海外拠点に導入する。日本語では問題ないが、別言語では回答が失礼に見える可能性がある。最も適切な対応はどれか。,翻訳精度だけでなく、文化的文脈、禁忌表現、現地レビュー、利用者フィードバックを評価する,機械翻訳を通せば文化的バイアスは必ず消える,英語で評価したベンチマークが高ければ全言語で同じ品質とみなせる,LLMは統計的に学習するため、文化差の確認は不要である,A,多言語AIでは言語精度だけでなく文化的妥当性や現地での受容性も確認する必要がある。,正解。現地レビューや文化的配慮が必要。,誤り。翻訳は文化差を完全には解消しない。,誤り。言語ごとに性能や失敗傾向が異なる。,誤り。学習データの偏りが反映される可能性がある。,「翻訳＝同じ意味・同じ受け止め方」とみなす罠。,多言語LLM;文化的バイアス;現地レビュー;AI倫理;翻訳,同じ言葉でも、共鳴世界と物質世界では響き方が変わる。
R36-008,Rebuild_Set36,横断複合・重複回避十五段目,case,閾値調整と業務KPI,評価指標/実装,判断/運用,case,安定領域,AUCだけで運用決定する罠,不正検知モデルでAUCは高いが、実運用では調査担当者が1日100件しか確認できない。最も適切な対応はどれか。,上位100件での適合率や調査負荷、しきい値別の業務影響を評価する,AUCが高ければ確認件数の制約は評価しなくてよい,再現率だけを最大化すれば担当者負荷は必ず下がる,不正検知ではしきい値を固定して評価してはいけない,A,業務制約がある場合は、ランキング上位の精度やしきい値別の負荷を評価する。,正解。運用制約に合わせた指標が必要。,誤り。AUCは全体傾向であり確認可能件数を直接表さない。,誤り。再現率最大化は調査件数増加を招くことがある。,誤り。しきい値固定評価も目的次第で必要。,指標と業務KPIのズレを問う。,AUC;適合率;不正検知;しきい値;業務KPI,黒を全部拾おうとして、四年五組が確認しきれなくなる場面。
R36-009,Rebuild_Set36,横断複合・重複回避十五段目,case,利用者教育と過信,AIリテラシー/運用,判断/運用,case,改訂シラバス寄せ,ツール導入だけで安全という罠,社内に生成AIを導入したところ、社員が回答を確認せず顧客へ送る事例が出た。最も適切な対策はどれか。,利用ルール、禁止入力、確認責任、引用確認、教育、ログ監査を組み合わせる,高性能なLLMに変えれば確認作業は不要になる,生成AIは文章作成ツールなので、個人情報や著作権の教育は不要である,ハルシネーションはプロンプトを丁寧にすれば絶対に発生しない,A,生成AI運用では技術対策だけでなく、利用者教育と確認責任を明確にする必要がある。,正解。ルール・教育・監査の組み合わせが必要。,誤り。高性能モデルでも誤りは起こる。,誤り。入力情報や出力利用には法務・倫理の注意が必要。,誤り。ハルシネーションを完全にゼロにはできない。,「モデル性能で運用問題を消せる」とする罠。,生成AI利用ルール;ハルシネーション;利用者教育;ログ監査;著作権,ミチが便利でも、ユイが確認をやめた瞬間に危うさが始まる。
R36-010,Rebuild_Set36,横断複合・重複回避十五段目,compare,匿名加工情報と仮名加工情報,個人情報保護/データ活用,比較/理解,compare,法務最新注意,用語名の印象で選ばせる,個人データを分析に使う際、匿名加工情報と仮名加工情報の違いを学ぶ。G検定対策として最も安全な理解はどれか。,どちらも個人情報保護法上の制度であり、加工方法・照合可能性・利用目的・第三者提供の扱いが異なる,匿名加工情報は名前を削るだけで必ず作成できる,仮名加工情報は本人を識別できないため、個人情報保護法の対象外になる,どちらもAI学習に使う場合、利用目的や安全管理措置を考えなくてよい,A,匿名加工情報と仮名加工情報は似ているが、再識別可能性や規律が異なる。詳細は最新法令・ガイドライン確認が必要。,正解。制度上の違いを押さえる。,誤り。単なる氏名削除では十分ではない。,誤り。仮名加工情報は一定条件で個人情報として扱われる。,誤り。安全管理や利用目的の確認が必要。,名前の印象だけで「匿名＝完全自由」とさせる。,匿名加工情報;仮名加工情報;個人情報保護法;第三者提供;安全管理,名前を消しても、足跡が残れば誰かに近づけてしまう。
