id,set,phase,question_type,topic,source_area,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,search_keywords,story_hint
R27-001,Rebuild_Set27,横断複合・AIガバナンス実装二段目,case,AIリスク分類,AIガバナンス・リスクマネジメント・標準化・組織運用,ケース判断・リスク識別・制度/技術の対応づけ,case,AIガバナンス/生成AI運用を含む,名称暗記ではなく責任・証跡・限界を問う,社内でAI利用を広げる際、すべてのAIを同じ審査深度にすると現場が止まる。G検定の観点で最も適切な方針はどれか。,用途、影響度、個人情報の有無、意思決定への関与度に応じてリスク分類し、審査や監視の深さを変える,モデルの精度が高いものだけ審査し、精度が低いものは業務に使わない,生成AIだけを審査対象にし、従来型の機械学習モデルは対象外にする,利用部門が便利だと判断したAIは、審査なしで本番利用してよい,A,AIガバナンスでは、AIを一律に扱うのではなく、利用場面と影響度に応じて管理水準を変える考え方が重要である。,,もっともらしいが、設問の条件に対する主対策ではない。,もっともらしいが、設問の条件に対する主対策ではない。,もっともらしいが、設問の条件に対する主対策ではない。,「AI」という名前だけで一律管理するのではなく、リスクベースで見る。,リスクベースアプローチ;AIリスク分類;審査深度;影響度;ガバナンス,さいはて：便利な判断ほど、誰が見たか・どこで止めたか・何を根拠にしたかを残す場面として覚える。
R27-002,Rebuild_Set27,横断複合・AIガバナンス実装二段目,case,モデルカード,AIガバナンス・リスクマネジメント・標準化・組織運用,ケース判断・リスク識別・制度/技術の対応づけ,case,AIガバナンス/生成AI運用を含む,名称暗記ではなく責任・証跡・限界を問う,外部提供モデルを採用する前に、学習データの性質、想定用途、評価結果、制限事項を確認したい。最も近い文書の考え方はどれか。,データベースの正規化だけを行い、モデルの説明文書は不要とする,モデルカードのように、モデルの用途、評価、限界、注意点を利用者に伝える文書を確認する,APIレスポンス時間だけを見れば、利用可能性は十分判断できる,学習率やエポック数だけを確認すれば、社会的リスクも判断できる,B,モデルカードは、モデルの性能だけでなく、想定用途や制限事項を共有するための実務的な考え方である。,もっともらしいが、設問の条件に対する主対策ではない。,,もっともらしいが、設問の条件に対する主対策ではない。,もっともらしいが、設問の条件に対する主対策ではない。,パラメータ値だけで安全性や適用範囲は判断できない。,モデルカード;想定用途;制限事項;評価結果;AI透明性,さいはて：便利な判断ほど、誰が見たか・どこで止めたか・何を根拠にしたかを残す場面として覚える。
R27-003,Rebuild_Set27,横断複合・AIガバナンス実装二段目,case,データシート,AIガバナンス・リスクマネジメント・標準化・組織運用,ケース判断・リスク識別・制度/技術の対応づけ,case,AIガバナンス/生成AI運用を含む,名称暗記ではなく責任・証跡・限界を問う,あるデータセットを別部署が再利用したい。収集目的、収集方法、ラベル付け方針、偏り、利用上の注意を残す考え方として最も適切なのはどれか。,データ件数だけを記録し、収集背景はモデルが学習するため不要とする,CSVファイル名に日付を入れれば、データ品質の説明として十分である,データセット用のデータシートを用意し、データの由来や注意点を明示する,ラベル名を短くすれば、偏りや収集条件の確認は不要になる,C,データシートは、データの由来や収集条件、ラベル付け、制約を利用者へ伝えるために役立つ。,もっともらしいが、設問の条件に対する主対策ではない。,もっともらしいが、設問の条件に対する主対策ではない。,,もっともらしいが、設問の条件に対する主対策ではない。,データ件数が多くても、由来や偏りが分からなければ再利用判断は危うい。,Datasheets for Datasets;データシート;データ由来;ラベル付け;データバイアス,さいはて：便利な判断ほど、誰が見たか・どこで止めたか・何を根拠にしたかを残す場面として覚える。
R27-004,Rebuild_Set27,横断複合・AIガバナンス実装二段目,case,人間の関与,AIガバナンス・リスクマネジメント・標準化・組織運用,ケース判断・リスク識別・制度/技術の対応づけ,case,AIガバナンス/生成AI運用を含む,名称暗記ではなく責任・証跡・限界を問う,AIが与信判断の候補を出すが、最終判断は人間が行う運用にしたい。最も注意すべき点はどれか。,最終ボタンを人間が押せば、AIの説明やログは不要になる,人間が介在するなら、AIの誤判定はすべて利用者責任になる,AIの候補を人間が見る運用では、バイアス評価は不要になる,人間が実質的に判断できる情報、異議申立て、責任分担を設計し、単なる形式的承認にしない,D,Human-in-the-loopは、形式的に人間を置くだけでは不十分で、人間が判断できる根拠と手続が必要である。,もっともらしいが、設問の条件に対する主対策ではない。,もっともらしいが、設問の条件に対する主対策ではない。,もっともらしいが、設問の条件に対する主対策ではない。,,「人間が最後に押す」だけでは責任ある運用にならない。,Human-in-the-loop;形式的承認;異議申立て;責任分担;与信AI,さいはて：便利な判断ほど、誰が見たか・どこで止めたか・何を根拠にしたかを残す場面として覚える。
R27-005,Rebuild_Set27,横断複合・AIガバナンス実装二段目,case,説明責任,AIガバナンス・リスクマネジメント・標準化・組織運用,ケース判断・リスク識別・制度/技術の対応づけ,case,AIガバナンス/生成AI運用を含む,名称暗記ではなく責任・証跡・限界を問う,採用AIの不採用理由について応募者から問い合わせが来た。G検定の観点で望ましい対応はどれか。,個人に関わる重要な判断では、評価項目、利用データ、問い合わせ窓口など説明可能な範囲を用意する,営業秘密を理由に一切説明しない設計が常に最善である,ニューラルネットワークは複雑なので、採用AIではログを残さない方がよい,精度が高いモデルなら、個別説明や異議対応は不要である,A,説明責任では、全内部情報の公開ではなく、影響を受ける人が理解・確認できる情報や手続を用意することが重要である。,,もっともらしいが、設問の条件に対する主対策ではない。,もっともらしいが、設問の条件に対する主対策ではない。,もっともらしいが、設問の条件に対する主対策ではない。,説明責任は「全部公開」でも「何も説明しない」でもない。,説明責任;アカウンタビリティ;採用AI;問い合わせ窓口;重要判断,さいはて：便利な判断ほど、誰が見たか・どこで止めたか・何を根拠にしたかを残す場面として覚える。
R27-006,Rebuild_Set27,横断複合・AIガバナンス実装二段目,case,監査証跡,AIガバナンス・リスクマネジメント・標準化・組織運用,ケース判断・リスク識別・制度/技術の対応づけ,case,AIガバナンス/生成AI運用を含む,名称暗記ではなく責任・証跡・限界を問う,AI出力を業務判断に使うシステムで、後から判断の妥当性を確認したい。最も重要な設計はどれか。,最終出力だけ保存し、入力やモデル版は保存しない,入力、モデル版、プロンプト、参照情報、出力、人間の修正を追跡できるログを残す,ログは容量を使うため、問題発生時にだけ手作業で再現する,モデルが同じならプロンプトや参照文書の記録は不要である,B,監査可能性には、どの入力に対して、どのモデル・設定・参照情報で、誰がどう判断したかを追える証跡が必要である。,もっともらしいが、設問の条件に対する主対策ではない。,,もっともらしいが、設問の条件に対する主対策ではない。,もっともらしいが、設問の条件に対する主対策ではない。,「出力だけ保存」では後から原因をたどれない。,監査ログ;モデルバージョン;プロンプトログ;RAG参照文書;証跡,さいはて：便利な判断ほど、誰が見たか・どこで止めたか・何を根拠にしたかを残す場面として覚える。
R27-007,Rebuild_Set27,横断複合・AIガバナンス実装二段目,case,外部委託,AIガバナンス・リスクマネジメント・標準化・組織運用,ケース判断・リスク識別・制度/技術の対応づけ,case,AIガバナンス/生成AI運用を含む,名称暗記ではなく責任・証跡・限界を問う,AI開発を外部委託する際、データ提供と成果物利用で後から揉めないための確認として最も適切なのはどれか。,委託先がAI専門企業なら、契約上の権利関係は確認不要である,学習済みモデルは物理的な物ではないため、成果物の範囲に含めなくてよい,データの利用範囲、再利用可否、成果物の権利、秘密保持、責任分担を契約で明確にする,PoC段階では法務確認を一切せず、成功してから契約を作れば十分である,C,AI委託では、データ、モデル、コード、派生成果物、秘密保持、再利用条件を事前に決めることが重要である。,もっともらしいが、設問の条件に対する主対策ではない。,もっともらしいが、設問の条件に対する主対策ではない。,,もっともらしいが、設問の条件に対する主対策ではない。,技術的な成功と、権利・責任の明確化は別問題。,AI契約;外部委託;データ利用範囲;成果物;秘密保持,さいはて：便利な判断ほど、誰が見たか・どこで止めたか・何を根拠にしたかを残す場面として覚える。
R27-008,Rebuild_Set27,横断複合・AIガバナンス実装二段目,case,第三者権利,AIガバナンス・リスクマネジメント・標準化・組織運用,ケース判断・リスク識別・制度/技術の対応づけ,case,AIガバナンス/生成AI運用を含む,名称暗記ではなく責任・証跡・限界を問う,画像生成AIを広告制作に使う。最も適切なリスク確認はどれか。,AIが生成した画像なら、著作権や商標の問題は原理的に発生しない,プロンプトに有名作家名を入れるほど、法的リスクは必ず小さくなる,商用利用では、出力画像の確認より生成速度を優先すべきである,生成物が第三者の著作物や商標、肖像に近すぎないか、利用条件や人手確認を含めて確認する,D,生成AIの出力は、既存表現との類似、商標、肖像、利用規約など複数の観点で確認する必要がある。,もっともらしいが、設問の条件に対する主対策ではない。,もっともらしいが、設問の条件に対する主対策ではない。,もっともらしいが、設問の条件に対する主対策ではない。,,「AI生成だから権利問題ゼロ」と考えるのがひっかけ。,生成AI;著作権;商標;肖像権;商用利用,さいはて：便利な判断ほど、誰が見たか・どこで止めたか・何を根拠にしたかを残す場面として覚える。
R27-009,Rebuild_Set27,横断複合・AIガバナンス実装二段目,case,個人情報最小化,AIガバナンス・リスクマネジメント・標準化・組織運用,ケース判断・リスク識別・制度/技術の対応づけ,case,AIガバナンス/生成AI運用を含む,名称暗記ではなく責任・証跡・限界を問う,社内チャットボットの改善のために会話ログを学習利用したい。最も適切な初期方針はどれか。,利用目的を明確にし、不要な個人情報を収集しない、匿名化やアクセス制御を検討する,ログはAI改善に役立つため、全社員の会話を目的なく無期限保存する,個人名が含まれても、社内利用なら個人情報保護の検討は不要である,匿名化したつもりなら、再識別リスクの確認は不要になる,A,個人情報の扱いでは、目的明確化、最小化、アクセス制御、匿名化や再識別リスクへの注意が重要である。,,もっともらしいが、設問の条件に対する主対策ではない。,もっともらしいが、設問の条件に対する主対策ではない。,もっともらしいが、設問の条件に対する主対策ではない。,社内利用でも個人情報・機微情報の扱いは軽くならない。,個人情報最小化;会話ログ;匿名化;アクセス制御;再識別,さいはて：便利な判断ほど、誰が見たか・どこで止めたか・何を根拠にしたかを残す場面として覚える。
R27-010,Rebuild_Set27,横断複合・AIガバナンス実装二段目,case,要配慮情報,AIガバナンス・リスクマネジメント・標準化・組織運用,ケース判断・リスク識別・制度/技術の対応づけ,case,AIガバナンス/生成AI運用を含む,名称暗記ではなく責任・証跡・限界を問う,健康状態や障害に関する情報を含むデータでAIを作る。最も適切な注意はどれか。,精度向上に有用なら、機微な情報ほど自由に追加してよい,本人への影響が大きい情報として、取得根拠、利用目的、アクセス制御、同意や法令上の条件を慎重に確認する,健康情報は数値化すれば、プライバシー上の配慮は不要になる,要配慮情報は教師なし学習で使えば個人情報ではなくなる,B,健康状態などの機微な情報は、本人への不利益につながりやすく、法令・同意・管理体制の確認が重要である。,もっともらしいが、設問の条件に対する主対策ではない。,,もっともらしいが、設問の条件に対する主対策ではない。,もっともらしいが、設問の条件に対する主対策ではない。,学習方式を変えても、情報の性質が消えるわけではない。,要配慮個人情報;健康情報;同意;アクセス制御;利用目的,さいはて：便利な判断ほど、誰が見たか・どこで止めたか・何を根拠にしたかを残す場面として覚える。
