id,set,phase,question_type,topic,cognition_axis,format_axis,recency_axis,trickiness_axis,question,A,B,C,D,answer,explanation,wrong_A,wrong_B,wrong_C,wrong_D,trap_point,story_hint,search_keywords
G3000-R07-001,Rebuild_Set07_50問,rebuild_50_law_ethics_governance,case,個人情報保護法,case_judgment,scenario,current,medium,AIサービス導入時、社員の氏名・メールアドレス・評価コメントを外部AIに入力して分析させる場面で、個人情報保護法上まず確認すべきこととして最も適切なものはどれか。,入力データが個人情報・個人データに当たり得るか、利用目的・第三者提供・委託関係などの扱いを確認する,AIに入力すれば統計処理になるため、個人情報保護法の対象外として扱える,社員情報は社内情報なので、外部AIサービスに入れても第三者提供や委託の論点は生じない,AIが自動処理する場合は本人同意が常に不要になる,A,個人情報をAIサービスへ入力する場合、データの性質、利用目的、委託・第三者提供、契約上の扱いを確認するのが基本である。,,AIに入れただけで個人情報性が消えるわけではない。,外部サービス利用では委託・第三者提供・再利用などの論点が生じ得る。,自動処理だから常に同意不要とはいえない。,「AIに入れる＝匿名化」ではない。,ユイが社員名簿をミチに渡す前に、ラグが「その名前はまだ消えていない」と止める場面。,個人情報保護法;個人情報;個人データ;第三者提供;委託;外部AIサービス
G3000-R07-002,Rebuild_Set07_50問,rebuild_50_law_ethics_governance,term,個人情報保護法,knowledge,definition,current,medium,社員の病歴・信条・犯罪被害歴などをAI分析に含める場合に問題となる「要配慮個人情報」について、最も適切な説明はどれか。,企業秘密や営業ノウハウのうち、限定提供データに当たるもの,不当な差別や偏見などが生じないよう、取扱いに特に配慮を要する個人情報,著作権の保護期間が満了したため自由に利用できる情報,AIモデルの重みそのものを個人情報として一律に扱う概念,B,要配慮個人情報は、人種、信条、病歴など、不当な差別・偏見その他の不利益が生じないよう取扱いに配慮を要する個人情報を指す。,限定提供データは不正競争防止法側の論点。,,保護期間満了は著作権の論点。,モデル重みが常に要配慮個人情報になるわけではない。,「配慮」という言葉から倫理一般に逃げず、個人情報保護法上の概念として押さえる。,四年五組でセンセイが「その情報は、ただの名前より強く守る」と言う場面。,要配慮個人情報;個人情報保護法;病歴;人種;信条;差別
G3000-R07-003,Rebuild_Set07_50問,rebuild_50_law_ethics_governance,compare,匿名加工情報・仮名加工情報,understanding,comparison,current,hard,匿名加工情報と仮名加工情報の違いとして最も適切なものはどれか。,匿名加工情報は本人同意が必ず必要で、仮名加工情報は本人同意が常に不要である,匿名加工情報は画像だけに使われ、仮名加工情報は文章だけに使われる,匿名加工情報は本人を識別できないよう加工し復元できないようにした情報、仮名加工情報は他の情報と照合しない限り特定の個人を識別できないよう加工した情報である,匿名加工情報と仮名加工情報は法律上まったく同じ概念である,C,匿名加工情報と仮名加工情報は、再識別可能性や利用ルールが異なる。G検定では名称だけでなく違いを問われやすい。,同意要否を単純化しすぎている。,データ形式による分類ではない。,,同じ概念ではない。,「匿名」と「仮名」は似ているが、再識別可能性の扱いが違う。,イオの記録を完全に見えなくするのか、鍵を別に置くのかの違い。,匿名加工情報;仮名加工情報;再識別;個人情報保護法;データ利活用
G3000-R07-004,Rebuild_Set07_50問,rebuild_50_law_ethics_governance,case,著作権法,case_judgment,scenario,current,hard,公開Web上の画像を大量に収集して画像認識モデルの学習に使う場合の説明として、G検定対策上最も安全な理解はどれか。,AI学習であれば、著作権・契約・利用規約を一切確認しなくてよい,画像を学習に使う場合は、必ず全画像の著作者から個別許諾を取らなければならない,学習に使ったデータはすべてパブリックドメインになる,日本の著作権法には情報解析等に関する権利制限規定があるが、著作権者の利益を不当に害する場合や契約・規約など別論点には注意が必要である,D,日本では著作権法30条の4などにより情報解析目的の利用が論点になる。ただし万能免除ではなく、著作権者の利益、契約、利用規約、出力物の扱いは別に考える。,法律上・契約上の確認が不要になるわけではない。,常に個別許諾が必須という理解も単純化しすぎ。,学習利用で著作権が消滅するわけではない。,,「学習利用」と「生成物の利用」と「規約違反」を混ぜる選択肢が出やすい。,ユイが資料を集めると、ミチが「使える」と言う。でもラグは「使い方は一種類ではない」と言う。,著作権法30条の4;情報解析;AI学習;著作権者の利益;利用規約
G3000-R07-005,Rebuild_Set07_50問,rebuild_50_law_ethics_governance,term,著作権法,understanding,definition,current,medium,生成AIで作った画像・文章の利用に関する説明として最も適切なものはどれか。,生成物が既存著作物と類似し依拠性が認められる場合など、著作権侵害が問題になり得る,AI生成物は常に著作物ではないため、どのように使っても権利侵害にならない,AI生成物は必ずAI提供事業者だけに著作権が発生する,プロンプトを入力した人には常に著作権が発生する,A,生成物については、人間の創作的関与、既存著作物との類似性・依拠性などが問題になる。AI生成だから一律安全とはいえない。,,生成AIなら権利侵害にならないという理解は危険。,提供事業者に常に帰属するとは限らない。,入力者に常に著作権が発生するわけではない。,「AIが作ったから自由」も「必ず権利あり」も極端。,ミチが描いた絵をユイが出す前に、イオが「似すぎている声はないか」と見る。,AI生成物;著作権侵害;類似性;依拠性;創作的寄与;生成AI
G3000-R07-006,Rebuild_Set07_50問,rebuild_50_law_ethics_governance,case,著作権・プロンプト,case_judgment,scenario,current,medium,「有名作家Aの文体で、新作小説を書いて」と生成AIに指示する行為について、G検定対策として最も適切な理解はどれか。,文体指定をした瞬間に必ず刑事罰が成立する,文体そのものは一般に著作権で直接保護されにくいが、特定作品の表現に近い出力や権利・倫理・利用規約上の問題には注意が必要である,文体指定なら既存作品と同一表現が出ても問題にならない,AIが生成した文章なので、利用規約や倫理の問題は一切ない,B,作風・文体の指定は著作権の対象そのものとは限らないが、既存作品の具体的表現に近い出力、依拠性、契約・規約、社会的配慮は別途問題になる。,必ず刑事罰という理解は過剰。,,具体的表現の類似があれば問題になり得る。,規約や倫理の確認は必要。,「文体」と「具体的表現」を分ける。,四年五組でまるみが「センセイっぽく書いた」と言うが、センセイは「同じ言葉を盗んだかは別」と返す。,文体;作風;著作権;プロンプト;生成AI;類似性;依拠性
G3000-R07-007,Rebuild_Set07_50問,rebuild_50_law_ethics_governance,term,不正競争防止法,knowledge,definition,current,hard,不正競争防止法における「限定提供データ」の説明として最も適切なものはどれか。,秘密として管理されていなければ一切保護されない営業秘密のみを指す,誰でも自由に閲覧できるWebページ上の情報を常に指す,ID・パスワードなどで限定的に提供され、相当量蓄積され、電磁的方法で管理される技術上または営業上の情報などを指す,個人の病歴や信条などをまとめた要配慮個人情報だけを指す,C,限定提供データは、不正競争防止法上、一定条件を満たすデータの不正取得・使用等を規律する概念である。,営業秘密とは別の枠組み。,誰でも自由に見られる情報は通常「限定提供」とは言いにくい。,,要配慮個人情報は個人情報保護法側の概念。,営業秘密・限定提供データ・個人情報を混ぜない。,ラグが「鍵付きの記録」と「秘密の記録」は似ているが別だと言う場面。,不正競争防止法;限定提供データ;営業秘密;データ利活用;電磁的管理
G3000-R07-008,Rebuild_Set07_50問,rebuild_50_law_ethics_governance,compare,営業秘密,understanding,comparison,current,medium,営業秘密として保護されるための三要件として最も適切な組み合わせはどれか。,有用性・新規性・進歩性,透明性・公平性・説明可能性,同意取得・匿名化・暗号化,秘密管理性・有用性・非公知性,D,営業秘密の三要件は、秘密管理性、有用性、非公知性である。特許の要件やAI倫理原則と混同しやすい。,新規性・進歩性は特許の文脈。,AI倫理・ガバナンスで出る語。,個人情報・セキュリティ対策寄りの語。,,営業秘密は「秘密として管理」「役に立つ」「知られていない」。,ミチの隠し部屋は、鍵があり、意味があり、外に知られていない。,営業秘密;秘密管理性;有用性;非公知性;不正競争防止法
G3000-R07-009,Rebuild_Set07_50問,rebuild_50_law_ethics_governance,case,契約・外部AIサービス,case_judgment,scenario,current,hard,企業がSaaS型生成AIに機密資料を入力して要約する場合、契約・運用上の確認として最も適切なものはどれか。,利用規約、入力データの学習利用有無、保存期間、委託先、セキュリティ、社内ルールとの整合を確認する,AIサービスの出力が自然文なら機密情報ではなくなるため、契約確認は不要である,無料プランなら入力データは必ず学習に使われないと考えてよい,生成AIに入力した時点で資料の秘密性は法律上必ず失われる,A,外部生成AIの利用では、契約・規約、学習利用、保存、再委託、セキュリティ、社内規程の確認が重要である。,,自然文出力でも機密性の論点は残る。,無料・有料で一律に判断できない。,必ず秘密性が失われるとは限らないが、不適切入力はリスクになる。,「入力」と「学習利用」と「保存」を分けて見る。,ユイが資料をミチに渡す前に、ミチの記憶箱の設定を確認する場面。,生成AI;利用規約;機密情報;SaaS;学習利用;保存期間;セキュリティ
G3000-R07-010,Rebuild_Set07_50問,rebuild_50_law_ethics_governance,term,AI事業者ガイドライン,knowledge,definition,current,medium,AI事業者ガイドラインで想定される主体の分け方として最も適切なものはどれか。,教師あり学習者・教師なし学習者・強化学習者,AI開発者・AI提供者・AI利用者,データ主体・著作者・発明者のみ,監査人・裁判官・警察官のみ,B,AI事業者ガイドラインでは、AI開発者、AI提供者、AI利用者といった主体ごとの役割・取組が重要になる。,学習方法の分類であり事業者主体ではない。,,法律上の主体概念と混ざっている。,公的機関だけを対象にした分類ではない。,誰が作るか、誰が提供するか、誰が使うか。,さいはてで、ネクスを作る人、配る人、使う人を分けて考える。,AI事業者ガイドライン;AI開発者;AI提供者;AI利用者;AIガバナンス
